rep,carbon_count_q,carbon_count_a,ring_count_q,ring_count_a,functional_group_q,functional_group_a,bond_type_q,bond_type_a
smiles,How many carbons are present in the molecule COc1cc(/C=N\c2sc3c(c2C(=O)Nc2ccccc2)CC[C@H](C(C)(C)C)C3)ccc1OCc1ccc([N+](=O)[O-])cc1?,34,How many cyclic structures are in COc1cc(/C=N\c2sc3c(c2C(=O)Nc2ccccc2)CC[C@H](C(C)(C)C)C3)ccc1OCc1ccc([N+](=O)[O-])cc1?,5,Does the SMILES COc1cc(/C=N\c2sc3c(c2C(=O)Nc2ccccc2)CC[C@H](C(C)(C)C)C3)ccc1OCc1ccc([N+](=O)[O-])cc1 encode a amide functional group?,1,Identify whether COc1cc(/C=N\c2sc3c(c2C(=O)Nc2ccccc2)CC[C@H](C(C)(C)C)C3)ccc1OCc1ccc([N+](=O)[O-])cc1 has any aromatic bonds.,1
iupac,"Determine the total carbon count for (3R)-4-(1,3-benzodioxol-5-yl)-2-(4-ethylphenyl)pyrrolidine-3-carboxylic acid.",20,"Given the SMILES (3R)-4-(1,3-benzodioxol-5-yl)-2-(4-ethylphenyl)pyrrolidine-3-carboxylic acid, return its ring count.",4,"Does (3R)-4-(1,3-benzodioxol-5-yl)-2-(4-ethylphenyl)pyrrolidine-3-carboxylic acid have at least one phenol group?",0,"For the molecule (3R)-4-(1,3-benzodioxol-5-yl)-2-(4-ethylphenyl)pyrrolidine-3-carboxylic acid, does a triple bond exist?",0
smiles,Identify the carbon atom count in the molecule CC1C(=O)C(C)(C)N1C.,7,How many ring systems does CC1C(=O)C(C)(C)N1C contain?,1,"For the molecule CC1C(=O)C(C)(C)N1C, is a ketone functional group present?",1,"For the molecule CC1C(=O)C(C)(C)N1C, does a double bond exist?",1
iupac,"Report the number of carbon atoms in 8-[3-[4-(furan-2-carbonyl)piperazin-1-yl]-2-hydroxypropoxy]-4H-1,4-benzothiazin-3-one.",20,"Determine the ring count for 8-[3-[4-(furan-2-carbonyl)piperazin-1-yl]-2-hydroxypropoxy]-4H-1,4-benzothiazin-3-one.",4,"Does 8-[3-[4-(furan-2-carbonyl)piperazin-1-yl]-2-hydroxypropoxy]-4H-1,4-benzothiazin-3-one have at least one halide group?",0,"Are triple bonds present in 8-[3-[4-(furan-2-carbonyl)piperazin-1-yl]-2-hydroxypropoxy]-4H-1,4-benzothiazin-3-one?",0
iupac,"For the SMILES 4-[5-[3-methyl-4-(3-methylphenyl)piperazin-1-yl]sulfonyl-2,3-dihydroindol-1-yl]-4-oxobutanoic acid, how many carbon atoms does it contain?",24,"Count the number of rings in 4-[5-[3-methyl-4-(3-methylphenyl)piperazin-1-yl]sulfonyl-2,3-dihydroindol-1-yl]-4-oxobutanoic acid.",4,"Does the SMILES 4-[5-[3-methyl-4-(3-methylphenyl)piperazin-1-yl]sulfonyl-2,3-dihydroindol-1-yl]-4-oxobutanoic acid encode a carboxylic_acid functional group?",1,"Does the molecule 4-[5-[3-methyl-4-(3-methylphenyl)piperazin-1-yl]sulfonyl-2,3-dihydroindol-1-yl]-4-oxobutanoic acid contain any aromatic bonds?",1
iupac,"Compute the total number of carbons in (2S)-2,3-dimethylcyclobutan-1-one.",6,"Count the number of rings in (2S)-2,3-dimethylcyclobutan-1-one.",1,"Does the molecule (2S)-2,3-dimethylcyclobutan-1-one contain a alcohol functional group?",0,"Check if the structure (2S)-2,3-dimethylcyclobutan-1-one has a triple bond.",0
iupac,"Identify the carbon atom count in the molecule N-[(3R)-1,1-dioxothiolan-3-yl]-2-(4-ethylphenoxy)-N-[(4-methoxyphenyl)methyl]acetamide.",22,"How many ring systems does N-[(3R)-1,1-dioxothiolan-3-yl]-2-(4-ethylphenoxy)-N-[(4-methoxyphenyl)methyl]acetamide contain?",3,"Is a amine group present in N-[(3R)-1,1-dioxothiolan-3-yl]-2-(4-ethylphenoxy)-N-[(4-methoxyphenyl)methyl]acetamide?",1,"For the molecule N-[(3R)-1,1-dioxothiolan-3-yl]-2-(4-ethylphenoxy)-N-[(4-methoxyphenyl)methyl]acetamide, does a double bond exist?",1
smiles,How many carbons are present in the molecule CCc1nncn1CCN/C(=N\C)NCc1ccc(NC(=O)c2ccco2)cc1?,20,What is the total number of rings in CCc1nncn1CCN/C(=N\C)NCc1ccc(NC(=O)c2ccco2)cc1?,3,Does the molecule CCc1nncn1CCN/C(=N\C)NCc1ccc(NC(=O)c2ccco2)cc1 contain a nitro functional group?,0,Does CCc1nncn1CCN/C(=N\C)NCc1ccc(NC(=O)c2ccco2)cc1 feature any triple bonds?,0
iupac,"How many carbons are present in the molecule N-spiro[1-azabicyclo[2.2.2]octane-2,1'-cyclopropane]-3-ylprop-2-enamide?",12,"How many ring systems does N-spiro[1-azabicyclo[2.2.2]octane-2,1'-cyclopropane]-3-ylprop-2-enamide contain?",3,"Is a ketone group present in N-spiro[1-azabicyclo[2.2.2]octane-2,1'-cyclopropane]-3-ylprop-2-enamide?",1,"Does N-spiro[1-azabicyclo[2.2.2]octane-2,1'-cyclopropane]-3-ylprop-2-enamide feature any double bonds?",1
iupac,"Identify the carbon atom count in the molecule tert-butyl 4-[(4,5-difluoro-2-methylphenyl)methyl-[(4-propan-2-yloxyphenyl)methylcarbamoyl]amino]piperidine-1-carboxylate.",29,"Compute the ring count of tert-butyl 4-[(4,5-difluoro-2-methylphenyl)methyl-[(4-propan-2-yloxyphenyl)methylcarbamoyl]amino]piperidine-1-carboxylate.",3,"Does the SMILES tert-butyl 4-[(4,5-difluoro-2-methylphenyl)methyl-[(4-propan-2-yloxyphenyl)methylcarbamoyl]amino]piperidine-1-carboxylate encode a ketone functional group?",0,"Check if the structure tert-butyl 4-[(4,5-difluoro-2-methylphenyl)methyl-[(4-propan-2-yloxyphenyl)methylcarbamoyl]amino]piperidine-1-carboxylate has a triple bond.",0
iupac,"How many carbons are present in the molecule (8S,9S,10R,13S,14S)-3-fluoro-10,13-dimethyl-2,3,6,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene?",19,"How many ring systems does (8S,9S,10R,13S,14S)-3-fluoro-10,13-dimethyl-2,3,6,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene contain?",4,"Does the molecule (8S,9S,10R,13S,14S)-3-fluoro-10,13-dimethyl-2,3,6,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene contain a halide functional group?",1,"Is a double bond found in the SMILES (8S,9S,10R,13S,14S)-3-fluoro-10,13-dimethyl-2,3,6,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene?",1
iupac,"Identify the carbon atom count in the molecule [3,5-bis(tert-butylsulfanyl)phenyl]methanol.",15,"Count the number of rings in [3,5-bis(tert-butylsulfanyl)phenyl]methanol.",1,"Assess whether [3,5-bis(tert-butylsulfanyl)phenyl]methanol exhibits a carboxylic_acid group.",0,"Assess whether [3,5-bis(tert-butylsulfanyl)phenyl]methanol contains a double bond type.",0
iupac,Report the number of carbon atoms in 3-(5-methyltetrazol-1-yl)-1-(3-piperidin-1-ylazetidin-1-yl)propan-1-one.,13,Find the number of rings contained in 3-(5-methyltetrazol-1-yl)-1-(3-piperidin-1-ylazetidin-1-yl)propan-1-one.,3,Does 3-(5-methyltetrazol-1-yl)-1-(3-piperidin-1-ylazetidin-1-yl)propan-1-one have at least one amide group?,1,Are aromatic bonds present in 3-(5-methyltetrazol-1-yl)-1-(3-piperidin-1-ylazetidin-1-yl)propan-1-one?,1
iupac,"What is the total count of carbon atoms in iridium(3+);2-[4-(7-methyl-9,9-dioctylfluoren-2-yl)phenyl]-5-[7-[4-(5-methyl-2-pyridinyl)benzene-5-id-1-yl]-9,9-dioctylfluoren-2-yl]pyridine;bis(2-phenylpyridine)?",104,"What is the total number of rings in iridium(3+);2-[4-(7-methyl-9,9-dioctylfluoren-2-yl)phenyl]-5-[7-[4-(5-methyl-2-pyridinyl)benzene-5-id-1-yl]-9,9-dioctylfluoren-2-yl]pyridine;bis(2-phenylpyridine)?",14,"For the molecule iridium(3+);2-[4-(7-methyl-9,9-dioctylfluoren-2-yl)phenyl]-5-[7-[4-(5-methyl-2-pyridinyl)benzene-5-id-1-yl]-9,9-dioctylfluoren-2-yl]pyridine;bis(2-phenylpyridine), is a halide functional group present?",0,"Identify whether iridium(3+);2-[4-(7-methyl-9,9-dioctylfluoren-2-yl)phenyl]-5-[7-[4-(5-methyl-2-pyridinyl)benzene-5-id-1-yl]-9,9-dioctylfluoren-2-yl]pyridine;bis(2-phenylpyridine) has any triple bonds.",0
iupac,"Identify the carbon atom count in the molecule N-(2-fluorophenyl)-8-(hydroxymethyl)-2-oxo-7-(4-phenylphenyl)-1,4-diazabicyclo[4.2.0]octane-4-carboxamide.",26,"How many cyclic structures are in N-(2-fluorophenyl)-8-(hydroxymethyl)-2-oxo-7-(4-phenylphenyl)-1,4-diazabicyclo[4.2.0]octane-4-carboxamide?",5,"Is a alcohol group present in N-(2-fluorophenyl)-8-(hydroxymethyl)-2-oxo-7-(4-phenylphenyl)-1,4-diazabicyclo[4.2.0]octane-4-carboxamide?",1,"Is a double bond found in the SMILES N-(2-fluorophenyl)-8-(hydroxymethyl)-2-oxo-7-(4-phenylphenyl)-1,4-diazabicyclo[4.2.0]octane-4-carboxamide?",1
iupac,Report the number of carbon atoms in butylcyclobutane.,8,How many cyclic structures are in butylcyclobutane?,1,Does the SMILES butylcyclobutane encode a ketone functional group?,0,Assess whether butylcyclobutane contains a aromatic bond type.,0
iupac,"How many carbons are present in the molecule (7R)-2-benzylsulfanyl-5-methyl-7-(4-methylphenyl)-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidine-6-carboxamide?",21,"Compute the ring count of (7R)-2-benzylsulfanyl-5-methyl-7-(4-methylphenyl)-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidine-6-carboxamide.",4,"Determine whether (7R)-2-benzylsulfanyl-5-methyl-7-(4-methylphenyl)-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidine-6-carboxamide includes a amine functional group.",1,"Determine whether (7R)-2-benzylsulfanyl-5-methyl-7-(4-methylphenyl)-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidine-6-carboxamide includes at least one aromatic bond.",1
smiles,What is the total count of carbon atoms in Cc1ccc(/C=C2\SC(=S)N(NC(=O)c3ccccc3F)C2=O)o1?,16,Compute the ring count of Cc1ccc(/C=C2\SC(=S)N(NC(=O)c3ccccc3F)C2=O)o1.,3,Does Cc1ccc(/C=C2\SC(=S)N(NC(=O)c3ccccc3F)C2=O)o1 have at least one aldehyde group?,0,Check if the structure Cc1ccc(/C=C2\SC(=S)N(NC(=O)c3ccccc3F)C2=O)o1 has a triple bond.,0
smiles,Report the number of carbon atoms in NCc1ncnn1C=O.,4,Report the number of rings in the molecule NCc1ncnn1C=O.,1,Check if the structure NCc1ncnn1C=O contains a amine.,1,Check if the structure NCc1ncnn1C=O has a aromatic bond.,1
iupac,Determine the total carbon count for 2-[4-[(6-bromo-2-butyl-4-oxoquinazolin-3-yl)iminomethyl]-2-nitrophenoxy]-N-(3-fluorophenyl)acetamide.,27,"For 2-[4-[(6-bromo-2-butyl-4-oxoquinazolin-3-yl)iminomethyl]-2-nitrophenoxy]-N-(3-fluorophenyl)acetamide, how many distinct rings are present?",4,"For the molecule 2-[4-[(6-bromo-2-butyl-4-oxoquinazolin-3-yl)iminomethyl]-2-nitrophenoxy]-N-(3-fluorophenyl)acetamide, is a nitro functional group present?",0,Identify whether 2-[4-[(6-bromo-2-butyl-4-oxoquinazolin-3-yl)iminomethyl]-2-nitrophenoxy]-N-(3-fluorophenyl)acetamide has any triple bonds.,0
smiles,"For the SMILES Cc1ccc(NC(=O)C(C#N)=C2SC(=NNc3ccccc3)C(=O)N2c2ccccc2)cc1, how many carbon atoms does it contain?",25,Count the number of rings in Cc1ccc(NC(=O)C(C#N)=C2SC(=NNc3ccccc3)C(=O)N2c2ccccc2)cc1.,4,Is the amide functional group found in Cc1ccc(NC(=O)C(C#N)=C2SC(=NNc3ccccc3)C(=O)N2c2ccccc2)cc1?,1,Assess whether Cc1ccc(NC(=O)C(C#N)=C2SC(=NNc3ccccc3)C(=O)N2c2ccccc2)cc1 contains a triple bond type.,1
iupac,"For the SMILES 1-(4-fluoro-2-hydroxybenzoyl)-4-methylpyrrolidine-3-carboxylic acid, how many carbon atoms does it contain?",13,Find the number of rings contained in 1-(4-fluoro-2-hydroxybenzoyl)-4-methylpyrrolidine-3-carboxylic acid.,2,Does 1-(4-fluoro-2-hydroxybenzoyl)-4-methylpyrrolidine-3-carboxylic acid have at least one aldehyde group?,0,Identify whether 1-(4-fluoro-2-hydroxybenzoyl)-4-methylpyrrolidine-3-carboxylic acid has any triple bonds.,0
iupac,Determine the total carbon count for 1-(2-tert-butylsulfanylethyl)-3-[6-(2-methoxyphenoxy)-3-pyridinyl]urea.,19,"For 1-(2-tert-butylsulfanylethyl)-3-[6-(2-methoxyphenoxy)-3-pyridinyl]urea, how many distinct rings are present?",2,Is the amine functional group found in 1-(2-tert-butylsulfanylethyl)-3-[6-(2-methoxyphenoxy)-3-pyridinyl]urea?,1,Does the chemical structure 1-(2-tert-butylsulfanylethyl)-3-[6-(2-methoxyphenoxy)-3-pyridinyl]urea include double bonding?,1
iupac,"How many carbons are present in the molecule 2-[4-benzylsulfonyl-2-oxo-3-(3-oxo-3-piperidin-1-ylpropyl)piperazin-1-yl]-N-[5-(diaminomethylideneamino)-1-oxo-1-(1,3-thiazol-2-yl)pentan-2-yl]acetamide?",30,"Report the number of rings in the molecule 2-[4-benzylsulfonyl-2-oxo-3-(3-oxo-3-piperidin-1-ylpropyl)piperazin-1-yl]-N-[5-(diaminomethylideneamino)-1-oxo-1-(1,3-thiazol-2-yl)pentan-2-yl]acetamide.",4,"Is a aldehyde group present in 2-[4-benzylsulfonyl-2-oxo-3-(3-oxo-3-piperidin-1-ylpropyl)piperazin-1-yl]-N-[5-(diaminomethylideneamino)-1-oxo-1-(1,3-thiazol-2-yl)pentan-2-yl]acetamide?",0,"Are triple bonds present in 2-[4-benzylsulfonyl-2-oxo-3-(3-oxo-3-piperidin-1-ylpropyl)piperazin-1-yl]-N-[5-(diaminomethylideneamino)-1-oxo-1-(1,3-thiazol-2-yl)pentan-2-yl]acetamide?",0
iupac,"Report the number of carbon atoms in N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-2-(2,4-dioxo-1,3-diazaspiro[4.4]nonan-3-yl)acetamide.",20,"How many cyclic structures are in N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-2-(2,4-dioxo-1,3-diazaspiro[4.4]nonan-3-yl)acetamide?",4,"Identify if N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-2-(2,4-dioxo-1,3-diazaspiro[4.4]nonan-3-yl)acetamide contains a amide.",1,"Does the chemical structure N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-2-(2,4-dioxo-1,3-diazaspiro[4.4]nonan-3-yl)acetamide include aromatic bonding?",1
iupac,"Identify the carbon atom count in the molecule methyl (2R,3S,6R,7R)-9-oxopentacyclo[4.3.0.02,5.03,8.04,7]nonane-4-carboxylate.",11,"Given the SMILES methyl (2R,3S,6R,7R)-9-oxopentacyclo[4.3.0.02,5.03,8.04,7]nonane-4-carboxylate, return its ring count.",5,"For the molecule methyl (2R,3S,6R,7R)-9-oxopentacyclo[4.3.0.02,5.03,8.04,7]nonane-4-carboxylate, is a phenol functional group present?",0,"Assess whether methyl (2R,3S,6R,7R)-9-oxopentacyclo[4.3.0.02,5.03,8.04,7]nonane-4-carboxylate contains a aromatic bond type.",0
smiles,"Given O=C1NC2CC3CC1C32, return the number of carbon atoms.",7,Count the number of rings in O=C1NC2CC3CC1C32.,3,Is the amine functional group found in O=C1NC2CC3CC1C32?,1,Does the chemical structure O=C1NC2CC3CC1C32 include double bonding?,1
iupac,"Identify the carbon atom count in the molecule [(2R,4aR)-6-methyl-1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalen-2-yl] 1-amino-4-(4-butoxyphenyl)sulfanyl-9,10-dioxoanthracene-2-carboxylate.",36,"Given the SMILES [(2R,4aR)-6-methyl-1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalen-2-yl] 1-amino-4-(4-butoxyphenyl)sulfanyl-9,10-dioxoanthracene-2-carboxylate, return its ring count.",6,"Identify if [(2R,4aR)-6-methyl-1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalen-2-yl] 1-amino-4-(4-butoxyphenyl)sulfanyl-9,10-dioxoanthracene-2-carboxylate contains a halide.",0,"Does the chemical structure [(2R,4aR)-6-methyl-1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalen-2-yl] 1-amino-4-(4-butoxyphenyl)sulfanyl-9,10-dioxoanthracene-2-carboxylate include triple bonding?",0
iupac,Report the number of carbon atoms in (7-benzylidene-1-azabicyclo[3.2.1]octan-5-yl) 4-fluorobenzoate.,21,How many ring systems does (7-benzylidene-1-azabicyclo[3.2.1]octan-5-yl) 4-fluorobenzoate contain?,4,Identify if (7-benzylidene-1-azabicyclo[3.2.1]octan-5-yl) 4-fluorobenzoate contains a ester.,1,Assess whether (7-benzylidene-1-azabicyclo[3.2.1]octan-5-yl) 4-fluorobenzoate contains a double bond type.,1
smiles,How many carbons are present in the molecule C#CC1C2CC(=O)C12C?,8,"For C#CC1C2CC(=O)C12C, how many distinct rings are present?",2,Is the nitro functional group found in C#CC1C2CC(=O)C12C?,0,Does the molecule C#CC1C2CC(=O)C12C contain any aromatic bonds?,0
iupac,"How many carbon atoms make up the structure S-[(2R,3S)-1-[tert-butyl(dimethyl)silyl]oxy-2-methylhexan-3-yl] ethanethioate?",15,"Report the number of rings in the molecule S-[(2R,3S)-1-[tert-butyl(dimethyl)silyl]oxy-2-methylhexan-3-yl] ethanethioate.",0,"Does the molecule S-[(2R,3S)-1-[tert-butyl(dimethyl)silyl]oxy-2-methylhexan-3-yl] ethanethioate contain a ketone functional group?",1,"Does the molecule S-[(2R,3S)-1-[tert-butyl(dimethyl)silyl]oxy-2-methylhexan-3-yl] ethanethioate contain any double bonds?",1
smiles,How many carbon atoms make up the structure N#CC1CNCC2OC12?,6,Determine the ring count for N#CC1CNCC2OC12.,2,Is a phenol group present in N#CC1CNCC2OC12?,0,Is a double bond found in the SMILES N#CC1CNCC2OC12?,0
iupac,"For the SMILES 2-(benzenesulfonamido)-5-chloro-N-[2-(propylamino)ethyl]benzamide, how many carbon atoms does it contain?",18,"For 2-(benzenesulfonamido)-5-chloro-N-[2-(propylamino)ethyl]benzamide, how many distinct rings are present?",2,Does the molecule 2-(benzenesulfonamido)-5-chloro-N-[2-(propylamino)ethyl]benzamide contain a amide functional group?,1,Assess whether 2-(benzenesulfonamido)-5-chloro-N-[2-(propylamino)ethyl]benzamide contains a double bond type.,1
smiles,How many carbon atoms make up the structure CC(CC#CC#N)=NO?,6,"Given the SMILES CC(CC#CC#N)=NO, return its ring count.",0,Identify if CC(CC#CC#N)=NO contains a phenol.,0,Does the chemical structure CC(CC#CC#N)=NO include aromatic bonding?,0
smiles,Identify the carbon atom count in the molecule N#CC(c1ccccc1)c1nc2ccc(N)cc2[n+]([O-])c1C(C#N)c1ccccc1.,24,Report the number of rings in the molecule N#CC(c1ccccc1)c1nc2ccc(N)cc2[n+]([O-])c1C(C#N)c1ccccc1.,4,Does the molecule N#CC(c1ccccc1)c1nc2ccc(N)cc2[n+]([O-])c1C(C#N)c1ccccc1 contain a amine functional group?,1,Does the molecule N#CC(c1ccccc1)c1nc2ccc(N)cc2[n+]([O-])c1C(C#N)c1ccccc1 contain any aromatic bonds?,1
