prompt,gt,task
"I have the IUPAC name [3-[3-(3-fluorophenyl)-1,2,4-oxadiazol-5-yl]piperidin-1-yl]-[3-(pyrrolidin-1-ylmethyl)phenyl]methanone. What's the equivalent SMILES string?",C1CCN(C1)CC2=CC(=CC=C2)C(=O)N3CCCC(C3)C4=NC(=NO4)C5=CC(=CC=C5)F,iupac2smiles
"Convert the following IUPAC name to its SMILES representation: 3-[2-(2,4-dimethylphenoxy)butanoylamino]-N-(3-oxo-2,4-dihydropyrrol-5-yl)benzamide",CCC(C(=O)NC1=CC=CC(=C1)C(=O)NC2=NCC(=O)C2)OC3=C(C=C(C=C3)C)C,iupac2smiles
"Given the IUPAC name N-(2-amino-2-oxoethyl)-N-ethyl-2-methylpiperidine-3-carboxamide, return its SMILES notation.",CCN(CC(=O)N)C(=O)C1CCCNC1C,iupac2smiles
Please output the IUPAC chemical name that matches this SMILES: CC1C(C(OC12C3=C(C=CC(=C3)NC(=O)C4CCCNC4)N(C2=O)C5=CC=CC=C5)CCN6C=C(N=N6)CCO)[Si](C)(C)C7=CC=C(C=C7)OC,"N-[(3R,3'R,4'S,5'R)-5'-[2-[4-(2-hydroxyethyl)triazol-1-yl]ethyl]-4'-[(4-methoxyphenyl)-dimethylsilyl]-3'-methyl-2-oxo-1-phenylspiro[indole-3,2'-oxolane]-5-yl]piperidine-3-carboxamide",smiles2iupac
"What is the SMILES string for the compound named (1S)-1-(2,5-dimethoxyphenyl)-2-(pteridin-4-ylamino)ethanol?",COC1=CC(=C(C=C1)OC)C(CNC2=NC=NC3=NC=CN=C32)O,iupac2smiles
"From the IUPAC name 1-[[2-(2-chlorophenyl)-1,3-thiazol-4-yl]methyl]-2-methylpiperidin-4-amine, generate the corresponding SMILES string.",CC1CC(CCN1CC2=CSC(=N2)C3=CC=CC=C3Cl)N,iupac2smiles
Translate this SMILES notation into an IUPAC chemical name: CN(CC1=CC(=CS1)C#CCO)C(=O)CCC2CCCO2,N-[[4-(3-hydroxyprop-1-ynyl)thiophen-2-yl]methyl]-N-methyl-3-(oxolan-2-yl)propanamide,smiles2iupac
Can you provide the IUPAC nomenclature for the compound CCCCC(CNC(CC1=CC=C(C=C1)O)C(=O)O)NC(=O)OC(C)(C)C?,3-(4-hydroxyphenyl)-2-[2-[(2-methylpropan-2-yl)oxycarbonylamino]hexylamino]propanoic acid,smiles2iupac
"I have the IUPAC name N-(1-cyanocyclopropyl)-2-[5-[[6-[3-(difluoromethoxy)phenyl]-7-fluoro-1,3-benzothiazol-2-yl]methyl]-1,3,4-oxadiazol-2-yl]acetamide. What's the equivalent SMILES string?",C1CC1(C#N)NC(=O)CC2=NN=C(O2)CC3=NC4=C(S3)C(=C(C=C4)C5=CC(=CC=C5)OC(F)F)F,iupac2smiles
"Given the IUPAC name methyl (2R)-3-(4-chlorophenyl)-2-[[(2R)-2-[[(2R)-2-(3,5-dihydroxy-4-methoxyphenyl)-2-[[(2S)-2-[(2-methylpropan-2-yl)oxycarbonylamino]-2-phenylacetyl]amino]acetyl]amino]-2-phenylacetyl]amino]propanoate, return its SMILES notation.",CC(C)(C)OC(=O)NC(C1=CC=CC=C1)C(=O)NC(C2=CC(=C(C(=C2)O)OC)O)C(=O)NC(C3=CC=CC=C3)C(=O)NC(CC4=CC=C(C=C4)Cl)C(=O)OC,iupac2smiles
"Translate this chemical IUPAC name into SMILES format: N-[1-(4-bromo-2-fluorophenyl)-2-phenylprop-2-enyl]-6-methoxy-5-methyl-1,2,3,6-tetrahydropyridin-4-amine",CC1=C(CCNC1OC)NC(C2=C(C=C(C=C2)Br)F)C(=C)C3=CC=CC=C3,iupac2smiles
"What is the SMILES string for the compound named (Z)-2-amino-2-[4-(dimethylamino)cyclohexa-1,3-dien-1-yl]-1-[4-(dimethylamino)phenyl]ethenethiol?",CN(C)C1=CC=C(CC1)C(=C(C2=CC=C(C=C2)N(C)C)S)N,iupac2smiles
Find the SMILES encoding for the molecule with IUPAC name: [(2S)-1-(N-(2-ethoxy-2-oxoethyl)-4-fluoroanilino)-1-oxopropan-2-yl] (2S)-2-benzamidopropanoate,CCOC(=O)CN(C1=CC=C(C=C1)F)C(=O)C(C)OC(=O)C(C)NC(=O)C2=CC=CC=C2,iupac2smiles
Find the systematic IUPAC name of the molecule represented by CC(C)C(C)C1(CCC2(C3CCC4C5(CC(C(C4(C3=CCC2(C1C(=O)O)C)COC5)OCC(C)(C(C)C)N)N6N=C(N=N6)NC)C)C)C.,"(1R,5S,6R,7R,10R,11R,14R,15S,19R,20R)-19-(2-amino-2,3-dimethylbutoxy)-5,7,10,15-tetramethyl-20-[5-(methylamino)tetrazol-2-yl]-7-[(2R)-3-methylbutan-2-yl]-17-oxapentacyclo[13.3.3.01,14.02,11.05,10]henicos-2-ene-6-carboxylic acid",smiles2iupac
"Can you provide the SMILES representation of (2-benzyl-2,3-dihydro-1H-inden-5-yl) benzoate?",C1C(CC2=C1C=CC(=C2)OC(=O)C3=CC=CC=C3)CC4=CC=CC=C4,iupac2smiles
Generate the canonical SMILES corresponding to the IUPAC name: methyl-[2-(2-methylsulfanylanilino)-2-oxoethyl]-[(2S)-1-oxo-1-[2-propoxy-5-(trifluoromethyl)anilino]propan-2-yl]azanium,CCCOC1=C(C=C(C=C1)C(F)(F)F)NC(=O)C(C)[NH+](C)CC(=O)NC2=CC=CC=C2SC,iupac2smiles
"From the IUPAC name N-methyl-4-(methylamino)-N-[1-(4-methylphenyl)propan-2-yl]butanamide;hydrochloride, generate the corresponding SMILES string.",CC1=CC=C(C=C1)CC(C)N(C)C(=O)CCCNC.Cl,iupac2smiles
"Given the IUPAC name 5-cyano-N-(2-cyanoethyl)-2-hydroxybenzamide, return its SMILES notation.",C1=CC(=C(C=C1C#N)C(=O)NCCC#N)O,iupac2smiles
"I have the IUPAC name ethyl (2S,4S,5R,6R)-6-[(R)-[(4R)-2,2-dimethyl-1,3-dioxolan-4-yl]-(methoxymethoxy)methyl]-4,5-dihydroxyoxane-2-carboxylate. What's the equivalent SMILES string?",CCOC(=O)C1CC(C(C(O1)C(C2COC(O2)(C)C)OCOC)O)O,iupac2smiles
What is the IUPAC name for the molecule with SMILES: CC(C)CN1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F?,"4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]phenyl]-2-(2-methylpropyl)-1,2,4-triazol-3-one",smiles2iupac
"Generate the canonical SMILES corresponding to the IUPAC name: [(2R,4S)-4-methoxy-1-methylsulfonylpyrrolidin-2-yl]-(2-methyl-3,4-dihydro-2H-quinolin-1-yl)methanone",CC1CCC2=CC=CC=C2N1C(=O)C3CC(CN3S(=O)(=O)C)OC,iupac2smiles
What is the SMILES string for the compound named 3-[2-hydroxyethyl(methyl)amino]propyl (E)-3-(4-hexadecoxyphenyl)prop-2-enoate?,CCCCCCCCCCCCCCCCOC1=CC=C(C=C1)C=CC(=O)OCCCN(C)CCO,iupac2smiles
"Please output the SMILES structure that matches this IUPAC name: 2-[(4-ethyl-5-morpholin-4-yl-1,2,4-triazol-3-yl)sulfanylmethyl]-5-(5-methylthiophen-2-yl)-4aH-thieno[2,3-d]pyrimidin-4-one",CCN1C(=NN=C1SCC2=NC(=O)C3C(=CSC3=N2)C4=CC=C(S4)C)N5CCOCC5,iupac2smiles
"Given the IUPAC name S-phenyl (2S,3S)-3-hydroxy-4-methyl-2-(trifluoromethyl)pentanethioate, return its SMILES notation.",CC(C)C(C(C(=O)SC1=CC=CC=C1)C(F)(F)F)O,iupac2smiles
"Convert the following IUPAC name to its SMILES representation: 2,2-dimethyl-N-[2-(2-methyloxan-4-yl)ethyl]-6-(trifluoromethyl)morpholine-4-carboxamide",CC1CC(CCO1)CCNC(=O)N2CC(OC(C2)(C)C)C(F)(F)F,iupac2smiles
I have the IUPAC name N-(2-chloro-5-methylpyridin-3-yl)quinoline-5-carboxamide. What's the equivalent SMILES string?,CC1=CC(=C(N=C1)Cl)NC(=O)C2=C3C=CC=NC3=CC=C2,iupac2smiles
"Given the IUPAC name 18-(2-chlorophenyl)-3-ethyl-15-(1-hydroxypropan-2-yl)-2,10-dioxa-15,18-diazatetracyclo[11.8.0.01,16.03,12]henicosa-4,20-diene-11,14,17-trione, return its SMILES notation.",CCC12C=CCCCCOC(=O)C1C3C(=O)N(C4C3(O2)C=CCN(C4=O)C5=CC=CC=C5Cl)C(C)CO,iupac2smiles
"I have the IUPAC name 2-(5,6-dichloro-1,3-dioxoisoindol-2-yl)-N-[3-methyl-2-(pyrrolidine-1-carbonyl)phenyl]acetamide. What's the equivalent SMILES string?",CC1=C(C(=CC=C1)NC(=O)CN2C(=O)C3=CC(=C(C=C3C2=O)Cl)Cl)C(=O)N4CCCC4,iupac2smiles
Can you provide the IUPAC nomenclature for the compound CC(C)C1=NC(=CC(=N1)N2CCCC2)NN?,(2-propan-2-yl-6-pyrrolidin-1-ylpyrimidin-4-yl)hydrazine,smiles2iupac
"Can you provide the SMILES representation of [(2S,3S,4R,5S)-5-(2-amino-6-oxo-8H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl [(2R,3R,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl] hydrogen phosphate?",CC1C(C(C(C(O1)OP(=O)(O)OCC2C(C(C(O2)N3CN=C4C3=NC(=NC4=O)N)O)O)O)O)O,iupac2smiles
Translate this chemical IUPAC name into SMILES format: 1-(2-acetyl-5-ethyl-6-methyl-3-prop-2-enoxyphenyl)ethanone,CCC1=CC(=C(C(=C1C)C(=O)C)C(=O)C)OCC=C,iupac2smiles
Find the systematic IUPAC name of the molecule represented by CC1=C(SC=C1)C=CC(=O)N2CCCC(C2)C(=O)O.,(3R)-1-[(E)-3-(3-methylthiophen-2-yl)prop-2-enoyl]piperidine-3-carboxylic acid,smiles2iupac
"Convert the following IUPAC name to its SMILES representation: [1-[2-(diethylazaniumyl)ethyl]-2-(2-methoxyphenyl)-4,5-dioxopyrrolidin-3-ylidene]-(5-methoxycarbonyl-2,4-dimethyl-1H-pyrrol-3-yl)methanolate",CC[NH+](CC)CCN1C(C(=C(C2=C(NC(=C2C)C(=O)OC)C)[O-])C(=O)C1=O)C3=CC=CC=C3OC,iupac2smiles
What is the SMILES string for the compound named (Z)-2-cyano-3-(2-methoxy-4-nitroanilino)-N-[2-(4-methoxyphenyl)ethyl]prop-2-enamide?,COC1=CC=C(C=C1)CCNC(=O)C(=CNC2=C(C=C(C=C2)[N+](=O)[O-])OC)C#N,iupac2smiles
"Please output the SMILES structure that matches this IUPAC name: 3-(furan-2-yl)-1-[4-[[3-[5-[3-(trifluoromethyl)phenyl]-1,2,4-oxadiazol-3-yl]phenyl]methyl]piperazin-1-yl]propan-1-one",C1CN(CCN1CC2=CC(=CC=C2)C3=NOC(=N3)C4=CC(=CC=C4)C(F)(F)F)C(=O)CCC5=CC=CO5,iupac2smiles
Translate this SMILES notation into an IUPAC chemical name: C1=CC=C(C=C1)F,1-deuterio-4-fluorobenzene,smiles2iupac
"Translate this chemical IUPAC name into SMILES format: N-[4-[1-(2,5-dimethylanilino)-1-oxopropan-2-yl]sulfanylphenyl]-4-methoxybenzamide",CC1=CC(=C(C=C1)C)NC(=O)C(C)SC2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)OC,iupac2smiles
"From the IUPAC name 3-methyl-1-[2-(2-methylpropyl)-1,2,4-triazol-3-yl]-3-pyrrolidin-1-ylpentan-2-ol, generate the corresponding SMILES string.",CCC(C)(C(CC1=NC=NN1CC(C)C)O)N2CCCC2,iupac2smiles
Can you provide the SMILES representation of N-benzyl-2-methyliminoethanamine?,CN=CCNCC1=CC=CC=C1,iupac2smiles
Can you provide the SMILES representation of tert-butyl N-[3-[4-[4-(4-methylphenyl)-4-oxobutanoyl]piperazin-1-yl]-3-oxopropyl]carbamate?,CC1=CC=C(C=C1)C(=O)CCC(=O)N2CCN(CC2)C(=O)CCNC(=O)OC(C)(C)C,iupac2smiles
"Find the SMILES encoding for the molecule with IUPAC name: 4-(hydroxymethyl)-1,3,8-triazatricyclo[8.4.0.02,7]tetradeca-2(7),3,5-trien-9-one",C1CCN2C(C1)C(=O)NC3=C2N=C(C=C3)CO,iupac2smiles
Find the SMILES encoding for the molecule with IUPAC name: N-[3-[2-[3-(dimethylamino)propyl]-5-methoxyanilino]quinoxalin-2-yl]-1-methylimidazole-4-sulfonamide;hydrochloride,CN1C=C(N=C1)S(=O)(=O)NC2=NC3=CC=CC=C3N=C2NC4=C(C=CC(=C4)OC)CCCN(C)C.Cl,iupac2smiles
"Translate this chemical IUPAC name into SMILES format: 2-N-(3-methoxypropyl)-6-N-(2-morpholin-4-ylphenyl)pyridine-2,6-dicarboxamide",COCCCNC(=O)C1=NC(=CC=C1)C(=O)NC2=CC=CC=C2N3CCOCC3,iupac2smiles
"Given the IUPAC name (3S)-icos-4-en-1-yn-3-ol, return its SMILES notation.",CCCCCCCCCCCCCCCC=CC(C#C)O,iupac2smiles
Generate the canonical SMILES corresponding to the IUPAC name: N-[[3-bromo-4-(3-bromophenyl)sulfanylphenyl]methyl]-2-methoxyethanamine,COCCNCC1=CC(=C(C=C1)SC2=CC(=CC=C2)Br)Br,iupac2smiles
"Convert the following IUPAC name to its SMILES representation: N-[2-(1,3,4-thiadiazol-2-ylsulfanyl)phenyl]-3-(3,4,5-trimethoxyphenyl)propanamide",COC1=CC(=CC(=C1OC)OC)CCC(=O)NC2=CC=CC=C2SC3=NN=CS3,iupac2smiles
"Convert the following IUPAC name to its SMILES representation: methyl 5-[[(4E)-4-[(2-benzoyloxy-3,5-dibromophenyl)methylidene]-2,5-dioxoimidazolidin-1-yl]methyl]furan-2-carboxylate",COC(=O)C1=CC=C(O1)CN2C(=O)C(=CC3=C(C(=CC(=C3)Br)Br)OC(=O)C4=CC=CC=C4)NC2=O,iupac2smiles
"From the SMILES CC1=CC=C(C=C1)C2C(=C(C3=CC=C(C=C3)OCC=C)[O-])C(=O)C(=O)N2CC4=CC=CO4, generate the corresponding IUPAC name.","[(2R)-1-(furan-2-ylmethyl)-2-(4-methylphenyl)-4,5-dioxopyrrolidin-3-ylidene]-(4-prop-2-enoxyphenyl)methanolate",smiles2iupac
Can you provide the SMILES representation of 1-[[2-(difluoromethoxy)-3-ethoxyphenyl]methyl]-2-methyl-3-prop-2-enylguanidine?,CCOC1=CC=CC(=C1OC(F)F)CNC(=NC)NCC=C,iupac2smiles
"From the IUPAC name N'-(2,5-dichlorophenyl)-N-(4-hydroxy-2-methylphenyl)oxamide, generate the corresponding SMILES string.",CC1=C(C=CC(=C1)O)NC(=O)C(=O)NC2=C(C=CC(=C2)Cl)Cl,iupac2smiles
What is the SMILES string for the compound named (2-amino-2-hydroxy-2-methoxyethyl) N-diazocarbamoperoxoate?,COC(COOC(=O)N=[N+]=[N-])(N)O,iupac2smiles
"I have the IUPAC name (2R)-2-[1,6-bis(4-chlorophenyl)-3-methylnaphthalen-2-yl]-2-[(2-methylpropan-2-yl)oxy]acetic acid. What's the equivalent SMILES string?",CC1=CC2=C(C=CC(=C2)C3=CC=C(C=C3)Cl)C(=C1C(C(=O)O)OC(C)(C)C)C4=CC=C(C=C4)Cl,iupac2smiles
Can you provide the IUPAC nomenclature for the compound C[NH+](CC1CCC[NH+](C1)CCC2=CC=C(C=C2)OC)CC3=CC4=C(C(=CC=C4)OC)OC3?,(8-methoxy-2H-chromen-3-yl)methyl-[[1-[2-(4-methoxyphenyl)ethyl]piperidin-1-ium-3-yl]methyl]-methylazanium,smiles2iupac
Generate the canonical SMILES corresponding to the IUPAC name: 2-[[2-(2-bromo-4-methylphenoxy)acetyl]amino]benzamide,CC1=CC(=C(C=C1)OCC(=O)NC2=CC=CC=C2C(=O)N)Br,iupac2smiles
Generate the canonical SMILES corresponding to the IUPAC name: 1-carboxyethylazanide;cobalt(3+),CC(C(=O)O)[NH-].CC(C(=O)O)[NH-].CC(C(=O)O)[NH-].[Co+3],iupac2smiles
Please output the IUPAC chemical name that matches this SMILES: CC1=CC(=C(C=C1)C(=O)NCC2CCNCC2)Br,2-bromo-4-methyl-N-(piperidin-4-ylmethyl)benzamide,smiles2iupac
Can you provide the SMILES representation of N-[[4-(3-hydroxypyrrolidin-1-yl)sulfonylphenyl]methyl]acetamide?,CC(=O)NCC1=CC=C(C=C1)S(=O)(=O)N2CCC(C2)O,iupac2smiles
"From the IUPAC name 2-[4-(3-bromophenyl)-1-methylpiperazin-2-yl]ethanol, generate the corresponding SMILES string.",CN1CCN(CC1CCO)C2=CC(=CC=C2)Br,iupac2smiles
Can you provide the IUPAC nomenclature for the compound CC(=O)C1=CC2=C(C=C1)NC3=CC=CC(=C32)CC(=O)O?,2-(6-acetyl-9H-carbazol-4-yl)acetic acid,smiles2iupac
"Translate this chemical IUPAC name into SMILES format: 4-(3-bromo-4-methoxyphenyl)-3,3-dimethylbutanoic acid",CC(C)(CC1=CC(=C(C=C1)OC)Br)CC(=O)O,iupac2smiles
"Given the IUPAC name (3R,5S)-1-(dibenzofuran-2-ylmethyl)-5-(2-fluoro-6-methoxyphenyl)-3-hydroxypyrrolidin-2-one, return its SMILES notation.",COC1=C(C(=CC=C1)F)C2CC(C(=O)N2CC3=CC4=C(C=C3)OC5=CC=CC=C54)O,iupac2smiles
"Convert the following IUPAC name to its SMILES representation: 3-O-ethyl 8-O-methyl 4-[(3-chloro-4-methoxyphenyl)methylamino]-6-cyanoquinoline-3,8-dicarboxylate",CCOC(=O)C1=CN=C2C(=CC(=CC2=C1NCC3=CC(=C(C=C3)OC)Cl)C#N)C(=O)OC,iupac2smiles
"Can you provide the SMILES representation of 2-(3-oxo-4H-1,4-benzoxazin-2-yl)-N-phenylmethoxyacetamide?",C1=CC=C(C=C1)CONC(=O)CC2C(=O)NC3=CC=CC=C3O2,iupac2smiles
"I have the IUPAC name (4S,4aS,5aR,12aS)-4a,5a-diamino-12a-cyano-4-(dimethylamino)-10-hydroxy-1,3,11,12-tetraoxo-7-prop-1-ynyl-4,5,6,11a-tetrahydrotetracene-2-carboxamide. What's the equivalent SMILES string?",CC#CC1=C2CC3(CC4(C(C(=O)C(C(=O)C4(C(=O)C3C(=O)C2=C(C=C1)O)C#N)C(=O)N)N(C)C)N)N,iupac2smiles
"Please output the SMILES structure that matches this IUPAC name: 5-(3,7-dioxabicyclo[4.1.0]heptan-6-yl)-2-(N-ethoxy-C-ethylcarbonimidoyl)cyclohexane-1,3-dione",CCC(=NOCC)C1C(=O)CC(CC1=O)C23CCOCC2O3,iupac2smiles
"Can you provide the SMILES representation of [4-(2,3-dimethylphenyl)piperazin-1-yl]-[4-(2-methoxyethylamino)-3-nitrophenyl]methanone?",CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)C3=CC(=C(C=C3)NCCOC)[N+](=O)[O-])C,iupac2smiles
"Given the IUPAC name N-(3-tert-butylcyclobutyl)-2-methylcyclobutan-1-amine, return its SMILES notation.",CC1CCC1NC2CC(C2)C(C)(C)C,iupac2smiles
"I have the IUPAC name 2-[(1-ethylpyrazol-4-yl)methyl]-8-(pyridin-4-ylmethoxy)-5-oxa-2-azaspiro[3.5]nonane;2,2,2-trifluoroacetic acid. What's the equivalent SMILES string?",CCN1C=C(C=N1)CN2CC3(C2)CC(CCO3)OCC4=CC=NC=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,iupac2smiles
"Generate the canonical SMILES corresponding to the IUPAC name: 2-phenacylsulfanyl-4-(trifluoromethyl)-5,6,7,8-tetrahydroquinoline-3-carbonitrile",C1CCC2=C(C1)C(=C(C(=N2)SCC(=O)C3=CC=CC=C3)C#N)C(F)(F)F,iupac2smiles
"Generate the canonical SMILES corresponding to the IUPAC name: N-[(2R)-1-[(3S,5S)-3,5-dimethylpiperidin-1-yl]-1-oxopropan-2-yl]-2-(trifluoromethyl)benzenesulfonamide",CC1CC(CN(C1)C(=O)C(C)NS(=O)(=O)C2=CC=CC=C2C(F)(F)F)C,iupac2smiles
"Convert the following IUPAC name to its SMILES representation: [(2S)-2-[(2-chlorophenyl)methyl]pyrrolidin-1-yl]-[5-(2,5-dimethoxyphenyl)-1,2-oxazol-3-yl]methanone",COC1=CC(=C(C=C1)OC)C2=CC(=NO2)C(=O)N3CCCC3CC4=CC=CC=C4Cl,iupac2smiles
Can you provide the IUPAC nomenclature for the compound C1CC1C(=CC(N)O)N?,"(Z)-1,3-diamino-3-cyclopropylprop-2-en-1-ol",smiles2iupac
Generate the IUPAC name corresponding to this SMILES: C1=CC2OC(=C1)C(=O)O2,"6,8-dioxabicyclo[3.2.1]octa-1,3-dien-7-one",smiles2iupac
"Please output the SMILES structure that matches this IUPAC name: (2S)-2-phenyl-4-prop-2-ynyl-2,3-dihydro-1,4-benzoxazin-5-amine",C#CCN1CC(OC2=CC=CC(=C21)N)C3=CC=CC=C3,iupac2smiles
What is the SMILES string for the compound named 3-(3-cyano-2-methyl-6-oxopyridin-1-yl)propanoic acid?,CC1=C(C=CC(=O)N1CCC(=O)O)C#N,iupac2smiles
Please output the SMILES structure that matches this IUPAC name: 2-[[3-(methylsulfamoyl)phenyl]sulfonylamino]-N-prop-2-ynylacetamide,CNS(=O)(=O)C1=CC(=CC=C1)S(=O)(=O)NCC(=O)NCC#C,iupac2smiles
Generate the canonical SMILES corresponding to the IUPAC name: [2-(1H-pyrrol-2-yl)pyrrolidin-1-yl]-[6-(trifluoromethyl)pyridin-3-yl]methanone,C1CC(N(C1)C(=O)C2=CN=C(C=C2)C(F)(F)F)C3=CC=CN3,iupac2smiles
"I have the IUPAC name 4-[5-(2-nitrophenyl)-1,2,4-oxadiazol-3-ylidene]cyclohexa-2,5-dien-1-one. What's the equivalent SMILES string?",C1=CC=C(C(=C1)C2=NC(=C3C=CC(=O)C=C3)NO2)[N+](=O)[O-],iupac2smiles
"Find the SMILES encoding for the molecule with IUPAC name: 2-[1-(2-methyl-5-nitrophenyl)-4,5,6,7-tetrahydroindazol-4-yl]acetic acid",CC1=C(C=C(C=C1)[N+](=O)[O-])N2C3=C(C=N2)C(CCC3)CC(=O)O,iupac2smiles
Please output the IUPAC chemical name that matches this SMILES: COC1=CC=CC(=C1)C2=C(C(=O)NC(=N2)SCC3=CC(=CC=C3)NCC4=CC=C(C=C4)C#N)C#N,2-[[3-[(4-cyanophenyl)methylamino]phenyl]methylsulfanyl]-4-(3-methoxyphenyl)-6-oxo-1H-pyrimidine-5-carbonitrile,smiles2iupac
"I have the IUPAC name N-cyclopropyl-N-(1,1-dioxothiolan-3-yl)pyridine-3-sulfonamide. What's the equivalent SMILES string?",C1CC1N(C2CCS(=O)(=O)C2)S(=O)(=O)C3=CN=CC=C3,iupac2smiles
Can you provide the SMILES representation of methyl (2S)-2-[2-[[(2R)-2-(1H-indol-3-yl)-2-(4-methoxyphenyl)ethyl]carbamoyl]phenyl]sulfanylpropanoate?,CC(C(=O)OC)SC1=CC=CC=C1C(=O)NCC(C2=CC=C(C=C2)OC)C3=CNC4=CC=CC=C43,iupac2smiles
"What is the SMILES string for the compound named 3-butyl-1,2,3a,7a-tetrahydrobenzimidazole?",CCCCN1CNC2C1C=CC=C2,iupac2smiles
"From the IUPAC name (E)-N-(4-chloro-3-nitrophenyl)-3-(2-chlorophenyl)-2-cyanoprop-2-enamide, generate the corresponding SMILES string.",C1=CC=C(C(=C1)C=C(C#N)C(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])Cl,iupac2smiles
Find the systematic IUPAC name of the molecule represented by C1=CC=C2C(=C1)C(=NS2(=O)=O)NCCC(=O)OCC(=O)NC3=CC(=CC=C3)Cl.,"[2-(3-chloroanilino)-2-oxoethyl] 3-[(1,1-dioxo-1,2-benzothiazol-3-yl)amino]propanoate",smiles2iupac
