smiles,iupac
O=C(Nc1ccc(N2CCCCC2)c(F)c1)c1cc2ccccc2o1,N-(3-fluoro-4-piperidin-1-ylphenyl)-1-benzofuran-2-carboxamide
CC(c1cc(Cl)cc(Cl)c1)N1CCC(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CC1,"5-cyclopropyl-N-cyclopropylsulfonyl-4-[[1-[1-(3,5-dichlorophenyl)ethyl]piperidin-4-yl]methoxy]-2-fluorobenzamide"
COc1ccc(C=C=CC2(O)CC2)cc1,"1-[3-(4-methoxyphenyl)propa-1,2-dienyl]cyclopropan-1-ol"
Cc1cc(C)c(S(=O)(=O)N(Cc2ccc(F)cc2)Cc2cc3ccc(C)cc3[nH]c2=O)c(C)c1,"N-[(4-fluorophenyl)methyl]-2,4,6-trimethyl-N-[(7-methyl-2-oxo-1H-quinolin-3-yl)methyl]benzenesulfonamide"
COc1c(N)ccn1C,2-methoxy-1-methylpyrrol-3-amine
Cc1ccc(OC(=O)c2ccc3nc(C)sc3c2)cc1,"(4-methylphenyl) 2-methyl-1,3-benzothiazole-6-carboxylate"
CC(=O)O[C@]1(C(C)=O)CC[C@@H]2[C@@H]3CCC4=CC(=NOCC(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C,"2-[[(8R,9S,10R,13S,14R,17R)-17-acetyl-17-acetyloxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-ylidene]amino]oxyacetic acid"
Cn1nncc1C1CO1,1-methyl-5-(oxiran-2-yl)triazole
Cc1c(C(C)N)nnn1-c1ccc2ncsc2c1,"1-[1-(1,3-benzothiazol-6-yl)-5-methyltriazol-4-yl]ethanamine"
COC(C)c1ccoc1,3-(1-methoxyethyl)furan
C=CCOc1cc2nc(N3CCN(S(=O)(=O)c4ccc(-c5ccccc5)cc4)CC3)nc(N)c2cc1OCC=C,"2-[4-(4-phenylphenyl)sulfonylpiperazin-1-yl]-6,7-bis(prop-2-enoxy)quinazolin-4-amine"
Cc1oc(-c2cc(F)cc(F)c2)nc1CN1CCC[C@@H](OCc2ccccc2)C1,"2-(3,5-difluorophenyl)-5-methyl-4-[[(3R)-3-phenylmethoxypiperidin-1-yl]methyl]-1,3-oxazole"
COc1nc(Nc2ccc(I)c(Br)c2)ccc1N,"2-N-(3-bromo-4-iodophenyl)-6-methoxypyridine-2,5-diamine"
Cc1c(Cl)cccc1NCN1C(=O)[C@@H]2[C@@H](C1=O)[C@H]1C=C[C@H]2C1,"(1R,2S,6S,7R)-4-[(3-chloro-2-methylanilino)methyl]-4-azatricyclo[5.2.1.02,6]dec-8-ene-3,5-dione"
CC1CCCN(CCCNC(=S)Nc2ccc(C(C)C)cc2)C1,1-[3-(3-methylpiperidin-1-yl)propyl]-3-(4-propan-2-ylphenyl)thiourea
O=C(NCc1ccsc1)c1noc(C2CCCN2)n1,"5-pyrrolidin-2-yl-N-(thiophen-3-ylmethyl)-1,2,4-oxadiazole-3-carboxamide"
CCN(CC)Cc1ccc(C(=O)N2CCN(CCOc3ccccc3Cl)CC2)cc1,[4-[2-(2-chlorophenoxy)ethyl]piperazin-1-yl]-[4-(diethylaminomethyl)phenyl]methanone
COc1ccccc1N1CCN(C(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1,2-[[4-(2-methoxyphenyl)piperazin-1-yl]-[4-(trifluoromethyl)phenyl]methyl]pyrazine
Cc1cccc(-c2nnc3c4ccc(Cl)cc4nc(N4CCN(C(=O)Nc5ccccc5)CC4)n23)c1,"4-[8-chloro-3-(3-methylphenyl)-[1,2,4]triazolo[4,3-c]quinazolin-5-yl]-N-phenylpiperazine-1-carboxamide"
CC(C)(C)c1cc(CSC2CCCCCCI2SCc2cc(C(C)(C)C)cc(C34CC5CC(c6ccccc6)(CC(c6ccccc6)(C5)C3)C4)c2O)c(O)c(C23CC4CC(c5ccccc5)(CC(c5ccccc5)(C4)C2)C3)c1,"4-tert-butyl-2-[[1-[[5-tert-butyl-3-(3,5-diphenyl-1-adamantyl)-2-hydroxyphenyl]methylsulfanyl]-1lambda3-iodocan-2-yl]sulfanylmethyl]-6-(3,5-diphenyl-1-adamantyl)phenol"
CCC(=O)N1CCCC1,1-pyrrolidin-1-ylpropan-1-one
Cc1cccc(C)c1NC(=O)CSc1ncnc2nc(N3CCC(C)CC3)sc12,"N-(2,6-dimethylphenyl)-2-[[2-(4-methylpiperidin-1-yl)-[1,3]thiazolo[4,5-d]pyrimidin-7-yl]sulfanyl]acetamide"
CC(C)Cc1cc(CNC(=O)CCc2cc3n(n2)CCCNC3)on1,"N-[[3-(2-methylpropyl)-1,2-oxazol-5-yl]methyl]-3-(5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-yl)propanamide"
Nc1nc(-n2cncn2)nc(-n2cnc3c2CCCC3)n1,"4-(4,5,6,7-tetrahydrobenzimidazol-1-yl)-6-(1,2,4-triazol-1-yl)-1,3,5-triazin-2-amine"
COc1cc2ncnc(N(CCN3CCCCC3)c3ccc(C)c(Br)c3)c2cc1OC,"N-(3-bromo-4-methylphenyl)-6,7-dimethoxy-N-(2-piperidin-1-ylethyl)quinazolin-4-amine"
COc1cc(Cc2cc(N)nc(N)n2)cc(OC)c1OC,"6-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine"
CCc1nnoc1C,4-ethyl-5-methyloxadiazole
CCN(C(=O)CNCCCc1ccccc1)c1cccc(C)c1,N-ethyl-N-(3-methylphenyl)-2-(3-phenylpropylamino)acetamide
CCCCC(CC)COc1c(CC)cc(Cc2cnc(N)nc2N)cc1CC,"5-[[3,5-diethyl-4-(2-ethylhexoxy)phenyl]methyl]pyrimidine-2,4-diamine"
CC(C)(C)[Si](C)(C)Oc1ccc(-c2ccccc2)cc1,tert-butyl-dimethyl-(4-phenylphenoxy)silane
CCCC(C)NC(=O)C(c1ccc(O)c(C)c1)N(C(=O)C(NC(=O)OC(C)(C)C)C(C)CC)C(C)(C)C,tert-butyl N-[1-[tert-butyl-[1-(4-hydroxy-3-methylphenyl)-2-oxo-2-(pentan-2-ylamino)ethyl]amino]-3-methyl-1-oxopentan-2-yl]carbamate
O=[N+]([O-])c1cnc(Cl)c(C(F)F)c1Br,4-bromo-2-chloro-3-(difluoromethyl)-5-nitropyridine
CC(C)Oc1ccc(-c2nnc(-c3cncn3C)s2)cc1Cl,"2-(3-chloro-4-propan-2-yloxyphenyl)-5-(3-methylimidazol-4-yl)-1,3,4-thiadiazole"
CC(NC(=O)NC1CCC(C(=O)O)CC1)c1ccc(OCC(F)(F)F)cc1,"4-[1-[4-(2,2,2-trifluoroethoxy)phenyl]ethylcarbamoylamino]cyclohexane-1-carboxylic acid"
COc1ccccc1C1c2c(oc3ccc(Cl)cc3c2=O)C(=O)N1c1cc(C)on1,"7-chloro-1-(2-methoxyphenyl)-2-(5-methyl-1,2-oxazol-3-yl)-1H-chromeno[2,3-c]pyrrole-3,9-dione"
CCCC[C@H](CC)Cn1c(SCCS(C)(=O)=O)nnc1-c1ccc(Cl)cc1,"3-(4-chlorophenyl)-4-[(2S)-2-ethylhexyl]-5-(2-methylsulfonylethylsulfanyl)-1,2,4-triazole"
Cc1cccc(NC(=O)CN(C)CC(=O)N[C@@H](C)c2ccco2)c1C,"N-(2,3-dimethylphenyl)-2-[[2-[[(1S)-1-(furan-2-yl)ethyl]amino]-2-oxoethyl]-methylamino]acetamide"
COC(=O)c1c(N2C(=O)[C@@H]3[C@H](C2=O)[C@H]2c4ccccc4C=CN2[C@H]3C(=O)c2cccs2)sc(C)c1C,"methyl 2-[(1S,11R,12R,16S)-13,15-dioxo-11-(thiophene-2-carbonyl)-10,14-diazatetracyclo[8.6.0.02,7.012,16]hexadeca-2,4,6,8-tetraen-14-yl]-4,5-dimethylthiophene-3-carboxylate"
COc1ccc(CCNC(=O)[C@@H]2CCCN(c3ncccn3)C2)cc1OC,"(3R)-N-[2-(3,4-dimethoxyphenyl)ethyl]-1-pyrimidin-2-ylpiperidine-3-carboxamide"
CC(C)CN1CCCn2nc(CNc3ncnc4c3CCC4)cc2C1,"N-[[5-(2-methylpropyl)-4,6,7,8-tetrahydropyrazolo[1,5-a][1,4]diazepin-2-yl]methyl]-6,7-dihydro-5H-cyclopenta[d]pyrimidin-4-amine"
Cn1c(=O)n(C2CCC(=O)NC2=O)c2ccc(N3CCN(CCOCCN)CC3)cc21,"3-[5-[4-[2-(2-aminoethoxy)ethyl]piperazin-1-yl]-3-methyl-2-oxobenzimidazol-1-yl]piperidine-2,6-dione"
COc1cccc(CNC(=O)COC(=O)c2ccccc2[N+](=O)[O-])c1,[2-[(3-methoxyphenyl)methylamino]-2-oxoethyl] 2-nitrobenzoate
Cc1ccc2c(c1)-n1c(nc3ccccc3c1=O)C(Cc1ccc(O)cc1)NC2=O,"7-[(4-hydroxyphenyl)methyl]-2-methyl-6,7-dihydroquinazolino[3,2-a][1,4]benzodiazepine-5,13-dione"
CCCNc1ccc2c(cnn2Cc2ccc(OC)cc2)c1,1-[(4-methoxyphenyl)methyl]-N-propylindazol-5-amine
COc1ccc(NS(=O)(=O)c2ccc(OCC(=O)N3CCc4ccccc4C3)c(Cl)c2)cc1,"3-chloro-4-[2-(3,4-dihydro-1H-isoquinolin-2-yl)-2-oxoethoxy]-N-(4-methoxyphenyl)benzenesulfonamide"
CNc1cc(Nc2ccc(Br)c(C)c2)cc([N+](=O)[O-])c1,"3-N-(4-bromo-3-methylphenyl)-1-N-methyl-5-nitrobenzene-1,3-diamine"
CC1CCCCC1NC(=S)NC(=O)c1ccccc1Br,2-bromo-N-[(2-methylcyclohexyl)carbamothioyl]benzamide
C[C@@H](NC(=O)COC(=O)c1sc2ccccc2c1Cl)c1ccccc1,[2-oxo-2-[[(1R)-1-phenylethyl]amino]ethyl] 3-chloro-1-benzothiophene-2-carboxylate
C[C@H](CCC(=O)NCc1ccccn1)[C@@H]1CC[C@@H]2[C@@H]3[C@@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@@H]3O,"(4R)-4-[(3R,5S,7S,8S,9R,10S,13R,14R,17S)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]-N-(pyridin-2-ylmethyl)pentanamide"
O=c1c2c(C(F)(F)F)cccc2ncn1[C@H]1COC[C@@H]1O,"3-[(3S,4R)-4-hydroxyoxolan-3-yl]-5-(trifluoromethyl)quinazolin-4-one"
[NH2+]=c1cn[n-]c(C=O)c1,5-aminopyridazine-3-carbaldehyde
COc1ccccc1NC(=O)NN1CCCCC1,1-(2-methoxyphenyl)-3-piperidin-1-ylurea
CCNc1ccc(NC2=NCCN2)cc1,"4-N-(4,5-dihydro-1H-imidazol-2-yl)-1-N-ethylbenzene-1,4-diamine"
COC(=O)N1CC(NC(=O)[C@H](NC(=O)c2ccc(C)cc2)C(C)C)C1,methyl 3-[[(2R)-3-methyl-2-[(4-methylbenzoyl)amino]butanoyl]amino]azetidine-1-carboxylate
O=C(c1ccc(F)cc1)N1CCC(O)(Cn2cnc3c(cnn3-c3cccc(OCc4ccncc4)c3)c2=O)CC1,"5-[[1-(4-fluorobenzoyl)-4-hydroxypiperidin-4-yl]methyl]-1-[3-(pyridin-4-ylmethoxy)phenyl]pyrazolo[5,4-d]pyrimidin-4-one"
C[C@H]1CN(c2ccc([N+](=O)[O-])cc2)[C@@H](C)CN1,"(2S,5S)-2,5-dimethyl-1-(4-nitrophenyl)piperazine"
C[C@@H]1C[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@]2(C)O)CC1=O,"(2R,5S,8R,9S,10S,13S,14S,17R)-17-hydroxy-2,10,13,17-tetramethyl-2,4,5,6,7,8,9,11,12,14,15,16-dodecahydro-1H-cyclopenta[a]phenanthren-3-one"
C=Cc1ccccn1.O=S(=O)(O)C=Cc1ccccc1,2-ethenylpyridine;2-phenylethenesulfonic acid
CC(C)CNC(=O)c1cccc(CN2CCC(c3nnc4ccccn34)CC2)c1,"N-(2-methylpropyl)-3-[[4-([1,2,4]triazolo[4,3-a]pyridin-3-yl)piperidin-1-yl]methyl]benzamide"
O=C(NCC[C@@H](c1ccc(F)cc1)c1ccco1)C(=O)c1cccs1,N-[(3S)-3-(4-fluorophenyl)-3-(furan-2-yl)propyl]-2-oxo-2-thiophen-2-ylacetamide
O=CCCCC1(O)CC1,4-(1-hydroxycyclopropyl)butanal
CCN1CCC2CCC(C1)N2C(=O)c1cc(O)cc(O)c1,"(3,5-dihydroxyphenyl)-(3-ethyl-3,9-diazabicyclo[4.2.1]nonan-9-yl)methanone"
CC(C)C(=O)Nc1nnc(SCC(=O)NCc2cccs2)s1,"2-methyl-N-[5-[2-oxo-2-(thiophen-2-ylmethylamino)ethyl]sulfanyl-1,3,4-thiadiazol-2-yl]propanamide"
COc1cnnn1C,5-methoxy-1-methyltriazole
Cc1ccc(C(=O)NC2(CO)CCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,3-[3-(cyclopropanecarbonylamino)isoquinolin-7-yl]-N-[1-(hydroxymethyl)cyclobutyl]-4-methylbenzamide
COC(=O)c1c(C)[nH]c(C(=O)N2CCC[C@@H](C(=O)NCc3ccccc3C)C2)c1C,"methyl 2,4-dimethyl-5-[(3R)-3-[(2-methylphenyl)methylcarbamoyl]piperidine-1-carbonyl]-1H-pyrrole-3-carboxylate"
O=C1OCCN1c1ccc2c(c1)N(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C(C1CC1)c1cn[nH]c1-2,"3-[4-cyclopropyl-5-[4-(trifluoromethyl)phenyl]sulfonyl-1,4-dihydropyrazolo[4,5-c]quinolin-7-yl]-1,3-oxazolidin-2-one"
COc1cccc(S(=O)(=O)N2CCC[C@@](COc3ccc(Cl)cc3)(CC(=O)N3CCCCC3)C2)c1,2-[(3R)-3-[(4-chlorophenoxy)methyl]-1-(3-methoxyphenyl)sulfonylpiperidin-3-yl]-1-piperidin-1-ylethanone
FC(F)(F)c1nc2ncc(-c3ccccc3Cl)cc2[nH]1,"6-(2-chlorophenyl)-2-(trifluoromethyl)-1H-imidazo[4,5-b]pyridine"
COc1cc(C2SCC(=O)N2NC(=O)c2ccncc2)ccc1O,"N-[2-(4-hydroxy-3-methoxyphenyl)-4-oxo-1,3-thiazolidin-3-yl]pyridine-4-carboxamide"
C=CC(=O)N1CCC(C(=O)Nc2cc(-c3n[nH]c(C)n3)cc(C(F)(F)F)c2)C1,"N-[3-(5-methyl-1H-1,2,4-triazol-3-yl)-5-(trifluoromethyl)phenyl]-1-prop-2-enoylpyrrolidine-3-carboxamide"
OCc1ccc2oc(-c3ccc(O)cc3)nc2c1,"4-[5-(hydroxymethyl)-1,3-benzoxazol-2-yl]phenol"
Cn1c(CCc2ccccn2)nc2cc(C(=O)O)ccc21,1-methyl-2-(2-pyridin-2-ylethyl)benzimidazole-5-carboxylic acid
N=C1CCN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1F,"3-fluoro-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-4-imino-1,3-diazinan-2-one"
CC1=NN(c2cc(C)ccn2)C(=O)C1CCC(=O)O,3-[3-methyl-1-(4-methyl-2-pyridinyl)-5-oxo-4H-pyrazol-4-yl]propanoic acid
CC[C@@H](C)CN(CC(=O)N(Cc1ccc(F)cc1)Cc1ccc(C)s1)C(=O)C1CC1,N-[2-[(4-fluorophenyl)methyl-[(5-methylthiophen-2-yl)methyl]amino]-2-oxoethyl]-N-[(2R)-2-methylbutyl]cyclopropanecarboxamide
O=S(=O)(c1ccc(-c2cn3ccccc3n2)cc1)N1CCOCC1,"4-(4-imidazo[1,2-a]pyridin-2-ylphenyl)sulfonylmorpholine"
CCC(C)COC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,"2-methylbutyl N-[1-(3,4-dihydroxy-5-methyloxolan-2-yl)-5-fluoro-2-oxopyrimidin-4-yl]carbamate"
COCC12CC(CO1)C2,1-(methoxymethyl)-2-oxabicyclo[2.1.1]hexane
COc1ccc(C2CC(=O)C=C(c3ccc4ccccc4c3)C2)cc1,5-(4-methoxyphenyl)-3-naphthalen-2-ylcyclohex-2-en-1-one
Cc1cc2ccccc2nc1NCCCCC(=O)O,5-[(3-methylquinolin-2-yl)amino]pentanoic acid
CN(Cc1cc(Br)ccc1F)C1CCCC1CN,2-(aminomethyl)-N-[(5-bromo-2-fluorophenyl)methyl]-N-methylcyclopentan-1-amine
COC(=O)[C@H]1C(=O)N=C(N2CCN(C(=O)c3ccco3)CC2)N[C@@H]1c1ccco1,"methyl (4S,5R)-2-[4-(furan-2-carbonyl)piperazin-1-yl]-4-(furan-2-yl)-6-oxo-4,5-dihydro-1H-pyrimidine-5-carboxylate"
O=C(NCc1ccccc1)c1c(N=Cc2cc(Br)ccc2O)sc2c1CCCC2,"N-benzyl-2-[(5-bromo-2-hydroxyphenyl)methylideneamino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide"
COCCN1CC[C@@]2(CN(C(=O)C3CC=CC3)CC(F)(F)C2)C1=O,"(5R)-9-(cyclopent-3-ene-1-carbonyl)-7,7-difluoro-2-(2-methoxyethyl)-2,9-diazaspiro[4.5]decan-1-one"
CCc1ccc(CNC(=O)CC2CCN(C(=O)c3ccc4nc(-c5ccccc5)oc4c3)CC2)cc1,"N-[(4-ethylphenyl)methyl]-2-[1-(2-phenyl-1,3-benzoxazole-6-carbonyl)piperidin-4-yl]acetamide"
CCc1cnc(CNc2ccnc(N)c2)s1,"4-N-[(5-ethyl-1,3-thiazol-2-yl)methyl]pyridine-2,4-diamine"
Cn1cc(-c2cncc(CNC(=O)c3cncc(F)c3)c2)cn1,5-fluoro-N-[[5-(1-methylpyrazol-4-yl)-3-pyridinyl]methyl]pyridine-3-carboxamide
CC(C)(C)NC(=O)CSc1ncnc2c1cnn2-c1ccccc1,"N-tert-butyl-2-(1-phenylpyrazolo[5,4-d]pyrimidin-4-yl)sulfanylacetamide"
Cc1cn(C2CCN(CP(=O)(O)O)C2)c(=O)[nH]c1=O,"[3-(5-methyl-2,4-dioxopyrimidin-1-yl)pyrrolidin-1-yl]methylphosphonic acid"
Cc1c(Cl)cccc1S(=O)(=O)N1CC2ON=C(c3ccccc3)C2C1,"5-(3-chloro-2-methylphenyl)sulfonyl-3-phenyl-3a,4,6,6a-tetrahydropyrrolo[3,4-d][1,2]oxazole"
Cc1ccc(S(=O)(=O)N2CCc3ccccc32)s1,"1-(5-methylthiophen-2-yl)sulfonyl-2,3-dihydroindole"
CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(NC3CCCC(N)C3)nc12,"4-[[5-[(3-aminocyclohexyl)amino]-3-propan-2-ylpyrazolo[1,5-a]pyrimidin-7-yl]amino]-N,N-dimethylbenzenesulfonamide"
O=C(NCCNC(=O)c1ccccc1)Nc1cccc2ccccc12,N-[2-(naphthalen-1-ylcarbamoylamino)ethyl]benzamide
CC(=O)N=S1(=O)CCOCC1,"N-(4-oxo-1,4-oxathian-4-ylidene)acetamide"
CC(C)Cc1ccn([C@@H]2O[C@H](COP(=O)(N[C@@H](C)C(=O)OCc3ccccc3)Oc3ccccc3)[C@@H](O)C2(F)F)c(=O)n1,"benzyl (2S)-2-[[[(2R,3R,5R)-4,4-difluoro-3-hydroxy-5-[4-(2-methylpropyl)-2-oxopyrimidin-1-yl]oxolan-2-yl]methoxy-phenoxyphosphoryl]amino]propanoate"
CC(=O)N(C)CC(C)C,N-methyl-N-(2-methylpropyl)acetamide
CN(C)C1(c2ccccc2)CCC2(CC1)CN(CC1(O)CCOCC1)C(=O)N2CC1CCC1.CN(C)C1(c2ccccc2)CCC2(CC1)CN(CC1CCS(=O)(=O)CC1)C(=O)N2CC1(O)CCC1.CN(C)C1(c2ccccc2)CCC2(CC1)CN(CCS(C)(=O)=O)C(=O)N2CC1CC1.CN(C)C1(c2ccccc2)CCC2(CC1)CN(CCS(C)(=O)=O)C(=O)N2CC1COC1.COCCCN1C(=O)N(CCS(C)(=O)=O)CC12CCC(c1ccccc1)(N(C)C)CC2.Cc1ccc(S(=O)(=O)N2C(=O)NCC23CCC(c2ccccc2)(N(C)C)CC3)cc1,"1-(cyclobutylmethyl)-8-(dimethylamino)-3-[(4-hydroxyoxan-4-yl)methyl]-8-phenyl-1,3-diazaspiro[4.5]decan-2-one;1-(cyclopropylmethyl)-8-(dimethylamino)-3-(2-methylsulfonylethyl)-8-phenyl-1,3-diazaspiro[4.5]decan-2-one;8-(dimethylamino)-3-[(1,1-dioxothian-4-yl)methyl]-1-[(1-hydroxycyclobutyl)methyl]-8-phenyl-1,3-diazaspiro[4.5]decan-2-one;8-(dimethylamino)-1-(3-methoxypropyl)-3-(2-methylsulfonylethyl)-8-phenyl-1,3-diazaspiro[4.5]decan-2-one;8-(dimethylamino)-1-(4-methylphenyl)sulfonyl-8-phenyl-1,3-diazaspiro[4.5]decan-2-one;8-(dimethylamino)-3-(2-methylsulfonylethyl)-1-(oxetan-3-ylmethyl)-8-phenyl-1,3-diazaspiro[4.5]decan-2-one"
CN(C)c1nc(Cc2ccccc2)cc2c1CCNCC2,"3-benzyl-N,N-dimethyl-6,7,8,9-tetrahydro-5H-pyrido[3,4-d]azepin-1-amine"
CCOC(=O)Cn1c(C)cc(C)c([N+](=O)[O-])c1=O,"ethyl 2-(4,6-dimethyl-3-nitro-2-oxo-1-pyridinyl)acetate"
CCOc1ccc(S(=O)(=O)NCCCN)cc1Br.Cl,N-(3-aminopropyl)-3-bromo-4-ethoxybenzenesulfonamide;hydrochloride
CC[C@H](C)NC(=O)[C@@H](Cc1ccccc1)N(Cc1c(Cl)cccc1Cl)C(=O)Cc1c(F)cccc1Cl,"(2R)-N-[(2S)-butan-2-yl]-2-[[2-(2-chloro-6-fluorophenyl)acetyl]-[(2,6-dichlorophenyl)methyl]amino]-3-phenylpropanamide"
CCCN(CCC)C1CCc2cc(OS(=O)(=O)C(F)(F)F)ccc2C1,"[6-(dipropylamino)-5,6,7,8-tetrahydronaphthalen-2-yl] trifluoromethanesulfonate"
COc1cc(C(N)=O)ccc1OCC(=O)N1CCCC1,3-methoxy-4-(2-oxo-2-pyrrolidin-1-ylethoxy)benzamide
CCOc1ccc(S(=O)(=O)N(CC)CC(=O)O)cc1Cl,2-[(3-chloro-4-ethoxyphenyl)sulfonyl-ethylamino]acetic acid
O=C(CCn1cnc2ccccc2c1=O)NCc1ccc(OCc2ccccc2)cc1,3-(4-oxoquinazolin-3-yl)-N-[(4-phenylmethoxyphenyl)methyl]propanamide
Cc1csc(CCNCC2CNCc3ccccc32)n1,"2-(4-methyl-1,3-thiazol-2-yl)-N-(1,2,3,4-tetrahydroisoquinolin-4-ylmethyl)ethanamine"
CC(C)C[C@H]1NC(=O)Cc2cccc(c2)OCC(=O)NCCCN(C(=O)c2cc(C(C)C)nc(N)n2)CCCCNC(=O)[C@H]([C@@H](C)O)NC1=O,"(16S,19R)-9-(2-amino-6-propan-2-ylpyrimidine-4-carbonyl)-16-[(1R)-1-hydroxyethyl]-19-(2-methylpropyl)-2-oxa-5,9,14,17,20-pentazabicyclo[21.3.1]heptacosa-1(26),23(27),24-triene-4,15,18,21-tetrone"
N=C(N)c1ccc(N2CCC3(CCN(CCC(=O)O)CC3)CC2)cc1,"3-[3-(4-carbamimidoylphenyl)-3,9-diazaspiro[5.5]undecan-9-yl]propanoic acid"
O=c1c2c(F)cc(C3CC3)cc2ccn1-c1cccc(-c2ncnc3[nH]c(C4=CCN(C5COC5)CC4)cc23)c1CO,"6-cyclopropyl-8-fluoro-2-[2-(hydroxymethyl)-3-[6-[1-(oxetan-3-yl)-3,6-dihydro-2H-pyridin-4-yl]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]phenyl]isoquinolin-1-one"
Cc1ccc(C(=O)Nc2ccc(-c3nc(Cn4cccn4)c(C)o3)cc2)c(C)c1,"2,4-dimethyl-N-[4-[5-methyl-4-(pyrazol-1-ylmethyl)-1,3-oxazol-2-yl]phenyl]benzamide"
CC1=NO[C@@](C)(C(=O)N(C)Cc2nc3ccccc3s2)C1,"(5R)-N-(1,3-benzothiazol-2-ylmethyl)-N,3,5-trimethyl-4H-1,2-oxazole-5-carboxamide"
CCC(O)CN1CCN(C(=O)c2cc(Cl)cc3cccnc23)CC1,(6-chloroquinolin-8-yl)-[4-(2-hydroxybutyl)piperazin-1-yl]methanone
C1=C2CCC2C2CCC12,"tricyclo[5.2.0.02,5]non-5-ene"
