instruction,input,output,metadata
Cholesterol is a predominant lipid in,,LDL and HDL. LDL and HDL lipoproteins are the major carrier of cholesterol . Reference: Harpers illustrated biochemistry 31st edition page 248,"{'task': 'Open Question', 'split': 'test'}"
Drug useful in breast cancer is,,"Tamoxifen. Medications Estrogen modulator, Chemotherapy, Hormone based chemotherapy, and Bone health","{'task': 'Open Question', 'split': 'test'}"
What is the precursor of proline in Krebs cycle?,,a-ketoglutarate,"{'task': 'Open Question', 'split': 'test'}"
What is the most likely cause of these skin changes?,,Chronic venous stasis,"{'task': 'Open Question', 'split': 'test'}"
Genetic deficiencies of NADPH oxidase cause,,Chronic granulomatous diseases,"{'task': 'Open Question', 'split': 'test'}"
Tolbutamide acts by increasing:,,Insulin secretion,"{'task': 'Open Question', 'split': 'test'}"
Hypertension is not seen with :,,"L–dopa. Levo-dopa may form dopamine in the periphery. It can act on receptors in the blood vessels but the increase in BP is not seen. Rather, postural hypotension is quite common with L-dopa therapy. It may be due to its central action resulting in the decrease in the central sympathetic outflow.
Cyclosporine can produce nephrotoxicity, ototoxicity, hyperkalemia, hyperglycemia, hypertension and hyperlipidemia.
Erythropoietin produces symptoms due to a sudden rise in hematocrit. It may cause hypertension.
NSAIDs blunt the antihypertensive and diuretic effects of thiazides and loop diuretics and may result in salt and water retention.","{'task': 'Open Question', 'split': 'test'}"
Immediate source of energy is ,,ATP,"{'task': 'Open Question', 'split': 'test'}"
True about esmolol is: a) It is a cardioselective β–blocker b) It increases airway resistance c) It causes tachycardia d) Its t 1/2 is 4 hrs e) It has negative inotropic activity,,"ae. Esmolol is an ultrashort acting β-blocker (t1/2 < 10 min.)
It is inactivated by esterases in blood.
β-blocker decreases heart rate and force of contraction (negative inotropic action).
Beta blockers can precipitate or aggravate CHF.
Selective beta 1 blocker and are less likely to cause bronchoconstriction, thus do not increase airway resistance.","{'task': 'Open Question', 'split': 'test'}"
If FADH2 provides reducing equivalents to electron transport chain then ATP formed will be?,,"1.5. ANSWER: (A) 1.5REF: Harper's 28 ed page 306See Biochemistry 2013 Session 2 for details of TCA/kerb cycleIf NAD H, provides reducing equivalents , then 2.5 ATP are producedIf FADH., provides reducing equivalents then, 1.5 ATP are produced","{'task': 'Open Question', 'split': 'test'}"
Which antidepressant is relatively contraindicated in young men secondary to its side effect of priapism?,,"Trazodone. 5-HT2 AntagonistsTwo antidepressants are thought to act primarily as antagonists at the 5-HT2 receptors: trazodone and nefazodoneThe most common adverse effects associated with the 5-HT2 antagonists are sedation and gastrointestinal disturbances. Sedative effects, paicularly with trazodone, can be quite pronounced. Thus, the treatment of insomnia is currently the primary application of trazodone. Sexual effects are uncommon with nefazodone or trazodone treatment as a result of the relatively selective serotonergic effects of these drugs on the 5-HT2 receptor rather than on SE. However, trazodone has rarely been associated with inducing priapism.Priapism (an abnormally prolonged erection) is estimated to happen in 1 in every 10,000 patients treated with trazodone.Ref: Harper&;s Biochemistry; 12th edition; Page no: 526","{'task': 'Open Question', 'split': 'test'}"
What is the significance of mutation of CCR5 protein?,,"High resistance to HIV infection. The answer to this question is definitely 'A'.Let me explain why. HIV infects T cells that carry CD4 antigen on their surface i.e CD4 T cells.In addition HIV can also affect macrophages that bear CD4 on their surface. The first step in the HIV infection is the binding of envelope glycoprotein of HIV to the CD4 receptor on the T cells/macrophages.How ever this interaction alone is not sufficient for entry and infection of the virus. It needs a second receptor i.e a co-receptor.HIV has two coreceptors- CCR5 CXCR4. Therefore HIV must bind to CD4 receptor and one of the above coreceptor to enter into the cell. Any damage to these coreceptors will prevent HIV from entering the cell, thus leading to resistance to HIV infection. A well known example is a mutation of CCR5 which is called delta 32 mutation. Those persons with this mutation is resistant to HIV infection because HIV virus cannot bind to this mutated CCR5 and therefore cannot enter the cell.","{'task': 'Open Question', 'split': 'test'}"
What is the significance of mutation of CCR5 protein?,,"High resistance to HIV infection. The answer to this question is definitely 'A'.Let me explain why. HIV infects T cells that carry CD4 antigen on their surface i.e CD4 T cells.In addition HIV can also affect macrophages that bear CD4 on their surface. The first step in the HIV infection is the binding of envelope glycoprotein of HIV to the CD4 receptor on the T cells/macrophages.How ever this interaction alone is not sufficient for entry and infection of the virus. It needs a second receptor i.e a co-receptor.HIV has two coreceptors- CCR5 CXCR4. Therefore HIV must bind to CD4 receptor and one of the above coreceptor to enter into the cell. Any damage to these coreceptors will prevent HIV from entering the cell, thus leading to resistance to HIV infection. A well known example is a mutation of CCR5 which is called delta 32 mutation. Those persons with this mutation is resistant to HIV infection because HIV virus cannot bind to this mutated CCR5 and therefore cannot enter the cell.","{'task': 'Open Question', 'split': 'test'}"
"A 27-year-old woman occasionally uses calcium carbonate (Turns) for ""heartburn"" symptoms after a large meal.For the above patient with an acid-peptic disorder, select the mechanism of action of the prescribed medication.",,"neutralizes gastric acid. Although doctors seldom prescribe antacids because of the availability of superior medications, patients still use them extensively. As well as neutralizing acid, calcium carbonate enhances secretion in the stomach. The release of CO2 from bicarbonate can result in belching, nausea, and abdominal distension. Belching can exacerbate gastroesophageal reflex.","{'task': 'Open Question', 'split': 'test'}"
"A 32-year-old male, Kann, who recently visited a sea coast presented with ulcer over the left leg. The probable cause is ",,Vibrio vulnificus,"{'task': 'Open Question', 'split': 'test'}"
Which vitamin is given in Type 2B Familial Hyperlipidemia:,,Nicotinic acid. Nicotinic acid in high doses : Antihyperlipidemic Inhibits hormone sensitive Lipase So triglycerides from adipose tissue are not broken down and free fatty acids do not reach blood and liver. This leads to | VLDL and LDL. HDL levels | by decreasing its catabolic rate.. Treatment Increased TG Increased cholesterol Fibrates Statins Omega -3 FA Bile acid sequestrants High dose Nicotinic acid LDL apharesis(selective removal of LDL from blood),"{'task': 'Open Question', 'split': 'test'}"
Carey coombs murmur is found  in:,,Acute rheumatic fever. Carey coombs murmur occurs in patients with mitral valvulitis due to acute rheumatic fever.,"{'task': 'Open Question', 'split': 'test'}"
Long acting insulin preparations are frequently administered by:,,Subcutaneous route,"{'task': 'Open Question', 'split': 'test'}"
Conventional site for taking biopsy In secondary amyloidosis is?,,"Abdominal fat aspirate. The amyloidoses are a group of acquired and hereditary disorders characterised by extracellular deposition of insoluble proteins . These complex deposits consist of fibrils of the specific protein involved, linked to glycosaminoglycans, proteoglycans and serum amyloid P (SAP). Protein accumulation may be localised or systemic, and the clinical manifestations depend upon the organ(s) affected. The diagnosis of amyloidosis should be considered in all cases of unexplained nephrotic syndrome ,cardiomyopathy and peripheral neuropathy. Diagnosis The diagnosis is established by biopsy, which may be of an affected organ, rectum or subcutaneous fat. The pathognomonic histological feature is apple-green birefringence of amyloid deposits when stained with Congo red dye and viewed under polarised light. Immunohistochemical staining can identify the type of amyloid fibril present. Quantitative scintigraphy with radio-labelled SAP is a valuable tool in determining the overall load and distribution of amyloid deposits DAVIDSON&;S 22nd EDITION;PAGE NO 86","{'task': 'Open Question', 'split': 'test'}"
BOAA toxin responsible for Neurolathyrism  contains which aminoacid,,Alanine. BOAA - ßeta oxalyl amino alanine.,"{'task': 'Open Question', 'split': 'test'}"
False positive D-xylose test is seen in-a) Ascitesb) Blindloop syndromec) Aspirind) Hepatic failure,,abc,"{'task': 'Open Question', 'split': 'test'}"
The most common posterior mediastinal mass is,,"Neurogenic tumor. The posterior mediastinum contains the following structures: sympathetic ganglia, nerve roots, lymph nodes, parasympathetic chain, thoracic duct, descending thoracic aoa, small vessels and the veebrae. Most masses in the posterior mediastinum are neurogenicnature Ref Davidson 23rd edition pg 580","{'task': 'Open Question', 'split': 'test'}"
A 35 year old man presents with Acute Pancreatitis. The ideal fluid of choice in the initial management is,,"Isotonic crystalloid. (A) Isotonic crystalloid[?]INITIAL MANAGEMENT:oCrystalloids: Ringer's lactate or Normal saline.oWhile crystalloids appear to be the Ideal Choice based on expert opinion & the guidelines/recommendations from America, Italy & Japan.oThese recommendations are not based on high - level evidence in patients with acute pancreatitis.ADVANTAGES & DISADVANTAGES OF DIFFERENT FLUID TYPES IN RESUSCITATIONFluid TypeAdvantagesDisadvantagesIsotonic crystalloids (lactated Ringer's solution, 0.9% sodium chloride, Normosol-R, Plasmalyte A)*. Los cost*. Necessary in dehydration*. Widely available*. Large volumes needed*. Longer time to resuscitate*. Require more technical staff (E.g., Placement of multiple, large-guage IV catheters)*. Risk of hypothermia*. Risk of interstitial edema*. Risk of hemodilution*. Risk of re-bleedingHypertonic saline*. Low cost*. Small volumes needed for rapid resuscitation*. Minimizes risks of interstitial edema*. Beneficial neurological effects; decreases intracranial pressure*. Immunomodulatory effects*. Beneficial cardiac effects*. Short acting when used alone*. Transient hypernatremia*. Hypotension, bronchoconstricction, or arrhythmias with rapid administration*. Risk of volume overload*. Possible phlebitis*. HyperosmolarSynthetic colloids (6% hetastarch, 10% pentastarch, 6% dextran 70)*. Smaller volumes needed for rapid resuscitation compared with crystalloids*. Minimizes risks of interstitial edema*. Longer duration of effect*. Increases COP*. Less hemodilution*. Higher cost*. Risk of volume overload*. Exacerbation of coagulopathies*. Risk of allergic reactions*. Edema with vasculitis*. Interference with cross-matchingHemoglobin-based oxygencarrier (Oxyglobin)*. Increases COP*. Increases oxygen delivery*. Eliminates need to cross-match*. 2 year shelf life*. Higher cost*. Risk of volume overload*. Possible risk of anaphylaxis with multiple uses*. Inability to measure certain blood values after useoAggressive hydration, defined as 250-500 per hour of isotonic crystalloid solution should be provided to all patients, unless cardiovascular, renal or other related co-morbid factors exist.oEarly aggressive intravenous hydration is most beneficial during the first 12-24 hr, and may have little benefit beyond this time period.oIn a patient with severe volume depletion, manifest as hypotension & tachycardia, more rapid repletion (bolus) may be needed.","{'task': 'Open Question', 'split': 'test'}"
Pseudouridine found in?,,tRNA,"{'task': 'Open Question', 'split': 'test'}"
"A female patient after injury comes to casualty. Her ABG shows low pH. PCO2 high, bicarbonate normal.The diagnosis is ",,"Respiratory acidosis. First step

Determine whether academia or alkalemia is present
pH is low, indicating acidosis

Second step

Inspect HCO3-/CO2 to determine the cause of alkalemia or academia.
In this case, the pCO2 is high and the bicarbonate is normal, so the acidosis can be easily attributed to increased CO2
Thus, this is a case of respiratory acidosis","{'task': 'Open Question', 'split': 'test'}"
NSAID proposed to be acting via inhibition of COX–3 is :,,Paracetamol,"{'task': 'Open Question', 'split': 'test'}"
Drug of choice for neurogenic diabetes insipidus is?,,Desmopressin,"{'task': 'Open Question', 'split': 'test'}"
"While going for oxidation in the mitochondria, free fatty acid are transpoed by:",,"Albumin. Free fatty acids (FFA)-also called unesterified (UFA) or nonesterified (NEFA) fatty acids--are fatty acids that are in the unesterified state. In plasma, longer chain FFA are combined with albumin, and in the cell they are attached to a fatty acid binding protein. Shoer chain fatty acids are more water-soluble and exist as the unionized acid or as a fatty acid anion. Ref: Botham K.M., Mayes P.A. (2011). Chapter 22. Oxidation of Fatty Acids: Ketogenesis. In D.A. Bender, K.M. Botham, P.A. Weil, P.J. Kennelly, R.K. Murray, V.W. Rodwell (Eds), Harper's Illustrated Biochemistry, 29e.","{'task': 'Open Question', 'split': 'test'}"
Prolactin secretion will be inhibited by ?,,Dopamine,"{'task': 'Open Question', 'split': 'test'}"
Mechanism of action of sildenafil is,,Inhibits PDE 5,"{'task': 'Open Question', 'split': 'test'}"
The type of aeritis which may lead to myocardial infarction in children is,,Kawasaki disease,"{'task': 'Open Question', 'split': 'test'}"
Nodular regenerating hyperplasia is associated with ,,"Drug. Nodular regenerative hyperplasia of the liver This is the most common cause of non-cirrhotic poal hypeension in developed countries; it is characterised by small hepatocyte nodules throughout the liver without fibrosis, which can result in sinusoidal compression. It is believed to be due to damage to small hepatic aerioles and poal venules. It occurs in older people and is associated with many conditions, including connective tissue disease, haematological diseases and immunosuppressive drugs, such as azathioprine. The condition is usually asymptomatic but occasionally presents with poal hypeension or with an abdominal mass. The diagnosis is made by liver biopsy, which, in contrast to cirrhosis, shows nodule formation in the absence of fibrous septa. Liver function is good and the prognosis is very ourable. Management is based on treatment of the poal hypeension. Ref Davidson edition23rd pg899","{'task': 'Open Question', 'split': 'test'}"
The anticodon region is an impoant pa of the,,t-RNa. C i.e. t - RNA,"{'task': 'Open Question', 'split': 'test'}"
Drug of choice for sore throat caused by Group A beta hemolytic streptococcus is :,,Penicillin,"{'task': 'Open Question', 'split': 'test'}"
"In liver, ethanol is conveed to ?",,Acetaldehyde,"{'task': 'Open Question', 'split': 'test'}"
"Anakinra, used in the treatment of rheumatoid arthritis is",,"IL-1. (A) IL-1 # Recombinant IL-1 receptor antagonist (IL-1Ra) (anakinra): Inhibit IL-1 and is FDA approved for rheumatoid arthritis. Recombinant TNF-receptor-Ig fusion protein (etanercept): Inhibit TNF-alfa and is FDA approved for rheumatoid arthritis, juvenile rheumatoid arthritis, psoriasis Anti-TNF-alfa monoclonal antibody: Humanized mouse chimeric MAb, infliximab Fully humanized MAb, adalimumab inhibit TNF- alfa FDA approved for rheumatoid arthritis, Crohn's colitis (infliximab); FDA approved for rheumatoid arthritis (adalimumab). No TNF BETA inhibitors used. No IL-7 inhibitors used Anakinra is also useful in: Neonatal onset inflammatory disease, Muckle-Wells syndrome, and familial cold urticaria, Systemic juvenile onset inflammatory arthritis and adult onset Still's disease. Remember: Anakinra should not be combined with an anti-TNF drug (causes high rate of serious infections).","{'task': 'Open Question', 'split': 'test'}"
Enzyme involved in Variegate porphyria,,"Protoporphyrinogen oxidase. Enzyme InvolvedType Major Signs and SymptomsResults of Laboratory TestsProtoporphyrinogen oxidaseVariegate porphyria (hepatic)Photosensitivity, abdominal pain,neuropsychiatric symptomsUrinary ALA, PBG, and coproporphyrinIII and fecal protoporphyrinIX increasedRef: Harper&;s Biochemistry; 30th edition; Chapter 31 Porphyrins & Bile Pigments","{'task': 'Open Question', 'split': 'test'}"
Hyperuricemia is seen with,,"Chlorthiazide. Chlorthiazide is a thiazide diuretic which can lead to hyper uricema, as Thiazide diuretics competitively inhibit excretion of uric acid.","{'task': 'Open Question', 'split': 'test'}"
Select the best initial treatment for a patient with Behcet syndrome and ocular involvement,,"Systemic glucocoicoids and azathioprine. Diagnostic Criteria of Behcet's Syndrome Recurrent oral ulceration Plus 2 of the following: Recurrent genital ulceration Ocular lesions Skin lesions Positive Pathergy test Rx: Condition Treatment Lesion in uveal/ oral cavity Topical Steroids CNS/ocular Systemic steroids Serious cases Thalidomide Recent study Apremilast(Phosphodiesterase-4 inhibitor) Mucocutaneous manifestations ,Ahritis Colchicine","{'task': 'Open Question', 'split': 'test'}"
Shelf life of drug is,,Same as expiration dating period,"{'task': 'Open Question', 'split': 'test'}"
The hydrolysis of Glucose-6-phosphate is catalyzed by a specific phosphatase which is found only in:,,"Liver, intestines and kidneys","{'task': 'Open Question', 'split': 'test'}"
Fosphenytoin route of administration ,,Intravenous,"{'task': 'Open Question', 'split': 'test'}"
All of the given drugs may be useful in acute exacerbation of bronchial asthma EXCEPT,,Ipratropium,"{'task': 'Open Question', 'split': 'test'}"
In HIV number of helper T-4 cells (CD4) will be less than,,200,"{'task': 'Open Question', 'split': 'test'}"
A 15 year old child has developed dystonia and poor school grades. Slit examination is shown below. Which is the initial investigation recommended for the patient ?,,24 hour urinary copper. KF Ring can be seen in the image which is seen in Wilson disease Screening test:- 24 hours urinary copper Conformational:- Biopsy. Rx: Trientine- copper chelator Penicillamine- also chelator but less used due to nephrotic side effect. Zinc- is competitive inhibitor of copper in absorption of gut. Zinc acetateisDOCfor Wilson disease.,"{'task': 'Open Question', 'split': 'test'}"
Sphingolipids are chiefly accumulated in,,"CNS. CNS

Sphingolipids are mainly found in cell membranes, particularly nerve cells and brain tissues.","{'task': 'Open Question', 'split': 'test'}"
Digoxin is contraindicated in,,"Hypertrophic cardiomyopathy. A. i.e. (Hypertrophic cardiomyopathy) (1485 - H17th)Hypertrophic CMP - Digitalis, diuretics, nitrates, dihydropyridine calcium blockers, vasodilators and b- adrenergic agonists are best avoided, particularly in patients with know LV out flow tract pressure gradients - (1485 - H17th)Dose reduction in Digitalis in following conditions* Hypokalemia** Advanced age** Hypomagnesemia* Hypoxia** **Renal failure* Hypothyroidism* Hypercalcemia* Myocarditis* Electrical - cardioversion* Lidocaine is the drug of choice in digoxin induced arrhythmias* **Diuretics & Hemodialysis are NOT used for treatment of digitalis toxicity* Major electrophysiological effect of digitalis1. Hyperpolarization2. Shortening of atrial action potential3. Increase in AV node refractoriness","{'task': 'Open Question', 'split': 'test'}"
Most common pulmonary manifestation in AIDS:,,"Pneumonia. Pulmonary disease is one of the most frequent complications of HIV infection. The M/C manifestation of pulmonary disease is Pneumonia. Most common AIDS- defining illnesses are :- Recurrent bacterial pneumonia, Tuberculosis, and Pneumonia due to the unicellular fungus P.jiroveci.","{'task': 'Open Question', 'split': 'test'}"
Gastric motility decreases in A/E:,,Hypehyroidism,"{'task': 'Open Question', 'split': 'test'}"
Most impoant prognostic factor for colorectal carcinoma is :,,Stage of lesion,"{'task': 'Open Question', 'split': 'test'}"
"A 55-year-old male presents with renal failure, bone pain for 7 years and osteolytic lesions on X-ray. Serum electrophoresis shows M spike and 35% plasma cells with aberrant protein expression. What is the diagnosis? (E. REPEAT 2013)",,"Multiple myeloma. Ref: Harrison 's Principles of Internal Medicine, 18th edition. Pages 937-942: CMDT 2013, Pages 527-529Explanation:MULTIPLE MYELOMAMalignant proliferation of plasma cells derived from a single clone.Clinical Featureso Lytic hone lesionso Anemia with high ESRo Rnulex formation of red cellso Renal failureo Infectionso Hypercalcemia.Classical Triad of MMo Marrow plasmacytosis >10%o Lytic bone lesionso Serum and/or urine M component.Diagnosiso Monoclonal plasma cells (k, l, light chain restricted) in BM or as a tumor (solitary plasmacytoma).o End organ damage--lytic bony lesions, anemia, hypercalcemia, renal failure with paraproteinemia (mostly IgG or IgA)o Serum electrophoresis for M band (b,g)o Urine Bence Jones protein for light chainso Non secretory myeloma--No paraproteins, poor prognosis.o X-rays axial skeleton--Skull, spine, long bones, ribs for lytic lesionso PET or MRI useful for early lesionso Radionuclide scan NOT useful.DD: Smoldering myeloma and MGUS.Treatment:o Thalidomide/lenolidamide + high dose dexamethasone.o Bortezomib.o Autologous hematopoietic SCT.o Localized RT tor vertebral collapse, o Bisphosphonates for malignant hypercalcemia (beware of osteonecrosis jaw!).* PrognosisStage32 microglobulinAlbuminSurvivalStage 1<3.5 mg/L>5.5 g/dL>5 yearsStage 23.5-5.5 mg/L Stage 3>5.5 mg/L <2 years Smouldering myeloma (Asymptomatic myeloma)MGUSM protein in serum> 30g/L<30g/LBM plasma cells> 10%< 10%SymptomsNil End organ damageNilNilPlasma Cell LeukemiaPlasma cells >2000/pL in 2% of patients.Seen in IgD (12% t and IgE (25%) myelomas.","{'task': 'Open Question', 'split': 'test'}"
Rifampicin is obtained from ,,Bacteria,"{'task': 'Open Question', 'split': 'test'}"
TRUE statement about achalasia cardia is:,,"Loss of ganglion cells within the esophageal myenteric plexus. Achalasia is a rare disease It is caused by loss of the ganglion cells within the esophageal myenteric plexus With long-standing disease, viual aganglionosis is noted. Pathology: Impaired deglutitive LES relaxation and absent peristalsis. It is believed that cause of ganglion cell degeneration in achalasia is an autoimmune process attributable to a latent infection with human herpes simplex virus 1 combined with genetic susceptibility. Ref: Harrison, Edition-18, Page-2431.","{'task': 'Open Question', 'split': 'test'}"
A 12-year-old boy presents to the Outpatient depament with history of progressively increasing difficulty in walking and frequent falls. Physical examination reveals an ataxic gait and nystagmus. All deep tendon reflexes were observed to be absent while the plantar response was 'Extensor'. What is the most likely diagnosis?,,Friedreich's Ataxia,"{'task': 'Open Question', 'split': 'test'}"
"The condition in which patient present with normal
leucocyte count or less than normal and shows WBC in
the peripheral blood:",,Aleukemic Leukemia,"{'task': 'Open Question', 'split': 'test'}"
Absence seizures are characterized on EEG by,,3 Hz spike & wave,"{'task': 'Open Question', 'split': 'test'}"
Vitamin K dependent coagulation factors include:,,IX and X. B i.e. IX and X,"{'task': 'Open Question', 'split': 'test'}"
Initial treatment for pulmonary embolism is :,,Anticoagulation,"{'task': 'Open Question', 'split': 'test'}"
Treatment for male pattern alopecia includes,,"Finasteride. Finasteride and dutasteride are 5 alpha reductase inhibitors; inhibit the formation of Dihydrotestosterone. So they are used in alopecia and also in BPH. Minoxidil also used in treatment. Fulvestrant is a SERD selective estrogen down regulator Ref: KD tripathi , 8th ed","{'task': 'Open Question', 'split': 'test'}"
The most common intracranial site of hypeensive aemorrhage is:,,Basal ganglia,"{'task': 'Open Question', 'split': 'test'}"
"A 30 year old male presents with severe pain chest, breathlessness, hypotension and ECG shows ST elevation in V3, V4 V5 and V6 leads. He will be best treated with",,"PTCA. Percutaneous transluminal coronary angioplasty (PTCA) is a minimally invasive procedure to open up blocked coronary arteries, allowing blood to circulate unobstructed to the heart muscle.","{'task': 'Open Question', 'split': 'test'}"
"In mass spectrometer, peptide are studied by projection of ?",,"Hydrogen ion. A mass spectrometer generates multiple ions from the sample under investigation, it then separates them according to their specific mass-to-charge ratio (m/z), and then records the relative abundance of each ion type.In positive ionisation made, a trace of formic acid is often added to aid protonation (addition of proton or hydrogen ion) of sample molecules. Proteins and peptides are usually analysed under positive ionisation conditions.In negative ionisation mode, a trace of ammonia solution or volatile amine is added to aid deprotonation (removal of proton or hydrogen ion) of the sample molecules. Saccharides and oligonucleotides are usually analysed under negative ionisation conditions.","{'task': 'Open Question', 'split': 'test'}"
Commonest type of bronchogenic carcinoma is,,Adenocarcinoma,"{'task': 'Open Question', 'split': 'test'}"
Tamoxifen causes ?,,Endometrial hyperplasia,"{'task': 'Open Question', 'split': 'test'}"
Xeroderma pigmentation is caused due to a group of closely related abnormalities in ,,Nucleotide excision repair,"{'task': 'Open Question', 'split': 'test'}"
Peripaum cradiomyopathy occurs:,,Within 6 months. Peripaum cardiomyopathy occurs within 6 months,"{'task': 'Open Question', 'split': 'test'}"
"First purine nucleotide, which is synthesized in purine biosynthesis ?",,"IMP. The biosynthesis of purine begins with ribose-5-phosphate, derived from pentose phosphate pathway (PPP). First intermediate formed in this pathway, 5-phosphoribosyl-pyrophosphate (PRPP), is also an intermediate in purine salvage pathway. REF: Lippincott book of biochemistry 6th ed.","{'task': 'Open Question', 'split': 'test'}"
Drug of choice for Methicillin resistant staphylococcus aureus is (MRSA) ,,Vancomycin,"{'task': 'Open Question', 'split': 'test'}"
New drug for tardive dyskinesia:,,Valbenazine. C i.e. ValbenazineRef: https://www. accessdata. fda. gov/drugsatfda_docs/label/2017/209241lbl. pdfExplanation:Valbenazine:Vesicular monoamine transporter 2 (VMAT2) inhibitor.Specifically indicated for the treatment of adults with tardive dyskinesia.Supplied as a capsule for oral administration.Tetrabenazine:Centrally-acting dopamine depletor.Selective and reversible.Used in chorea associated with Huntington's disease.Deutetrabenazine: (Approved in April 2017)It is a vesicular monoamine transporter 2 (VMAT2) inhibitor.Specifically indicated for the treatment of chorea associated with Huntington's disease.Supplied as a tablet for oral administration.Safinamide:MAO B inhibitor.Approved for treatment of on off phenomena seen with levodopa in parkinson's disease.,"{'task': 'Open Question', 'split': 'test'}"
Microalbumiuria refers to urinary albumin excretion rate of: March 2004,,30-300 mg/ day,"{'task': 'Open Question', 'split': 'test'}"
A 68 year old male presented to the local general practitioner with complaints of low back ache which is more in the night. The pain was so severe that it interferes his sleep. During evaluation there was a bone lesion in the lumbar spine and biopsy from it is suggestive of blastic skeletal metastasis from an unknown primary. The next best blood test in this patient would be:,,"Serum prostatic specific antigen (PSA). In bone only metastases in men (blastic) check PSA and if elevated treat as prostatic cancer. Elevated serum PSA or tumor staining with PSA may provide confirmatory evidence of prostatic cancer in blastic bone metastasis. Ref: Harrisons Principles of Internal Medicine, 18th Edition, Pages 824-25","{'task': 'Open Question', 'split': 'test'}"
