smiles,gt,prompt
O=c1ccoc(O)c1O,128.083,Determine the molecular weight corresponding to O=c1ccoc(O)c1O.
CCCCCC(CN(O)C=O)c1nnc(C)o1,241.291,Provide the molar mass of the compound encoded as CCCCCC(CN(O)C=O)c1nnc(C)o1.
C=CC1C(C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)CC1(C)C,354.42800000000017,How heavy is the molecule C=CC1C(C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)CC1(C)C in Daltons?
O=C(CNC1CC1)NCC(C(=O)O)c1ccccc1,262.309,Calculate exactly the molecular weight for the compound O=C(CNC1CC1)NCC(C(=O)O)c1ccccc1.
CCC(CC)NC(=O)c1ncn2c1CN(CC)S(=O)(=O)c1ccccc1-2,376.4820000000001,Provide the molar mass of the compound encoded as CCC(CC)NC(=O)c1ncn2c1CN(CC)S(=O)(=O)c1ccccc1-2.
Cc1nn(CCC(=O)N2CCN(CCOc3ccc(F)cc3)CC2)c(C)c1C,388.48700000000014,What is the exact molar mass of Cc1nn(CCC(=O)N2CCN(CCOc3ccc(F)cc3)CC2)c(C)c1C?
COc1cc(/C=C2\SC(=O)N(Cc3ccc(Br)cc3)C2=O)cc(I)c1OCC(=O)Nc1ccc(C)c(Cl)c1,727.8019999999998,How heavy is the molecule COc1cc(/C=C2\SC(=O)N(Cc3ccc(Br)cc3)C2=O)cc(I)c1OCC(=O)Nc1ccc(C)c(Cl)c1 in Daltons?
Cc1c(C)n(CCCF)c2ccc3[nH]c(=O)cc(C(F)(F)F)c3c12,340.32000000000005,Calculate exactly the molecular weight for the compound Cc1c(C)n(CCCF)c2ccc3[nH]c(=O)cc(C(F)(F)F)c3c12.
CC1CCC12CC1NC12,123.19899999999998,Calculate exactly the molecular weight for the compound CC1CCC12CC1NC12.
COC(=O)c1ccc(-c2ccco2)n1CC(=O)NCc1cccc(F)c1,356.35300000000007,How heavy is the molecule COC(=O)c1ccc(-c2ccco2)n1CC(=O)NCc1cccc(F)c1 in Daltons?
C[S+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2C#N)cc1,302.31100000000004,Report the molecular weight of the structure C[S+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2C#N)cc1.
C#CC(=O)CCCC=O,124.139,Calculate exactly the molecular weight for the compound C#CC(=O)CCCC=O.
OC1C=CCC2CN2C1,125.171,Determine the molecular weight corresponding to OC1C=CCC2CN2C1.
CC(=O)NC(Cc1ccc(F)cc1)C(=O)OCc1ccccc1,315.34399999999994,What is the MW (g/mol) for CC(=O)NC(Cc1ccc(F)cc1)C(=O)OCc1ccccc1?
N#CC1NC2CNC12,109.13199999999999,What is the MW (g/mol) for N#CC1NC2CNC12?
CNC(=O)c1ccc(-c2ccc3c(c2)C(C)(C)C(=O)N3c2ccc(C#N)c(C(F)(F)F)c2)cc1F,481.44900000000007,"For the SMILES CNC(=O)c1ccc(-c2ccc3c(c2)C(C)(C)C(=O)N3c2ccc(C#N)c(C(F)(F)F)c2)cc1F, return its molecular weight."
COCCn1cnnc1[C@H](C)NC(=O)c1cn([C@H]2CC[C@@H](N)CC2)nn1,362.4380000000002,What is the exact molar mass of COCCn1cnnc1[C@H](C)NC(=O)c1cn([C@H]2CC[C@@H](N)CC2)nn1?
O=C1CC[C@H](O)C(O)[C@@H]1O,146.142,Find the molecular weight of the molecule with SMILES O=C1CC[C@H](O)C(O)[C@@H]1O.
CCc1ccc(NC(=O)[C@@H]2CCCN(c3ccc4cc(S(=O)(=O)N5CCCC5)ccc4n3)C2)cc1,492.6450000000003,What is the MW (g/mol) for CCc1ccc(NC(=O)[C@@H]2CCCN(c3ccc4cc(S(=O)(=O)N5CCCC5)ccc4n3)C2)cc1?
CN(Cc1cccs1)C(=O)c1cccnc1Nc1cccc(C(F)(F)F)c1,391.41800000000006,"For the SMILES CN(Cc1cccs1)C(=O)c1cccnc1Nc1cccc(C(F)(F)F)c1, return its molecular weight."
COc1ccc(C(=O)N2CCCC2)c(OC2CCN([C@H]3CCSC3)CC2)c1,390.54900000000015,Calculate exactly the molecular weight for the compound COc1ccc(C(=O)N2CCCC2)c(OC2CCN([C@H]3CCSC3)CC2)c1.
COC(=O)c1ccc(C)c(NC(=O)c2ccc(CN3CCCC3=O)cc2)c1,366.41700000000014,Calculate exactly the molecular weight for the compound COC(=O)c1ccc(C)c(NC(=O)c2ccc(CN3CCCC3=O)cc2)c1.
CC12COC3C(O1)C3O2,128.12699999999998,How heavy is the molecule CC12COC3C(O1)C3O2 in Daltons?
Cn1cncc1CN1C[C@@H]2OCCN(c3cnccn3)[C@@H]2C1.O=C(O)C(F)(F)F,414.3880000000001,What is the MW (g/mol) for Cn1cncc1CN1C[C@@H]2OCCN(c3cnccn3)[C@@H]2C1.O=C(O)C(F)(F)F?
NC=NC(C=O)C=O,114.10399999999998,How heavy is the molecule NC=NC(C=O)C=O in Daltons?
CCCCCCOC(=O)C(N)c1cccs1,241.35600000000002,"For the SMILES CCCCCCOC(=O)C(N)c1cccs1, return its molecular weight."
CCN(c1ccc(C(C)C)c(OC(C)C)c1)c1ccc(C(=O)O)cn1,342.439,What is the MW (g/mol) for CCN(c1ccc(C(C)C)c(OC(C)C)c1)c1ccc(C(=O)O)cn1?
CC(C)CC(=O)Nc1ccc(-c2nc(=O)c3ccccc3[nH]2)cc1,321.38,"For the SMILES CC(C)CC(=O)Nc1ccc(-c2nc(=O)c3ccccc3[nH]2)cc1, return its molecular weight."
O=C(C[C@H](c1ccsc1)n1cccc1)Nc1cccc2[nH]ccc12,335.4320000000001,Provide the molar mass of the compound encoded as O=C(C[C@H](c1ccsc1)n1cccc1)Nc1cccc2[nH]ccc12.
CC12CC1N1CC1CO2,125.17099999999999,Provide the molar mass of the compound encoded as CC12CC1N1CC1CO2.
COc1c2c(c(O)c3c1C(=O)c1c(cc(O)c(C)c1O)C3=O)-c1c(cc(C=NN=C(S)NC(C)(C)C)c(C(=O)O)c1O)CC2,619.6520000000002,Provide the molar mass of the compound encoded as COc1c2c(c(O)c3c1C(=O)c1c(cc(O)c(C)c1O)C3=O)-c1c(cc(C=NN=C(S)NC(C)(C)C)c(C(=O)O)c1O)CC2.
Cc1cccn1C(C)C,123.199,Compute the molecular weight of Cc1cccn1C(C)C in Daltons.
O=C1NC=CCOCO1,129.115,Report the molecular weight of the structure O=C1NC=CCOCO1.
O=C1C2CN3C1C3C2O,125.12699999999997,Compute the molecular weight of O=C1C2CN3C1C3C2O in Daltons.
CCn1c(SCC(=O)NC2CCCCC2)nnc1[C@@H](NC(=O)c1ccccc1Cl)C(C)C,478.0620000000001,Determine the molecular weight corresponding to CCn1c(SCC(=O)NC2CCCCC2)nnc1[C@@H](NC(=O)c1ccccc1Cl)C(C)C.
C#CC1(OC)C2CC1C2,122.16699999999999,"For the SMILES C#CC1(OC)C2CC1C2, return its molecular weight."
C/C(=N\CC(=O)CCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O)c1ccc(C(=O)Cc2ccc3[nH]c(C(=O)N4C[C@@H](CBr)c5c4cc(OC(=O)N4CCN(C)CC4)c4ccccc54)cc3c2)cc1.CC(=O)C[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)N2CCc3c2ccc2[nH]c(C(=O)N4C[C@@H](CBr)c5c4cc(OC(=O)N4CCN(C)CC4)c4ccccc54)cc32)cc1.CC(C)[C@@H](C)NCCCC(=O)CCOCCNC(=O)CCN1C(=O)C=CC1=O.CC(C)[C@H](CCC(=O)NCCNC(=O)CCOCCOCCOCCOCCCC(=O)CCN1C(=O)C=CC1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Cc1ccc(C(=O)Cc2ccc3oc(C(=O)N4C[C@@H](CCl)c5c4cc(OC(=O)N4CCN(C)CC4)c4ccccc54)cc3c2)cc1.CC(C)[C@H](NCCCC(=O)CCOCCNC(=O)CCN1C(=O)C=CC1=O)C(=O)C[C@@H](CCCNC(N)=O)C(=O)N1CCc2c1ccc1[nH]c(C(=O)N3C[C@@H](CBr)c4c3cc(OC(=O)N3CCN(C)CC3)c3ccccc43)cc21,4991.625999999994,Report the molecular weight of the structure C/C(=N\CC(=O)CCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O)c1ccc(C(=O)Cc2ccc3[nH]c(C(=O)N4C[C@@H](CBr)c5c4cc(OC(=O)N4CCN(C)CC4)c4ccccc54)cc3c2)cc1.CC(=O)C[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)N2CCc3c2ccc2[nH]c(C(=O)N4C[C@@H](CBr)c5c4cc(OC(=O)N4CCN(C)CC4)c4ccccc54)cc32)cc1.CC(C)[C@@H](C)NCCCC(=O)CCOCCNC(=O)CCN1C(=O)C=CC1=O.CC(C)[C@H](CCC(=O)NCCNC(=O)CCOCCOCCOCCOCCCC(=O)CCN1C(=O)C=CC1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Cc1ccc(C(=O)Cc2ccc3oc(C(=O)N4C[C@@H](CCl)c5c4cc(OC(=O)N4CCN(C)CC4)c4ccccc54)cc3c2)cc1.CC(C)[C@H](NCCCC(=O)CCOCCNC(=O)CCN1C(=O)C=CC1=O)C(=O)C[C@@H](CCCNC(N)=O)C(=O)N1CCc2c1ccc1[nH]c(C(=O)N3C[C@@H](CBr)c4c3cc(OC(=O)N3CCN(C)CC3)c3ccccc43)cc21.
NC1(C(=O)N2Cc3ccccc3C2)CCCC1,230.31099999999992,Report the molecular weight of the structure NC1(C(=O)N2Cc3ccccc3C2)CCCC1.
c1cc(CC2CC2)on1,123.15499999999999,What is the exact molar mass of c1cc(CC2CC2)on1?
NS(=O)(=O)c1ccc(-n2nnc(CS(=O)(=O)C3OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)c2I)cc1,752.5150000000003,Determine the molecular weight corresponding to NS(=O)(=O)c1ccc(-n2nnc(CS(=O)(=O)C3OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)c2I)cc1.
CCc1ccc([C@@H]2CN(CCCC#N)CCO2)cc1,258.3649999999999,Provide the molar mass of the compound encoded as CCc1ccc([C@@H]2CN(CCCC#N)CCO2)cc1.
Cc1nc(C2(NC3CC3)CN3CCC2CC3)sc1C,277.43699999999995,Calculate exactly the molecular weight for the compound Cc1nc(C2(NC3CC3)CN3CCC2CC3)sc1C.
CC1C=C(Cl)N(C(=O)Cl)CCC1,208.08799999999997,Compute the molecular weight of CC1C=C(Cl)N(C(=O)Cl)CCC1 in Daltons.
O=C(Nc1ccc(F)cn1)c1ccc([S+]([O-])Cc2ccccc2O)nc1,371.39300000000003,What is the MW (g/mol) for O=C(Nc1ccc(F)cn1)c1ccc([S+]([O-])Cc2ccccc2O)nc1?
COc1cccc([C@@H]2CC(=O)Nc3c2ncn3-c2ccccc2F)c1OC(C)C,395.43400000000014,Calculate exactly the molecular weight for the compound COc1cccc([C@@H]2CC(=O)Nc3c2ncn3-c2ccccc2F)c1OC(C)C.
CN1CCN(C(=O)c2ccc3nc[nH]c3c2)CC1(C)C,272.352,What is the MW (g/mol) for CN1CCN(C(=O)c2ccc3nc[nH]c3c2)CC1(C)C?
CCC1CC(OC)C1=O,128.171,Provide the molar mass of the compound encoded as CCC1CC(OC)C1=O.
Cc1cc(C)c(B(/C=C(/B2OC(C)(C)C(C)(C)O2)c2cccc(Br)c2)c2c(C)cc(C)cc2C)c(C)c1,557.19,What is the MW (g/mol) for Cc1cc(C)c(B(/C=C(/B2OC(C)(C)C(C)(C)O2)c2cccc(Br)c2)c2c(C)cc(C)cc2C)c(C)c1?
O=CC12CCC1(CO)N2,127.14299999999999,Calculate exactly the molecular weight for the compound O=CC12CCC1(CO)N2.
CCC1C=C(Cn2cc(C(=O)Nc3c[nH]c(=O)c(-c4cc5cc(OCCCN(CC)CC)ccc5[nH]4)c3)cn2)C=CC1,568.7220000000003,Compute the molecular weight of CCC1C=C(Cn2cc(C(=O)Nc3c[nH]c(=O)c(-c4cc5cc(OCCCN(CC)CC)ccc5[nH]4)c3)cn2)C=CC1 in Daltons.
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COCCCCCCCC/C=C\CCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,881.3799999999999,Calculate exactly the molecular weight for the compound CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COCCCCCCCC/C=C\CCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC.
CCc1c(C)nc2ncnn2c1N1CCC(C(=O)NCc2ccc3c(c2)OCO3)CC1,422.48900000000026,"For the SMILES CCc1c(C)nc2ncnn2c1N1CCC(C(=O)NCc2ccc3c(c2)OCO3)CC1, return its molecular weight."
C=CCNC(=O)c1cccnc1N1CCOCC1,247.29799999999992,Compute the molecular weight of C=CCNC(=O)c1cccnc1N1CCOCC1 in Daltons.
COc1cc(OC)c(NC(=O)N2CCOCC2)cc1Cl,300.74199999999996,Find the molecular weight of the molecule with SMILES COc1cc(OC)c(NC(=O)N2CCOCC2)cc1Cl.
Cc1nc(C(=O)NC2CCOC(C)(C)C2)c(-c2ccccc2)s1,330.453,"For the SMILES Cc1nc(C(=O)NC2CCOC(C)(C)C2)c(-c2ccccc2)s1, return its molecular weight."
CCOC(=O)C1=C(CN(C)C2CCCCC2)NC(=O)N[C@@H]1c1ccc(OC(C)C)cc1,429.5610000000001,Report the molecular weight of the structure CCOC(=O)C1=C(CN(C)C2CCCCC2)NC(=O)N[C@@H]1c1ccc(OC(C)C)cc1.
COc1cccc(NC(=O)N(C)CC2Oc3ncc(C=Cc4ccccc4)cc3C(=O)N(C(C)CO)CC2C)c1,544.6520000000003,How heavy is the molecule COc1cccc(NC(=O)N(C)CC2Oc3ncc(C=Cc4ccccc4)cc3C(=O)N(C(C)CO)CC2C)c1 in Daltons?
CCOC(=O)c1ccc(-c2ccc(C=NNC(=O)CN(c3ccccc3Cl)S(C)(=O)=O)o2)cc1,503.9640000000002,Find the molecular weight of the molecule with SMILES CCOC(=O)c1ccc(-c2ccc(C=NNC(=O)CN(c3ccccc3Cl)S(C)(=O)=O)o2)cc1.
NN1CCCCC1.O.O,136.195,Provide the molar mass of the compound encoded as NN1CCCCC1.O.O.
CC1CC2OC12C=O,112.12799999999999,Determine the molecular weight corresponding to CC1CC2OC12C=O.
Cc1noc(C(=O)Nc2ccc3c(c2)OCO3)c1Cl,280.667,Report the molecular weight of the structure Cc1noc(C(=O)Nc2ccc3c(c2)OCO3)c1Cl.
Cc1onc(CO)c1-c1cccn2c(CCCOc3cccc4ccccc34)c(C(=O)O)cc12,456.49800000000016,Find the molecular weight of the molecule with SMILES Cc1onc(CO)c1-c1cccn2c(CCCOc3cccc4ccccc34)c(C(=O)O)cc12.
Cc1cccc(-n2nc(C)cc2NC(=O)[C@H]2CCCO2)c1,285.34700000000004,What is the exact molar mass of Cc1cccc(-n2nc(C)cc2NC(=O)[C@H]2CCCO2)c1?
O=CNC1CC2OCC12,127.14299999999999,What is the MW (g/mol) for O=CNC1CC2OCC12?
Cc1cc(C(=O)NC2CCCCCC2)c(C)n1Cc1ccco1,314.429,What is the exact molar mass of Cc1cc(C(=O)NC2CCCCCC2)c(C)n1Cc1ccco1?
CC1C=CC2C(=O)CC12,122.16699999999999,"For the SMILES CC1C=CC2C(=O)CC12, return its molecular weight."
NNC(Cc1ccc(F)cc1F)c1cccc(F)c1Br,345.162,How heavy is the molecule NNC(Cc1ccc(F)cc1F)c1cccc(F)c1Br in Daltons?
Cn1nc(CC(=O)Nc2ccc(Oc3ccccc3)cc2)c2ccccc2c1=O,385.4230000000001,"For the SMILES Cn1nc(CC(=O)Nc2ccc(Oc3ccccc3)cc2)c2ccccc2c1=O, return its molecular weight."
CN1CC[C@H]2CC[C@@H](C1)N2C(=O)CNS(C)(=O)=O,275.374,Provide the molar mass of the compound encoded as CN1CC[C@H]2CC[C@@H](C1)N2C(=O)CNS(C)(=O)=O.
Cc1cc(Br)c(NC(=O)c2ccccc2[N+](=O)[O-])cc1C,349.18400000000014,Determine the molecular weight corresponding to Cc1cc(Br)c(NC(=O)c2ccccc2[N+](=O)[O-])cc1C.
Cc1ccc(-n2ncc(C(=O)N3CCN(c4ccccc4F)CC3)c2C2CCN(C(=O)OC(C)(C)C)CC2)cc1C,561.7020000000003,Report the molecular weight of the structure Cc1ccc(-n2ncc(C(=O)N3CCN(c4ccccc4F)CC3)c2C2CCN(C(=O)OC(C)(C)C)CC2)cc1C.
CC1OC1CCN1CC1,127.18700000000001,Calculate exactly the molecular weight for the compound CC1OC1CCN1CC1.
O=C(COC(=O)C=Cc1ccc(Cl)cc1)NCCN1C(=O)CSC1=O,382.82500000000016,What is the MW (g/mol) for O=C(COC(=O)C=Cc1ccc(Cl)cc1)NCCN1C(=O)CSC1=O?
CCCO[Si]=O,103.17299999999999,Compute the molecular weight of CCCO[Si]=O in Daltons.
Cc1cc(NC(=O)NS(=O)(=O)N(c2cnn(C)c2)C2CCOCC2)c(C)s1,413.52500000000026,What is the exact molar mass of Cc1cc(NC(=O)NS(=O)(=O)N(c2cnn(C)c2)C2CCOCC2)c(C)s1?
C#CC1C2C(C)CCN12,121.183,"For the SMILES C#CC1C2C(C)CCN12, return its molecular weight."
Cc1cc(-c2n[nH]c3ccc(C(=O)NC4CCC5CCC4N5Cc4ccccc4F)cc23)ccn1,469.5640000000002,What is the exact molar mass of Cc1cc(-c2n[nH]c3ccc(C(=O)NC4CCC5CCC4N5Cc4ccccc4F)cc23)ccn1?
CC(C)C1(C)CCC1C,126.24299999999998,How heavy is the molecule CC(C)C1(C)CCC1C in Daltons?
CC1CCN(C(CNC(=O)COc2ccc(C#N)cc2)c2cccs2)CC1,383.5170000000001,Find the molecular weight of the molecule with SMILES CC1CCN(C(CNC(=O)COc2ccc(C#N)cc2)c2cccs2)CC1.
CC(C)(C)c1ccc(CN2CCC(N3CCS(=O)(=O)CC3)CC2)s1,370.5840000000002,Find the molecular weight of the molecule with SMILES CC(C)(C)c1ccc(CN2CCC(N3CCS(=O)(=O)CC3)CC2)s1.
C#CC1C2C(=O)C(C)C12,120.15099999999998,Calculate exactly the molecular weight for the compound C#CC1C2C(=O)C(C)C12.
CC(=O)OC1CCC1,114.144,Find the molecular weight of the molecule with SMILES CC(=O)OC1CCC1.
