rep_1,rep_2,question,answer,task
iupac,smiles,"Are the chemical entities represented by N-[2-[[5-(2,2-dimethylpropanoyl)-1,3-thiazol-2-yl]-ethylamino]ethyl]-5-methylsulfonyl-2-propan-2-yloxybenzamide and CS(=O)(=O)c1cc(C(NCCN(CC)c2ncc(s2)C(=O)C(C)(C)C)=O)c(cc1)OC(C)C the same?",1,name_equivalence
iupac,smiles,Is the molecule described by 1-[[5-(2-fluorophenyl)thiophen-2-yl]methyl]-3-[2-(morpholin-4-ylmethyl)phenyl]-1-propan-2-ylurea identical to the one described by Brc1ncccc1Cn1ccnc1?,0,name_equivalence
iupac,smiles,Determine whether 2-methyl-6-[4-(2-methylbutyl)cyclohexyl]naphthalene and CC(C)COc1ccc(NC(=O)Cc2cn3cc(C(F)(F)F)cc(Cl)c3n2)cc1 refer to the same chemical compound.,0,name_equivalence
smiles,iupac,"Do COc1ccc(OC)c(CNc2nc3c(C)cccc3cc2-c2noc(C)n2)c1 and N-[(2,5-dimethoxyphenyl)methyl]-8-methyl-3-(5-methyl-1,2,4-oxadiazol-3-yl)quinolin-2-amine correspond to the same molecular structure?",1,name_equivalence
iupac,smiles,Assess whether (2S)-2-(2-chloro-5-methylphenoxy)-N-[[6-(dimethylamino)-3-pyridinyl]methyl]propanamide and O=C(C1=C(O)C(=O)N(Cc2ccco2)[C@@H]1c1cccc(F)c1)c1ccc(Cl)cc1 denote the same chemical substance.,0,name_equivalence
iupac,smiles,"Verify whether N-[[5-cyclopropyl-1-(3-methyl-1,1-dioxothiolan-3-yl)pyrazol-4-yl]methyl]ethanamine and C(NCC)c1c(C2CC2)n(nc1)C1(C)CS(=O)(=O)CC1 correspond to an identical molecule.",1,name_equivalence
smiles,iupac,"Are the chemical entities represented by Cc1nc(-c2ccc(OCC(C)C)c(F)c2)[se]c1C(=O)O and 2-[3-fluoro-4-(2-methylpropoxy)phenyl]-4-methyl-1,3-selenazole-5-carboxylic acid the same?",1,name_equivalence
smiles,iupac,"Do these two representations, SC(S)(CC1CS1)SC(CC(SC(S)(S)CC1CS1)SC(S)(S)CC1CS1)SC(S)(S)CC1CS1 and 2-(thiiran-2-yl)-1-[1,3,3-tris[[1,1-bis(sulfanyl)-2-(thiiran-2-yl)ethyl]sulfanyl]propylsulfanyl]ethane-1,1-dithiol, describe the same molecule?",1,name_equivalence
smiles,iupac,Are the chemical entities represented by OCc1cc(F)ncc1-c1ccccc1F and [2-fluoro-5-(2-fluorophenyl)-4-pyridinyl]methanol the same?,0,name_equivalence
iupac,smiles,"Determine whether methyl (2S)-2-(4,5-dihydro-1,3-thiazol-2-ylsulfanyl)propanoate and C(OC)(=O)[C@@H](SC1=NCCS1)C refer to the same chemical compound.",1,name_equivalence
iupac,smiles,"Do N-[[(3S)-2,3-dihydro-1,4-benzodioxin-3-yl]methyl]-3-methyl-6-(4-methylphenyl)-[1,2]oxazolo[5,4-b]pyridine-4-carboxamide and n1c(cc(C(=O)NC[C@H]2COc3ccccc3O2)c2c1onc2C)-c1ccc(cc1)C correspond to the same molecular structure?",1,name_equivalence
iupac,smiles,"Verify whether N-[2-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]-2-(2-oxopyrimidin-1-yl)acetamide and COc1cccc(NC(=O)[C@H]2C[C@@H]2c2ccc3c(c2)OCCO3)c1 correspond to an identical molecule.",0,name_equivalence
iupac,smiles,"Do these two representations, 3-[4-[6-fluoro-9-(4-fluorophenyl)-3,4,4a,9a-tetrahydro-1H-pyrido[3,4-b]indol-2-yl]butyl]imidazolidine-2,4-dione and CCC12COC(=N)N1C2, describe the same molecule?",0,name_equivalence
smiles,iupac,"Do these two representations, CCN(C(=O)c1ccc(CNc2nc(Nc3ccccc3)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1 and 4-[[[4-anilino-6-(6,7-dimethoxy-3,4-dihydro-1H-isoquinolin-2-yl)-1,3,5-triazin-2-yl]amino]methyl]-N-ethyl-N-(3-methylphenyl)benzamide, describe the same molecule?",0,name_equivalence
iupac,smiles,"Are (2-oxo-1-phenyl-3-prop-2-enyl-1,8-naphthyridin-4-yl) acetate and COc1cccc(OCc2ccc(C(=O)NCCCc3nnc4ccccn34)o2)c1 equivalent representations of the same molecule?",0,name_equivalence
iupac,smiles,"Do the two chemical representations (1R,6R,7S)-7-ethenyl-4,4,11,11-tetramethyl-3,5,10,12-tetraoxatricyclo[7.3.0.02,6]dodecane and O=CC1C(CO)N1C=O describe the same molecule?",0,name_equivalence
iupac,smiles,"Given 5-(3-fluorophenyl)-10-(hydroxymethyl)-12-(3-methylphenyl)sulfonyl-6-oxo-7,12-diazatricyclo[7.2.1.02,7]dodeca-2,4-diene-11-carboxylic acid and c12n(CC3C(CO)C(C(=O)O)C1N3S(=O)(=O)c1cc(C)ccc1)c(=O)c(-c1cccc(c1)F)cc2, determine if they describe the same molecular structure.",1,name_equivalence
iupac,smiles,"Is the molecule described by 3-(2,3,3a,4,5,6,7,7a-octahydro-1-benzofuran-4-ylamino)-1-(2-methoxyphenyl)pyrrolidin-2-one identical to the one described by Nc1ncnc2ncn(C3CC(O)C(O)C(CO)O3)c12?",0,name_equivalence
smiles,iupac,Verify whether COc1ccccc1O and 2-methoxyphenol correspond to an identical molecule.,0,name_equivalence
iupac,smiles,Are the chemical entities represented by 1-(2H-triazol-4-yl)cyclopropan-1-ol and Cc1cscc1C(=O)NC[C@@H](O)C(C)C the same?,0,name_equivalence
smiles,iupac,"Are the chemical entities represented by CCOC(=O)[C@H]1[C@H]2NC(=S)N(c3cccc(C)c3)[C@@]1(C)Oc1ccc(Cl)cc12 and ethyl (1R,9S,13S)-4-chloro-9-methyl-10-(3-methylphenyl)-11-sulfanylidene-8-oxa-10,12-diazatricyclo[7.3.1.02,7]trideca-2(7),3,5-triene-13-carboxylate the same?",1,name_equivalence
smiles,iupac,"Is the molecule described by COc1ccccc1N1CCN(C(=O)CC(O)c2cc(OC)c(OC)c(OC)c2)CC1 identical to the one described by 3-hydroxy-1-[4-(2-methoxyphenyl)piperazin-1-yl]-3-(3,4,5-trimethoxyphenyl)propan-1-one?",0,name_equivalence
iupac,smiles,"Is the molecule described by 3-[(3S)-3-(3,5-dimethylpyrazol-1-yl)pyrrolidin-1-yl]-N-(2-methylphenyl)-3-oxopropanamide identical to the one described by CC(C)(C)C(=O)Nc1ccc(C(=O)NC[C@H]2CCCOC2)cn1?",0,name_equivalence
iupac,smiles,"Determine whether N-[4,5-dimethyl-3-[(4-pyridin-2-ylpiperazin-1-yl)methyl]thiophen-2-yl]benzamide and N(c1sc(C)c(c1CN1CCN(CC1)c1ccccn1)C)C(c1ccccc1)=O refer to the same chemical compound.",1,name_equivalence
smiles,iupac,"Are the chemical entities represented by Cc1ccc(-n2nc(C(=O)Nc3ccc(Br)cc3)nc2-c2ccccc2)cc1C and N-(4-bromophenyl)-1-(3,4-dimethylphenyl)-5-phenyl-1,2,4-triazole-3-carboxamide the same?",0,name_equivalence
iupac,smiles,"Do these two representations, 3-(4-benzylpiperazin-1-yl)-N'-[2-(3,4-dichlorophenyl)acetyl]propanehydrazide and C(N1CCN(Cc2ccccc2)CC1)CC(=O)NNC(=O)Cc1cc(c(cc1)Cl)Cl, describe the same molecule?",1,name_equivalence
iupac,smiles,"Verify whether 2-[(3-tert-butyl-4-oxo-[1,3,4]thiadiazolo[2,3-c][1,2,4]triazin-7-yl)sulfanyl]-N-(4-chlorophenyl)acetamide and n12c(c(nnc2sc(n1)SCC(=O)Nc1ccc(Cl)cc1)C(C)(C)C)=O correspond to an identical molecule.",1,name_equivalence
smiles,iupac,"Given O=C(Cn1ccc2ccccc2c1=O)N1CCC(Cc2ccccc2)CC1 and 2-[2-(4-benzylpiperidin-1-yl)-2-oxoethyl]isoquinolin-1-one, determine if they describe the same molecular structure.",1,name_equivalence
iupac,smiles,"Are 2-[benzyl-(3,4-dichlorophenyl)sulfonylamino]-N-(3-methylphenyl)acetamide and c1cc(cc(c1)C)NC(CN(S(c1ccc(Cl)c(Cl)c1)(=O)=O)Cc1ccccc1)=O equivalent representations of the same molecule?",1,name_equivalence
smiles,iupac,"Is the molecule described by O=C([C@@H]1C[C@@H]1c1ccc(Cl)c(Cl)c1)N1CCCS1(=O)=O identical to the one described by [(1R,2S)-2-(3,4-dichlorophenyl)cyclopropyl]-(1,1-dioxo-1,2-thiazolidin-2-yl)methanone?",0,name_equivalence
smiles,iupac,"Are Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(CCCO)c2n1 and 2-amino-6-(2,6-dichlorophenyl)-8-(3-hydroxypropyl)pyrido[2,3-d]pyrimidin-7-one equivalent representations of the same molecule?",0,name_equivalence
smiles,iupac,Assess whether COc1ccc(C(=O)NCC(=O)OCc2ccc(F)cc2)cc1 and (4-fluorophenyl)methyl 2-[(4-methoxybenzoyl)amino]acetate denote the same chemical substance.,1,name_equivalence
iupac,smiles,"Are N-benzyl-3-[2-(dimethylamino)ethyl]-5-[2-(2,5-dioxo-4,4-diphenylimidazolidin-1-yl)ethyl]-1H-indole-2-carboxamide and c1(ccccc1)C1(c2ccccc2)NC(=O)N(C1=O)CCc1cc2c([nH]c(c2CCN(C)C)C(NCc2ccccc2)=O)cc1 equivalent representations of the same molecule?",1,name_equivalence
smiles,iupac,"Are the chemical entities represented by CC(C)=CC1C(C(=O)OCCOc2cc3c(cc2Cl)OCO3)C1(C)C and 2-[(6-chloro-1,3-benzodioxol-5-yl)oxy]ethyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate the same?",0,name_equivalence
smiles,iupac,Determine whether CCC1(c2cc(-c3cccc(OC)c3)cs2)CC(=O)N(C)C(N)=N1 and 2-amino-6-ethyl-6-[4-(3-methoxyphenyl)thiophen-2-yl]-3-methyl-5H-pyrimidin-4-one refer to the same chemical compound.,0,name_equivalence
smiles,iupac,"Are Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O and 2,4-dibromo-6-(3,5-dibromo-2-hydroxyphenyl)phenol equivalent representations of the same molecule?",0,name_equivalence
iupac,smiles,"Do 1-[(3R,5S)-3,5-dimethylpiperidin-1-yl]-2-[(6-methyl-3-pyridinyl)oxy]ethanone and C1[C@@H](C)C[C@@H](C)CN1C(COc1ccc(nc1)C)=O correspond to the same molecular structure?",1,name_equivalence
iupac,smiles,"Do 2-[(3-chlorophenyl)methylsulfanyl]-3-(2-methoxyphenyl)-5H-pyrimido[5,4-b]indol-4-one and CNc1coc(N)c1 correspond to the same molecular structure?",0,name_equivalence
iupac,smiles,"Do the two chemical representations (5-propyl-1H-pyrazol-3-yl)-[(3R)-3-([1,2,4]triazolo[4,3-a]pyridin-3-yl)piperidin-1-yl]methanone and Cc1ccc(-c2nnc(SCC(=O)c3ccc(Cl)cc3)n2-c2ccccc2)cc1 describe the same molecule?",0,name_equivalence
smiles,iupac,Do c1ccc(OCCCCN2CCN(c3ccccc3)CC2)cc1 and 1-(4-phenoxybutyl)-4-phenylpiperazine correspond to the same molecular structure?,1,name_equivalence
smiles,smiles,Verify whether CC1(O)C=CC2NC21 and CC1(O)C2C(C=C1)N2 correspond to an identical molecule.,1,name_equivalence
smiles,smiles,Do the two chemical representations CC12OC=NC1C2CO and CC1C(O)C(C)C1(C)C describe the same molecule?,0,name_equivalence
smiles,smiles,Do the two chemical representations NCC1CCCCCC1Oc1ccc(Cl)c2cccnc12 and CCCCCOc1ncccc1C(O)CCCCCCC(=O)OC describe the same molecule?,0,name_equivalence
smiles,smiles,Do CCOC(=O)C1C(C(=O)OCC)C12C(=O)Nc1ccc(F)cc12 and c1nc2c(o1)COCC2 correspond to the same molecular structure?,0,name_equivalence
smiles,smiles,"Given C#CCC(=O)C1CO1 and Cc1ccccc1C(=O)N(Cc1cnc(S(=O)(=O)Cc2ccccc2)n1C[C@@H]1CCCO1)C1CC1, determine if they describe the same molecular structure.",0,name_equivalence
smiles,smiles,"Do these two representations, N=C1CC(O)CC(=O)O1 and Cn1c(SCC(=O)Nc2ccc(Oc3ccccc3)cc2)nnc1-c1ccncc1, describe the same molecule?",0,name_equivalence
smiles,smiles,Do the two chemical representations C/C(=N\O)c1cc(Cl)c2cccc3c2c1CC3 and O=C(NCC1CCCN(c2nccs2)C1)C1CC1 describe the same molecule?,0,name_equivalence
smiles,smiles,"Given NC(=O)c1ccc2nc(C(=O)O)cc(O)c2c1 and Oc1c2c(ccc(C(N)=O)c2)nc(C(O)=O)c1, determine if they describe the same molecular structure.",1,name_equivalence
smiles,smiles,Do C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCCCC2)CCCO4)c1 and CCC(c1nnnn1Cc1ccco1)N(Cc1ccc(OC)cc1)Cc1cc2cccc(C)c2[nH]c1=O correspond to the same molecular structure?,0,name_equivalence
smiles,smiles,"Given CC12CCC1(C#N)N2 and C(C12C(CC2)(N1)C)#N, determine if they describe the same molecular structure.",1,name_equivalence
smiles,smiles,Is the molecule described by CC1(C=O)COC2CC21 identical to the one described by CC1=C(C(=O)OC(C)C)[C@@H](c2cccc([N+](=O)[O-])c2)C2=C(C[C@H](c3ccc(Cl)cc3)CC2=O)N1?,0,name_equivalence
smiles,smiles,Determine whether COC[C@@]1(C(=O)O)CCN(C(=O)c2ccc(Oc3ccccc3)o2)C1 and C(OC)[C@@]1(C(=O)O)CCN(C(=O)c2oc(cc2)Oc2ccccc2)C1 refer to the same chemical compound.,1,name_equivalence
smiles,smiles,Verify whether CCC1C2COC1(C)C2 and Cc1cc(C)nc(NS(=O)(=O)c2ccc(Nc3c4ccccc4nc4c(C(=O)Nc5ccc(S(=O)(=O)N=C(N)N)cc5)cccc34)cc2)n1 correspond to an identical molecule.,0,name_equivalence
smiles,smiles,Determine whether COC(=O)c1ccc(-c2c(C#N)[n+]([O-])c3cc(Cl)c(Cl)cc3[n+]2[O-])cc1 and O=C(CCC1CCCC1)c1ccc(OC(F)(F)F)cc1 refer to the same chemical compound.,0,name_equivalence
smiles,smiles,Is the molecule described by [NH3+]Cc1[nH]ncc1[O-] identical to the one described by Cc1cc(CN2CCN(CCS(C)(=O)=O)CC2)no1?,0,name_equivalence
smiles,smiles,Determine whether CC(NC(=O)c1cncs1)c1ccc(C2CN(c3ccc(OCC4CC4)cc3)C2)cc1 and CC(=O)N1CCCc2ccc(S(=O)(=O)Nc3cc(-c4nc[nH]n4)ccc3F)cc21 refer to the same chemical compound.,0,name_equivalence
smiles,smiles,Are the chemical entities represented by Cc1ccc(C(=O)Oc2ccc(Cl)c(Cl)c2)cc1S(C)(=O)=O and CSc1ncc(CN2CCc3c([nH]c4ccccc34)C2c2ccccc2C)cn1 the same?,0,name_equivalence
smiles,smiles,"Given N#CC12CC1CC1NC12 and O=C(CC1CCC(NC(=O)C2CCOCC2)C(CO)O1)NCC1CC1, determine if they describe the same molecular structure.",0,name_equivalence
smiles,smiles,"Given OCC12CC3OC(C1)C32 and C12OC3CC(C2)(C31)CO, determine if they describe the same molecular structure.",1,name_equivalence
smiles,smiles,"Given CC1C2CC3OCC3C12 and C12COC1CC1C(C12)C, determine if they describe the same molecular structure.",1,name_equivalence
smiles,smiles,Verify whether CCC(Cl)CC(Cl)C(Cl)C(Cl)C(Cl)C(C)Cl and ClC(C(Cl)C(Cl)C(C(C)Cl)Cl)CC(Cl)CC correspond to an identical molecule.,1,name_equivalence
smiles,smiles,Is the molecule described by CCC12C(C)C1C1CN12 identical to the one described by CCCCCCNC1CCN(S(=O)(=O)c2ccc(CNC(=O)c3ccccc3)s2)CC1?,0,name_equivalence
smiles,smiles,"Do these two representations, CCCCCCCCCCCC1c2cc3c4c(Br)c2OCOc2c1cc1c(c2Br)OCOc2c(cc5c(c2Br)O[P+]([O-])(c2ccccc2)Oc2c(cc(c(c2Br)OCO4)[C@H]3CCCCCCCCCCC)C5CCCCCCCCCCC)[C@H]1CCCCCCCCCCC and C(CC[C@@H]1c2c3OCOc4c1cc1c(OCOc5c(Br)c6c(cc5C1CCCCCCCCCCC)[C@@H](c1c(OCO6)c(c5c(C(c(c(O[P+](O5)(c5ccccc5)[O-])c3Br)c2)CCCCCCCCCCC)c1)Br)CCCCCCCCCCC)c4Br)CCCCCCCC, describe the same molecule?",1,name_equivalence
smiles,smiles,Are OC(c1ccc(F)cc1)(c1ccc(F)cc1)[C@H]1CCNC1 and CCC1(C)NC(C(C)C)N(CC2CCCO2)C1=O equivalent representations of the same molecule?,0,name_equivalence
smiles,smiles,"Given CC1OC(=O)NC1C=O and O=CC12CC(O)CC1N2, determine if they describe the same molecular structure.",0,name_equivalence
smiles,smiles,Are the chemical entities represented by O=C(/C=C/c1cnc[nH]1)N1CC[C@H](Cc2ccccc2)[C@@H](O)C1 and [C@@H]1(Cc2ccccc2)[C@H](CN(C(=O)/C=C/c2[nH]cnc2)CC1)O the same?,1,name_equivalence
smiles,smiles,Is the molecule described by Cc1sc2ncn(CC(=O)NC[C@H]3COc4ccccc4O3)c(=O)c2c1S(=O)(=O)N1CCCCC1 identical to the one described by O=C(NC[C@@H]1Oc2ccccc2OC1)Cn1cnc2c(c(S(=O)(=O)N3CCCCC3)c(s2)C)c1=O?,1,name_equivalence
smiles,smiles,Do O=C(Oc1ccc(OCC2CO2)cc1)c1ccccc1 and O=C(c1ccccc1)Oc1ccc(cc1)OCC1OC1 correspond to the same molecular structure?,1,name_equivalence
smiles,smiles,Assess whether CC[C@H](Cn1cncn1)NCc1cc(C(F)(F)F)ccc1N1CCN(C)CC1 and CC(=O)C(CO)C1CO1 denote the same chemical substance.,0,name_equivalence
smiles,smiles,Do CC12NC3(C#N)CC1C32 and CC12C3CC(N1)(C32)C#N correspond to the same molecular structure?,1,name_equivalence
smiles,smiles,"Do these two representations, OCC1=CCCC2NC12 and CCC(O)C#CC=O, describe the same molecule?",0,name_equivalence
smiles,smiles,Is the molecule described by CCCOC(=O)CN1C(=O)/C(=C2/C(=O)Nc3c(C)cccc32)SC1=S identical to the one described by COc1ccccc1[C@@H](C)NC(=O)CN(c1ccccc1OC)S(C)(=O)=O?,0,name_equivalence
smiles,smiles,Are Cc1ccc(C(=O)O)c(NC(C)c2ccccc2)n1 and Cc1c(C(=O)Nc2ccc(Cl)cc2)c2ccccn2c1C(=O)c1ccc([N+](=O)[O-])cc1 equivalent representations of the same molecule?,0,name_equivalence
smiles,smiles,"Do these two representations, CC12OC(=N)C1C2C=O and O=c1[nH]cn[nH]1, describe the same molecule?",0,name_equivalence
smiles,smiles,Assess whether O=C(O)C1CCC(NCCCN2CCN(c3ccccc3Cl)CC2)CC1 and c1cccc(Cl)c1N1CCN(CC1)CCCNC1CCC(C(O)=O)CC1 denote the same chemical substance.,1,name_equivalence
smiles,smiles,Are CC1CN1CC1(C)CN1 and C1C(N1CC1(NC1)C)C equivalent representations of the same molecule?,1,name_equivalence
smiles,smiles,Determine whether Cc1nn(-c2ccc(N3CCN(C(=O)c4cc5ccccc5oc4=O)CC3)nn2)c(C)c1C and c1(C(N2CCN(CC2)c2nnc(-n3nc(c(c3C)C)C)cc2)=O)c(oc2c(c1)cccc2)=O refer to the same chemical compound.,1,name_equivalence
smiles,smiles,Are CNc1ccc(Cl)cc1-c1nc(-c2c(C)ncc3c2CCNC3)no1 and c1(cc(-c2nc(no2)-c2c3c(CNCC3)cnc2C)c(cc1)NC)Cl equivalent representations of the same molecule?,1,name_equivalence
smiles,smiles,"Do these two representations, CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCC/C=C\CCCCCC and P(OC[C@H](OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)(O)(=O)OC[C@H](N)C(=O)O, describe the same molecule?",1,name_equivalence
smiles,smiles,"Given CC12CCC13CC2CO3 and Cc1cc(O)cc2c1C=C(c1ccc(O)cc1)CO2.Cc1cccc(C2=Cc3c(O)cc(O)cc3OC2)c1, determine if they describe the same molecular structure.",0,name_equivalence
smiles,smiles,Determine whether NC1CCCC1C(=O)Nc1cc(F)cc([N+](=O)[O-])c1 and c1(cc(cc(c1)[N+](=O)[O-])F)NC(C1CCCC1N)=O refer to the same chemical compound.,1,name_equivalence
smiles,smiles,"Given COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)/C=C/c3ccc(OC)cc3)c3cc(C)ccc32)S1 and C(=O)(C1=C(C(OC)=O)SC(=C2C(=S)C(N(C(=O)/C=C/c3ccc(cc3)OC)c3c2ccc(C)c3)(C)C)S1)OC, determine if they describe the same molecular structure.",1,name_equivalence
smiles,smiles,Is the molecule described by CCNc1ccnc(C2(c3ccccc3)CC2)n1 identical to the one described by n1c(nc(cc1)NCC)C1(c2ccccc2)CC1?,1,name_equivalence
smiles,smiles,Are the chemical entities represented by CCC1OC1COC=O and O1C(C1COC=O)CC the same?,1,name_equivalence
smiles,smiles,"Do these two representations, CCC1NC1C1CN1 and O=C(Nc1cc(-c2cccnc2)[nH]n1)C1Cc2ccccc2C1, describe the same molecule?",0,name_equivalence
smiles,smiles,Verify whether O=CC1=NC2CC(C2)O1 and N1C2CC(OC=1C=O)C2 correspond to an identical molecule.,1,name_equivalence
smiles,smiles,Is the molecule described by C#CC12CC3C(=O)N1C32 identical to the one described by C#CC12CC3C(N2C31)=O?,1,name_equivalence
smiles,smiles,"Do these two representations, O=CC12OC=NC1C2O and C1(O)C2N=COC12C=O, describe the same molecule?",1,name_equivalence
smiles,smiles,Are CCCOC1(C)CC1C and O(CCC)C1(C(C)C1)C equivalent representations of the same molecule?,1,name_equivalence
smiles,smiles,Do N=C(OC=O)C(N)=O and NC(=O)C(=N)OC=O correspond to the same molecular structure?,1,name_equivalence
iupac,smiles,Which compound more closely resembles CO[C@H]1O[C@H](CO[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)[C@@H](O)[C@@H]2O)[C@@H]2O[C@H]12: C#CC1C2C3C(=O)N1C32 or N=c1cnc(N)c(O)o1?,A,chemical_similarity
iupac,smiles,Which compound more closely resembles COC1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(=O)NCc3ccccc3)CS(=O)(=O)C12: COc1ccc(Nc2nc(Nc3ccc(C)cc3C)c3cnn(C)c3n2)cc1 or CCC(CCN)CCC(=O)NCCc1ccsc1?,B,chemical_similarity
iupac,smiles,Assess the chemical similarity of c1nc2n(n1)C1CC1O2 and Cc1ccc2c(N)c(C(=O)Nc3cc([N+](=O)[O-])ccc3Cl)sc2n1 to C[C@@H](CO)N=c1[nH]c(-c2ccccc2)cc(=Nc2cc(Cl)ccc2F)[nH]1. Which is more similar?,B,chemical_similarity
iupac,smiles,Which compound more closely resembles Oc1ccccc1C1=Nc2ncnn2C(c2ccc(F)cc2)C1: CCn1cnc2c(Sc3nnnn3C)ncnc21 or COc1cc(CC2COC(=O)C2Cc2ccc3c(c2)OCO3)ccc1O?,B,chemical_similarity
iupac,smiles,Assess the chemical similarity of C[C@@H](OC(=O)CNC(=O)c1ccc(Cl)cc1Cl)C(=O)N[C@@H]1CCCc2ccccc21 and C#CCCC#CC=O to Cc1cn(C2OC(CO)C(CF)C2O)c(=O)[nH]c1=O. Which is more similar?,A,chemical_similarity
smiles,iupac,Assess the chemical similarity of CC(C)n1nccc1-c1csc(S(=O)(=O)NCc2ccccc2)c1 and O=C([C@H]1CC1(F)F)N1CCOC2(CCCCC2)C1 to COc1ccc2[nH]cc([C@@H](O)CN3CCN(C4CCCCC4)CC3)c2c1. Which is more similar?,B,chemical_similarity
iupac,smiles,Determine whether CCOC(=O)C1CC12CCC1(CCNCC1)CC2.Cl or CCC1=C(C(=O)OC)[C@H](c2ccccc2)n2c(s/c(=C/c3cccc(OCc4ccccc4Cl)c3)c2=O)=N1 is more chemically similar to Nc1cocc1N.,B,chemical_similarity
iupac,smiles,Assess the chemical similarity of CCN(CC)c1ccc(C(F)(F)F)cc1NC(=O)Cn1c(=O)c2c(ncn2C)n(C)c1=O and CCO[C@H]1CCOC2(CCN(C(=O)CCc3ccccc3)CC2)C1 to CCN(c1ccccc1)[C@H]1COC2(CCN(C(=O)c3cnc(C)cn3)CC2)C1. Which is more similar?,B,chemical_similarity
iupac,smiles,"Which molecule shares greater structural similarity with Fc1ccc(CNn2c(-c3ccncc3)n[nH]c2=S)cc1, O=S(=O)(OCCOS(=O)(=O)c1ccccc1)c1ccccc1 or Cc1c(Br)c(C(F)F)nn1CC(=O)N[C@@H](C)C(C)(C)C?",B,chemical_similarity
