,question,answer,task
20,"For the molecule 4-[5-[3-methyl-4-(3-methylphenyl)piperazin-1-yl]sulfonyl-2,3-dihydroindol-1-yl]-4-oxobutanoic acid, how many carbon atoms does it contain?",24,carbon_count
21,"Compute the total number of carbons in (2S)-2,3-dimethylcyclobutan-1-one.",6,carbon_count
22,"Identify the carbon atom count in the molecule N-[(3R)-1,1-dioxothiolan-3-yl]-2-(4-ethylphenoxy)-N-[(4-methoxyphenyl)methyl]acetamide.",22,carbon_count
23,How many carbons are present in the molecule CCc1nncn1CCN/C(=N\C)NCc1ccc(NC(=O)c2ccco2)cc1?,20,carbon_count
24,"How many carbons are present in the molecule N-spiro[1-azabicyclo[2.2.2]octane-2,1'-cyclopropane]-3-ylprop-2-enamide?",12,carbon_count
25,"Identify the carbon atom count in the molecule tert-butyl 4-[(4,5-difluoro-2-methylphenyl)methyl-[(4-propan-2-yloxyphenyl)methylcarbamoyl]amino]piperidine-1-carboxylate.",29,carbon_count
26,"How many carbons are present in the molecule (8S,9S,10R,13S,14S)-3-fluoro-10,13-dimethyl-2,3,6,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene?",19,carbon_count
27,"Identify the carbon atom count in the molecule [3,5-bis(tert-butylsulfanyl)phenyl]methanol.",15,carbon_count
28,Report the number of carbon atoms in 3-(5-methyltetrazol-1-yl)-1-(3-piperidin-1-ylazetidin-1-yl)propan-1-one.,13,carbon_count
29,"What is the total count of carbon atoms in iridium(3+);2-[4-(7-methyl-9,9-dioctylfluoren-2-yl)phenyl]-5-[7-[4-(5-methyl-2-pyridinyl)benzene-5-id-1-yl]-9,9-dioctylfluoren-2-yl]pyridine;bis(2-phenylpyridine)?",104,carbon_count
30,"Identify the carbon atom count in the molecule N-(2-fluorophenyl)-8-(hydroxymethyl)-2-oxo-7-(4-phenylphenyl)-1,4-diazabicyclo[4.2.0]octane-4-carboxamide.",26,carbon_count
31,Report the number of carbon atoms in butylcyclobutane.,8,carbon_count
32,"How many carbons are present in the molecule (7R)-2-benzylsulfanyl-5-methyl-7-(4-methylphenyl)-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidine-6-carboxamide?",21,carbon_count
33,What is the total count of carbon atoms in Cc1ccc(/C=C2\SC(=S)N(NC(=O)c3ccccc3F)C2=O)o1?,16,carbon_count
34,Report the number of carbon atoms in NCc1ncnn1C=O.,4,carbon_count
35,Determine the total carbon count for 2-[4-[(6-bromo-2-butyl-4-oxoquinazolin-3-yl)iminomethyl]-2-nitrophenoxy]-N-(3-fluorophenyl)acetamide.,27,carbon_count
36,"For the molecule Cc1ccc(NC(=O)C(C#N)=C2SC(=NNc3ccccc3)C(=O)N2c2ccccc2)cc1, how many carbon atoms does it contain?",25,carbon_count
37,"For the molecule 1-(4-fluoro-2-hydroxybenzoyl)-4-methylpyrrolidine-3-carboxylic acid, how many carbon atoms does it contain?",13,carbon_count
38,Determine the total carbon count for 1-(2-tert-butylsulfanylethyl)-3-[6-(2-methoxyphenoxy)-3-pyridinyl]urea.,19,carbon_count
39,"How many carbons are present in the molecule 2-[4-benzylsulfonyl-2-oxo-3-(3-oxo-3-piperidin-1-ylpropyl)piperazin-1-yl]-N-[5-(diaminomethylideneamino)-1-oxo-1-(1,3-thiazol-2-yl)pentan-2-yl]acetamide?",30,carbon_count
40,"Report the number of carbon atoms in N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-2-(2,4-dioxo-1,3-diazaspiro[4.4]nonan-3-yl)acetamide.",20,carbon_count
41,"Identify the carbon atom count in the molecule methyl (2R,3S,6R,7R)-9-oxopentacyclo[4.3.0.02,5.03,8.04,7]nonane-4-carboxylate.",11,carbon_count
42,"Given O=C1NC2CC3CC1C32, return the number of carbon atoms.",7,carbon_count
43,"Identify the carbon atom count in the molecule [(2R,4aR)-6-methyl-1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalen-2-yl] 1-amino-4-(4-butoxyphenyl)sulfanyl-9,10-dioxoanthracene-2-carboxylate.",36,carbon_count
44,Report the number of carbon atoms in (7-benzylidene-1-azabicyclo[3.2.1]octan-5-yl) 4-fluorobenzoate.,21,carbon_count
45,How many carbons are present in the molecule C#CC1C2CC(=O)C12C?,8,carbon_count
46,"How many carbon atoms make up the structure S-[(2R,3S)-1-[tert-butyl(dimethyl)silyl]oxy-2-methylhexan-3-yl] ethanethioate?",15,carbon_count
47,How many carbon atoms make up the structure N#CC1CNCC2OC12?,6,carbon_count
48,"For the molecule 2-(benzenesulfonamido)-5-chloro-N-[2-(propylamino)ethyl]benzamide, how many carbon atoms does it contain?",18,carbon_count
49,How many carbon atoms make up the structure CC(CC#CC#N)=NO?,6,carbon_count
50,Identify the carbon atom count in the molecule N#CC(c1ccccc1)c1nc2ccc(N)cc2[n+]([O-])c1C(C#N)c1ccccc1.,24,carbon_count
51,"Determine the total carbon count for 1-[7-(3,5-dimethyl-1,2-oxazol-4-yl)-6-methylpyrrolo[1,2-b]pyridazin-5-yl]ethanone.",15,carbon_count
52,Report the number of carbon atoms in COC1(C)C(O)C2OC21.,6,carbon_count
53,"Given N-[4-(3-bromoanilino)quinazolin-6-yl]-4-oxopent-2-enamide, return the number of carbon atoms.",19,carbon_count
54,"Report the number of carbon atoms in (2R)-2-phenyl-N-[6-[4-[[3-(trifluoromethyl)phenyl]methyl]-1,4-diazepan-1-yl]-3-pyridinyl]butanamide.",28,carbon_count
55,"Given 2-(hydroxymethyl)-6-methylsulfanyl-4-(4-naphthalen-1-yltriazol-1-yl)oxane-3,5-diol, return the number of carbon atoms.",19,carbon_count
56,Count the number of carbon atoms in C/C=C/COc1nccc(C(=O)O)c1F.,10,carbon_count
57,Determine the total carbon count for [3-[(4-chlorophenyl)sulfanylmethyl]-4-ethoxyphenyl]-[4-(4-methoxyphenyl)piperazin-1-yl]methanone.,27,carbon_count
58,What is the total count of carbon atoms in CNC1C(=N)OC1C?,5,carbon_count
59,"Given N-methyl-N-[2-[nitroso-[2-[nitroso(2-phenylethyl)amino]-2-phenylethyl]amino]-3-phenylpropyl]nitrous amide, return the number of carbon atoms.",26,carbon_count
60,"For the molecule O=S(=O)(CCC1CCC1)N1CCC([C@H](O)c2ccc(Cl)cc2)CC1, how many carbon atoms does it contain?",18,carbon_count
61,"Identify the carbon atom count in the molecule 2-anthracen-9-yl-N-(2-chloro-6-methylphenyl)imidazo[1,2-a]pyridin-3-amine.",28,carbon_count
62,"Identify the carbon atom count in the molecule N-[[3,5-bis[(4,5-dihydro-1H-imidazol-2-ylamino)methyl]-2,4,6-triethylphenyl]methyl]-4,5-dihydro-1H-imidazol-2-amine.",24,carbon_count
63,Determine the total carbon count for 3-chloro-N-[[1-[[4-(difluoromethoxy)phenyl]methyl]indol-3-yl]methylideneamino]-4-hydroxybenzamide.,24,carbon_count
64,"Given 3-(3,4-dichlorophenyl)-3-[(2,5-dimethylfuran-3-carbonyl)amino]propanoic acid, return the number of carbon atoms.",16,carbon_count
65,"How many carbon atoms make up the structure methyl 14-ethyl-13-methyl-3,9-dioxo-11-phenyl-8-propanoyl-4,15-dioxa-10,14-diazatetracyclo[6.6.1.01,10.02,7]pentadec-12-ene-12-carboxylate?",25,carbon_count
66,"Compute the total number of carbons in 5-(4-methoxyphenyl)-3-methyl-N-(2-phenoxyethyl)-1,2-oxazole-4-carboxamide.",20,carbon_count
67,Determine the total carbon count for CC1(O)C(O)C1C1CN1.,6,carbon_count
68,"Given O=C1CC(CC2CC2)N1, return the number of carbon atoms.",7,carbon_count
69,"For the molecule methyl 4-[[2-[5-[3-(3-methylphenyl)-1,2,4-oxadiazol-5-yl]-2-oxo-1-pyridinyl]acetyl]amino]benzoate, how many carbon atoms does it contain?",24,carbon_count
70,What is the total count of carbon atoms in N#CC1(N)CC2CC1O2?,6,carbon_count
71,"Determine the total carbon count for 2-(5-amino-1,2-oxazol-4-yl)ethanol.",5,carbon_count
72,"Determine the total carbon count for 2-[[11-(hydroxymethyl)-14-methyl-5-(4-methylphenyl)-2-oxa-4,6,13-triazatricyclo[8.4.0.03,8]tetradeca-1(10),3(8),4,6,11,13-hexaen-7-yl]sulfanyl]-1-morpholin-4-ylethanone.",25,carbon_count
73,"How many carbons are present in the molecule [(2R,6R)-2,6-dimethylmorpholin-4-yl]-[(1R,2S)-2-methylcyclopropyl]methanone?",11,carbon_count
74,"Determine the total carbon count for 2-[8-(2-methylbutan-2-yl)-2,4-dioxo-1,3-diazaspiro[4.5]decan-3-yl]-N-[2-(4-methylpiperazin-1-yl)-1-phenylethyl]acetamide.",28,carbon_count
75,"Given 1-(5-chloropyrimidin-2-yl)-N-(5-methyl-2-pyridinyl)piperidine-3-carboxamide, return the number of carbon atoms.",16,carbon_count
76,"Given (4S)-N-[1-(4-ethylphenyl)piperidin-4-yl]-2-oxoimidazolidine-4-carboxamide, return the number of carbon atoms.",17,carbon_count
77,What is the total count of carbon atoms in CNC(=O)/C(C#N)=C1\SC(Cc2ccc(OC)cc2)C(=O)N1c1ccccc1C?,22,carbon_count
78,"Given N-[(1R)-1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]-4-pyrrolidin-1-ylsulfonylbenzamide, return the number of carbon atoms.",21,carbon_count
79,Determine the total carbon count for CCCCOc1ccc(/C=C2\SC(=S)N([C@H](C(=O)O)[C@H](C)CC)C2=O)cc1OC.,21,carbon_count
80,Count the number of carbon atoms in CC[C@H](C)c1ccc(OCC(=O)Nc2sc(C)c(C)c2C#N)cc1.,19,carbon_count
81,"Given (2-methyl-6-azaspiro[2.5]octan-2-yl)-[4-(6,7,8,9-tetrahydro-5H-[1,2,4]triazolo[4,3-a]azepin-3-yl)piperidin-1-yl]methanone, return the number of carbon atoms.",21,carbon_count
82,"Given ethyl 2-(1,2-oxazol-4-ylmethylamino)propanoate, return the number of carbon atoms.",9,carbon_count
83,"For the molecule C=Cc1ccc(Cn2c(C)c(C(=O)NCCC#N)sc2=O)cc1, how many carbon atoms does it contain?",17,carbon_count
84,"Report the number of carbon atoms in 2-[6-benzylsulfanyl-8-(cyclohexylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol.",23,carbon_count
85,"Determine the total carbon count for ethyl (1R,9S,13S)-4,6-dibromo-10-ethyl-9-methyl-11-sulfanylidene-8-oxa-10,12-diazatricyclo[7.3.1.02,7]trideca-2(7),3,5-triene-13-carboxylate.",16,carbon_count
86,Identify the carbon atom count in the molecule 2-(4-methyl-2-oxo-7-phenylquinolin-1-yl)acetaldehyde.,18,carbon_count
87,What is the total count of carbon atoms in 2-[N-(benzenesulfonyl)-3-methylanilino]-N-[(2-ethoxyphenyl)methyl]acetamide?,24,carbon_count
88,Compute the total number of carbons in 3-benzyl-4-[[3-(cyclohexylmethyl)benzoyl]amino]benzoic acid.,28,carbon_count
89,How many carbons are present in the molecule N#CC12CC=CC1C2?,7,carbon_count
90,"How many carbons are present in the molecule 3-[(9S)-9-(2-methoxyphenyl)-2,4,6,8,10,17-hexazatetracyclo[8.7.0.02,7.011,16]heptadeca-1(17),6,11,13,15-pentaen-4-yl]-N,N-dimethylpropan-1-amine?",23,carbon_count
91,What is the total count of carbon atoms in COc1c(C(=O)NCc2ccco2)ccc2[nH]nc(/C=C/c3ccc(F)c(C(C)=O)c3)c12?,24,carbon_count
92,"For the molecule aziridin-2-ylmethyl formate, how many carbon atoms does it contain?",4,carbon_count
93,"For the molecule N-benzyl-2-[[(2R)-2-(3,4-dimethyl-N-methylsulfonylanilino)propanoyl]amino]benzamide, how many carbon atoms does it contain?",26,carbon_count
94,"Compute the total number of carbons in [4-(7-chloro-4-methoxy-1,3-benzothiazol-2-yl)piperazin-1-yl]-(2-methylphenyl)methanone.",20,carbon_count
95,"Determine the total carbon count for 3-(1-methyl-3,6-dihydro-2H-pyridin-4-yl)-5-nitro-1H-indole.",14,carbon_count
96,Identify the carbon atom count in the molecule N#CC#CC1CC(=N)O1.,6,carbon_count
97,What is the total count of carbon atoms in CC(=O)C(=O)C1(C)CN1?,6,carbon_count
98,Report the number of carbon atoms in 1-[4-(3-aminopropoxy)piperidin-1-yl]-2-benzylsulfanylpropan-1-one;hydrochloride.,18,carbon_count
99,How many carbons are present in the molecule N-(2-phenylethyl)-1-[4-(2H-tetrazol-5-yl)phenyl]sulfonylpiperidine-4-carboxamide?,21,carbon_count
100,How many cyclic structures are in 3-(9-oxoxanthen-4-yl)propanoic acid?,3,ring_count
101,"Given the SMILES NC12C(=O)NC1C2O, return its ring count.",2,ring_count
102,"Determine the ring count for 3-chloro-N-[2-[(2,4-dimethoxyphenyl)methyl-methylamino]-2-oxoethyl]-1-benzothiophene-2-carboxamide.",3,ring_count
103,Count the number of rings in COc1cccc2c1NC(=O)C[C@H]2C(=O)NC1CCN(C(=O)c2ccc(C)cc2)CC1.,4,ring_count
104,"Report the number of rings in the molecule 2-[cyclopropyl-(3,4-dimethoxybenzoyl)amino]acetic acid.",2,ring_count
105,Find the number of rings contained in CCN1CC23CC(O2)C13.,3,ring_count
106,"How many cyclic structures are in N,N-dimethyl-2-[3-(pyridin-2-ylmethyl)-1H-inden-2-yl]ethanamine?",3,ring_count
107,"Given the SMILES [3-(4-fluoroanilino)piperidin-1-yl]-[5-(imidazol-1-ylmethyl)furan-2-yl]methanone, return its ring count.",4,ring_count
108,"Compute the ring count of N-(2,4-dimethoxyphenyl)-N-prop-2-enyl-2,3-dihydro-1,4-benzodioxine-6-sulfonamide.",3,ring_count
109,"Report the number of rings in the molecule 2-methoxy-N-[1-(5-methyl-1,2,4-oxadiazol-3-yl)cycloheptyl]acetamide.",2,ring_count
110,How many cyclic structures are in CC1(C)C(=O)C(C#N)=CC2(C)C3=CC(=O)CCC3(CO)CCC12?,3,ring_count
111,"Find the number of rings contained in 3-(1,4-dimethyl-2,3-dioxoquinoxalin-6-yl)sulfonyl-N-(2-methoxy-4-nitrophenyl)propanamide.",3,ring_count
112,How many ring systems does methyl 5-chloro-2-[1-(oxolan-3-yl)ethylamino]benzoate contain?,2,ring_count
113,"Given the SMILES O=c1ccn(CC=CP(=O)(O)O)c(=O)[nH]1, return its ring count.",1,ring_count
114,Report the number of rings in the molecule CC12C=CCC1OCC2.,2,ring_count
115,"Determine the ring count for 7-[[(1R)-6,7-dimethoxy-2-(2-phenylacetyl)-3,4-dihydro-1H-isoquinolin-1-yl]methoxy]-4-methylchromen-2-one.",5,ring_count
116,"Count the number of rings in (2R)-2-amino-N-(2,2-dimethoxyethyl)-2-phenylacetamide.",1,ring_count
117,"Determine the ring count for 4-[2-(3-chlorophenyl)-3,5-dimethylpyrazolo[1,5-a]pyrimidin-7-yl]morpholine.",4,ring_count
118,"For (3,4-dimethoxyphenyl)-[4-[4-(4-methoxyanilino)-6-methylpyrimidin-2-yl]piperazin-1-yl]methanone, how many distinct rings are present?",4,ring_count
119,Count the number of rings in CC(=O)NC1COC1C.,1,ring_count
120,"How many cyclic structures are in (10-hydroxy-4-methyl-9,14-dimethylidene-13-oxo-5,12-dioxatricyclo[9.3.0.04,6]tetradecan-2-yl) 2-methylbut-2-enoate?",3,ring_count
121,"Find the number of rings contained in N-[(2,5-dimethoxyphenyl)methyl]-4-octylbenzamide.",2,ring_count
122,How many ring systems does N-[[5-[hydroxy(phenyl)methyl]thiophen-2-yl]methyl]-4-phenylbenzamide contain?,4,ring_count
123,"Report the number of rings in the molecule 4-[(1,3-dimethylpyrazolo[4,5-e][1,2,4]triazin-5-yl)amino]-N-(2-hydroxyethyl)benzenesulfonamide.",3,ring_count
124,"Find the number of rings contained in N-(1H-indol-3-yl)-7,7-dimethyl-2-(1H-pyrazol-4-yl)-5H-furo[3,4-d]pyrimidin-4-amine.",5,ring_count
125,"Compute the ring count of 3-[[2-(benzylamino)-2-oxoethyl]amino]-N,N-diethylbenzamide.",2,ring_count
126,Report the number of rings in the molecule COc1cc(-n2cnnn2)ccc1NC(=O)[C@@H]1CCCN(C(=O)N(C)C)C1.,3,ring_count
127,Find the number of rings contained in C=C/C(=N/N)C(C)(C)C(C/C=C\C=N)C(CC)NC(=C)C.,0,ring_count
128,"What is the total number of rings in N-[2-(2,3-dioxo-4H-quinoxalin-1-yl)ethyl]-2-methylpropanamide?",2,ring_count
129,Report the number of rings in the molecule methyl (3R)-3-[4-hydroxy-1-[2-(1H-imidazol-5-yl)ethyl]-6-methyl-2-oxo-3-pyridinyl]-3-(1-methylpyrazol-4-yl)propanoate.,3,ring_count
130,"What is the total number of rings in N-(2,5-dimethoxyphenyl)-3-[4-(2-methylpropyl)piperazin-1-yl]-3-oxopropanamide?",2,ring_count
131,"For 3-hydroxy-4-methyl-5-phenyl-1,3-thiazol-2-imine, how many distinct rings are present?",2,ring_count
132,"Given the SMILES 3-(4-chlorophenyl)-4-[(1R)-1-[(2-phenylacetyl)amino]ethyl]-1,2-oxazole-5-carboxylic acid, return its ring count.",3,ring_count
133,"For O=C1CC2C(=O)C1C2O, how many distinct rings are present?",2,ring_count
134,Compute the ring count of 1-(furan-2-yl)ethanol.,1,ring_count
135,"Report the number of rings in the molecule 5-[(5-oxo-1,2-dihydropyrrol-3-yl)amino]-2-pyrazol-1-ylbenzamide.",3,ring_count
136,"How many ring systems does N-methyl-2-[4-(6-phenylthieno[2,3-d]pyrimidin-4-yl)piperazin-1-yl]acetamide contain?",4,ring_count
137,"How many cyclic structures are in 2-[(5-cyclopropyl-1,3,4-oxadiazol-2-yl)sulfanyl]-N-[(1S,2R)-2-methylcyclohexyl]acetamide?",3,ring_count
138,Find the number of rings contained in CC#CC(N)C(C)C#N.,0,ring_count
139,"Determine the ring count for (5R)-3-[(2S)-3-(4-ethylphenoxy)-2-hydroxypropyl]-5-(4-methoxyphenyl)-5-methylimidazolidine-2,4-dione.",3,ring_count
140,"What is the total number of rings in 3,4-dihydro-2H-chromen-3-yl-[4-(3-tricyclo[3.3.1.03,9]nonanylmethylamino)-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-7-yl]methanone?",7,ring_count
141,"Find the number of rings contained in N-[3-(3,5-dimethylpyrazol-1-yl)phenyl]-4-pyridin-4-ylpiperazine-1-carboxamide.",4,ring_count
142,How many ring systems does Nc1cncnc(=O)c1 contain?,1,ring_count
143,"Determine the ring count for 8-[2-[(1R)-2,3-dihydro-1H-inden-1-yl]acetyl]-1-oxa-3,8-diazaspiro[4.5]decan-2-one.",4,ring_count
144,Determine the ring count for methyl 7-[(3-bromo-1H-indole-2-carbonyl)amino]heptanoate.,2,ring_count
145,"What is the total number of rings in N'-(2-chloro-6-methylpyrimidin-4-yl)-N-(7-chloroquinolin-4-yl)butane-1,4-diamine?",3,ring_count
146,"For CCC1C(O)CC1C#N, how many distinct rings are present?",1,ring_count
147,Find the number of rings contained in COc1ccccc1N(CCC#N)C(=O)CSc1nc(N)c2c3c(sc2n1)CCCC3.,4,ring_count
148,Determine the ring count for OCC1C2OC2C12CC2.,3,ring_count
149,"Determine the ring count for 2-(2-iodo-3-methylphenyl)-1,3,5-trimethylbenzene.",2,ring_count
150,What is the total number of rings in CC1NC(C)C(O)C1=O?,1,ring_count
151,Compute the ring count of CC1C=CC(C)C12CC2.,2,ring_count
152,"Determine the ring count for 4-(hydroxymethyl)cyclopentane-1,3-diol.",1,ring_count
153,How many ring systems does 2-(3-fluorophenoxy)-N-(4-methyl-3-sulfamoylphenyl)acetamide contain?,2,ring_count
154,"Compute the ring count of 3-ethyl-1,4-dimethyl-2-oxabicyclo[2.1.0]pentane.",2,ring_count
155,Count the number of rings in C=CCN(CC=C)S(=O)(=O)c1ccc2nc(NC(=O)/C=C/c3ccccc3)sc2c1.,3,ring_count
156,How many ring systems does CC12C3CC1N1CC3C12 contain?,4,ring_count
157,What is the total number of rings in O=CC12CC(O)(C1)C2=O?,2,ring_count
158,How many ring systems does Cc1n[nH]c(=N)cc1N contain?,1,ring_count
159,"Determine the ring count for ethyl 6-(3,5-dimethoxybenzoyl)imino-2-oxo-7-propan-2-yl-1,7,9-triazatricyclo[8.4.0.03,8]tetradeca-3(8),4,9,11,13-pentaene-5-carboxylate.",4,ring_count
160,"Given the SMILES C1=CC23CCC2OC3C1, return its ring count.",3,ring_count
161,"Given the SMILES 6-(3-chlorophenyl)-3H-1,3-benzothiazol-2-one, return its ring count.",3,ring_count
162,Count the number of rings in CC(=O)OC(C)CC#N.,0,ring_count
163,Compute the ring count of 5-amino-4-methyl-1H-pyridazin-6-one.,1,ring_count
164,"Count the number of rings in 5-amino-3-chloro-2-[(3-methyl-1,2,4-thiadiazol-5-yl)sulfanyl]benzoic acid.",2,ring_count
165,Determine the ring count for 2-(4-chlorophenyl)-5-hydroxy-6-oxo-1H-pyrimidine-4-carboxylic acid.,2,ring_count
166,"Given the SMILES [7-methoxy-5-methyl-3-(2-methylpropyl)-1-benzofuran-2-yl]methanamine, return its ring count.",2,ring_count
167,Compute the ring count of O=CNC(CO)C1CN1.,1,ring_count
168,"For (2S)-2-[(3-chlorophenyl)methyl-[2-(3,5-dimethyl-N-(4-methylphenyl)sulfonylanilino)acetyl]amino]-3-phenyl-N-propan-2-ylpropanamide, how many distinct rings are present?",4,ring_count
169,"Given the SMILES 1-[3-(2-methyl-4-pyridinyl)-1H-pyrazolo[4,3-c]pyridin-6-yl]-3-[1-(oxolan-2-yl)propan-2-yl]urea, return its ring count.",4,ring_count
170,Compute the ring count of CCNc1cc(O)c[nH]1.,1,ring_count
171,"For C#CCCCOC1CC1, how many distinct rings are present?",1,ring_count
172,Report the number of rings in the molecule 2-chloro-N-(3-ethylsulfanylcyclopentyl)pyridine-4-sulfonamide.,2,ring_count
173,"Determine the ring count for 4-N-(2-ethylphenyl)-6-phenylsulfanylpyrimidine-4,5-diamine.",3,ring_count
174,"Given the SMILES N-[(3-chlorophenyl)methyl]-2-piperidin-1-yl-1,3-benzothiazole-6-carboxamide, return its ring count.",4,ring_count
175,"What is the total number of rings in (1R,2S,7R,8R)-4-(2,4-dinitrophenyl)-4,5-diazatricyclo[6.2.1.02,7]undec-9-ene-3,6-dione?",4,ring_count
176,"Given the SMILES 2-(4-methoxyphenoxy)-N-[4-(5-methyl-1,3-benzoxazol-2-yl)phenyl]acetamide, return its ring count.",4,ring_count
177,"Report the number of rings in the molecule N-[(3-methyl-3,4-dihydro-2H-chromen-4-yl)methyl]propan-1-amine.",2,ring_count
178,"Given the SMILES 1'-tert-butylspiro[6,7-dihydrocyclopenta[b]pyrazine-5,4'-piperidine]-6-amine, return its ring count.",3,ring_count
179,How many ring systems does 3-ethylpyrrolidine-1-carbaldehyde contain?,1,ring_count
180,Determine the ring count for CC12NC3C1OCOC32.,3,ring_count
181,Report the number of rings in the molecule (1S)-1-cyclohexyl-N-[(3-methoxy-5-nitrophenyl)methyl]ethanamine.,2,ring_count
182,Compute the ring count of 7-oxabicyclo[4.1.1]oct-3-ene.,2,ring_count
183,"How many ring systems does 2-[1-(2,4-difluorobenzoyl)-4-[(4-fluorophenoxy)methyl]piperidin-4-yl]-1-(4-methylpiperazin-1-yl)ethanone contain?",4,ring_count
184,How many ring systems does [2-(phenylcarbamoyl)phenyl] 4-[(4-methylphenoxy)methyl]benzoate contain?,4,ring_count
185,Report the number of rings in the molecule 3-(ethoxymethyl)-4-methoxy-N-[[(2R)-oxolan-2-yl]methyl]benzamide.,2,ring_count
186,"Determine the ring count for 2-methoxy-1-[2-(3-methylbutyl)-1,1-dioxospiro[1,2-benzothiazole-3,3'-pyrrolidine]-1'-yl]ethanone.",3,ring_count
187,Determine the ring count for CC(C)C[C@H](O)C(=O)N[C@H](Cc1ccccc1C#N)C(N)=O.,1,ring_count
188,Report the number of rings in the molecule 1-cyclopropyl-2-[(2R)-2-(trifluoromethyl)-1-oxaspiro[2.2]pentan-2-yl]ethanone.,3,ring_count
189,"For COC1C=CC2NC21C, how many distinct rings are present?",2,ring_count
190,"Compute the ring count of N-[[4-(3-ethyl-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-6-yl)phenyl]methyl]-4-methylbenzamide.",4,ring_count
191,"Given the SMILES 3-(5-chloro-1H-indol-3-yl)-4-[3-[2-(methylamino)ethyl]indol-1-yl]pyrrole-2,5-dione, return its ring count.",5,ring_count
192,"What is the total number of rings in 8-(2-piperidin-2-ylethoxy)-2-([1,2,4]triazolo[4,3-a]pyridin-3-yl)quinoline?",5,ring_count
193,What is the total number of rings in 4-chloro-N-[2-ethoxy-5-[(2-methyl-6-propan-2-ylphenyl)sulfamoyl]phenyl]benzamide?,3,ring_count
194,Find the number of rings contained in 1-(3-fluoropropyl)-3-[2-(quinazolin-4-ylamino)ethyl]urea.,2,ring_count
195,"Count the number of rings in [3-(diethylamino)pyrrolidin-1-yl]-[2-[(4-methoxyphenyl)methyl]-1,3-benzoxazol-6-yl]methanone.",4,ring_count
196,"Compute the ring count of 2-methyl-4-[[3-[2-[3-(trifluoromethyl)phenyl]ethyl]piperidin-1-yl]methyl]-1,3-oxazole.",3,ring_count
