question_smiles,question_iupac,answer
Count the number of carbon atoms in CC1(C)CCC=C1C1=CCC=CC2=C1CCC2.,"Count the number of carbon atoms in 4-(5,5-dimethylcyclopenten-1-yl)-1,2,3,6-tetrahydroazulene.",17
"Given CN(Cc1ccco1)c1cc(-c2cccc(NS(C)(=O)=O)c2)ncn1, return the number of carbon atoms.","Given N-[3-[6-[furan-2-ylmethyl(methyl)amino]pyrimidin-4-yl]phenyl]methanesulfonamide, return the number of carbon atoms.",17
"Given CN1CC[C@@H](N(Cc2cc(-c3ccc4[nH]ncc4c3)ccc2F)C(=O)c2ccc(F)cc2)C1.O=C(O)C(F)(F)F, return the number of carbon atoms.","Given 4-fluoro-N-[[2-fluoro-5-(1H-indazol-5-yl)phenyl]methyl]-N-[(3R)-1-methylpyrrolidin-3-yl]benzamide;2,2,2-trifluoroacetic acid, return the number of carbon atoms.",28
How many carbons are present in the molecule O=C1CCSc2ccc(C(=O)NCc3ccc(O)cc3)cc2N1?,"How many carbons are present in the molecule N-[(4-hydroxyphenyl)methyl]-4-oxo-3,5-dihydro-2H-1,5-benzothiazepine-7-carboxamide?",17
Compute the total number of carbons in COc1ccc(S(=O)(=O)N(C)CC2Oc3c(NC(=O)Nc4cccc5ccccc45)cccc3C(=O)N(C(C)CO)CC2C)cc1OC.,"Compute the total number of carbons in 1-[2-[[(3,4-dimethoxyphenyl)sulfonyl-methylamino]methyl]-5-(1-hydroxypropan-2-yl)-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-10-yl]-3-naphthalen-1-ylurea.",35
Count the number of carbon atoms in CC(Cn1c(N)nc2cc(F)ccc21)N(C)C1CC1.,Count the number of carbon atoms in 1-[2-[cyclopropyl(methyl)amino]propyl]-5-fluorobenzimidazol-2-amine.,14
"Given COc1ccc(-c2noc(C3CCCN(C(=O)Nc4ccc(Cl)cc4)C3)n2)cc1, return the number of carbon atoms.","Given N-(4-chlorophenyl)-3-[3-(4-methoxyphenyl)-1,2,4-oxadiazol-5-yl]piperidine-1-carboxamide, return the number of carbon atoms.",21
How many carbons are present in the molecule Cc1ccc(C[C@H](NC(=O)C2O[C@H]2C(=O)CCC(=O)O)C(=O)CCc2cccc3ccccc23)cc1?,How many carbons are present in the molecule 4-[(2R)-3-[[(2S)-1-(4-methylphenyl)-5-naphthalen-1-yl-3-oxopentan-2-yl]carbamoyl]oxiran-2-yl]-4-oxobutanoic acid?,29
How many carbons are present in the molecule CCCNC(=O)[C@H]1COc2ccccc2C1?,"How many carbons are present in the molecule (3R)-N-propyl-3,4-dihydro-2H-chromene-3-carboxamide?",13
Identify the carbon atom count in the molecule CC(C)CN1C[C@@H](OCc2cccc(F)c2)CN(C(=O)[C@@H]2CCC(=O)N2)CC1=O.,"Identify the carbon atom count in the molecule (6R)-6-[(3-fluorophenyl)methoxy]-1-(2-methylpropyl)-4-[(2S)-5-oxopyrrolidine-2-carbonyl]-1,4-diazepan-2-one.",21
Determine the total carbon count for Cc1cc(C)cc(-n2c(C)cc([C@@H]3[C@@H](c4ccccn4)NC(=S)N3CCCNc3ccccc3)c2C)c1.,"Determine the total carbon count for (4S,5R)-1-(3-anilinopropyl)-5-[1-(3,5-dimethylphenyl)-2,5-dimethylpyrrol-3-yl]-4-pyridin-2-ylimidazolidine-2-thione.",31
Count the number of carbon atoms in Cn1c(=O)oc2cc(S(=O)(=O)NCCc3csc(-c4ccncc4)n3)ccc21.,"Count the number of carbon atoms in 3-methyl-2-oxo-N-[2-(2-pyridin-4-yl-1,3-thiazol-4-yl)ethyl]-1,3-benzoxazole-6-sulfonamide.",18
Identify the carbon atom count in the molecule O=CC1(O)CC=CCC1.,Identify the carbon atom count in the molecule 1-hydroxycyclohex-3-ene-1-carbaldehyde.,7
Count the number of carbon atoms in Cc1nc(-c2ccc(C)c(S(=O)(=O)N3CCC(C(=O)Nc4ccc(Cl)cc4)CC3)c2)no1.,"Count the number of carbon atoms in N-(4-chlorophenyl)-1-[2-methyl-5-(5-methyl-1,2,4-oxadiazol-3-yl)phenyl]sulfonylpiperidine-4-carboxamide.",22
How many carbons are present in the molecule COc1cc(C(=O)N(C(=O)N2CCCCC2)c2ccccc2)cc(OC)c1OC?,"How many carbons are present in the molecule N-phenyl-N-(3,4,5-trimethoxybenzoyl)piperidine-1-carboxamide?",22
Report the number of carbon atoms in CCOC(=O)C1=C(c2ccccc2)c2ccc(OCCCc3ccccc3)cc2C1=O.,Report the number of carbon atoms in ethyl 3-oxo-1-phenyl-5-(3-phenylpropoxy)indene-2-carboxylate.,27
"For the molecule C[C@H]1Cc2cc(Br)ccc2N1C(=O)COc1ccc(S(=O)(=O)N2CCCCC2)cc1Cl, how many carbon atoms does it contain?","For the molecule 1-[(2S)-5-bromo-2-methyl-2,3-dihydroindol-1-yl]-2-(2-chloro-4-piperidin-1-ylsulfonylphenoxy)ethanone, how many carbon atoms does it contain?",22
"For the molecule Cc1nn(C)c(-n2ccc3cc(Cl)ccc32)c1CC=O, how many carbon atoms does it contain?","For the molecule 2-[5-(5-chloroindol-1-yl)-1,3-dimethylpyrazol-4-yl]acetaldehyde, how many carbon atoms does it contain?",15
Count the number of carbon atoms in NC(=O)c1ccc(NC(=O)c2c[nH]c3ccccc23)cc1.,Count the number of carbon atoms in N-(4-carbamoylphenyl)-1H-indole-3-carboxamide.,16
Determine the total carbon count for CCc1nnc(NC(=O)[C@H](C)N2C(=O)[C@H]3CC=CC[C@@H]3C2=O)s1.,"Determine the total carbon count for (2S)-2-[(3aS,7aS)-1,3-dioxo-3a,4,7,7a-tetrahydroisoindol-2-yl]-N-(5-ethyl-1,3,4-thiadiazol-2-yl)propanamide.",15
Determine the total carbon count for Cc1nc(-c2nc(C(=O)Nc3cccnc3)c3ccccn23)cn1C(C)C.,"Determine the total carbon count for 3-(2-methyl-1-propan-2-ylimidazol-4-yl)-N-pyridin-3-ylimidazo[1,5-a]pyridine-1-carboxamide.",20
Compute the total number of carbons in Cc1cc(C)c(C)c(-c2nnc(NC(=O)c3ccc(F)cc3)s2)c1C.,"Compute the total number of carbons in 4-fluoro-N-[5-(2,3,5,6-tetramethylphenyl)-1,3,4-thiadiazol-2-yl]benzamide.",19
How many carbon atoms make up the structure CCC(=O)N1CCc2cc(C(=O)CN3CCC(NC(=O)C4CCCC4)CC3)ccc21?,"How many carbon atoms make up the structure N-[1-[2-oxo-2-(1-propanoyl-2,3-dihydroindol-5-yl)ethyl]piperidin-4-yl]cyclopentanecarboxamide?",24
Identify the carbon atom count in the molecule CCS(=O)(=O)c1ncc(CN(C)Cc2ccco2)n1CCc1ccccc1.,Identify the carbon atom count in the molecule N-[[2-ethylsulfonyl-3-(2-phenylethyl)imidazol-4-yl]methyl]-1-(furan-2-yl)-N-methylmethanamine.,20
Compute the total number of carbons in CCNC(Cc1cc(F)cc(Br)c1)c1ncccn1.,Compute the total number of carbons in 2-(3-bromo-5-fluorophenyl)-N-ethyl-1-pyrimidin-2-ylethanamine.,14
Count the number of carbon atoms in CCCCC(CCC)(CCBr)CCCCCN1C(=O)c2ccccc2C1=O.,"Count the number of carbon atoms in 2-[6-(2-bromoethyl)-6-propyldecyl]isoindole-1,3-dione.",23
Report the number of carbon atoms in Cc1ccn(-c2ccc(Cl)cc2)c(=O)c1-c1ccc2nc(N)ncc2c1.,Report the number of carbon atoms in 3-(2-aminoquinazolin-6-yl)-1-(4-chlorophenyl)-4-methylpyridin-2-one.,20
"For the molecule O=C1NCCCN1, how many carbon atoms does it contain?","For the molecule 1,3-diazinan-2-one, how many carbon atoms does it contain?",4
"For the molecule COc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccc(O)cc2)cc1, how many carbon atoms does it contain?","For the molecule 6-(4-hydroxyphenyl)-9-(4-methoxyphenyl)-5,6,8,9,10,11-hexahydrobenzo[b][1,4]benzodiazepin-7-one, how many carbon atoms does it contain?",26
"Given Cc1c(O)c(O)nn1C, return the number of carbon atoms.","Given 4-hydroxy-2,3-dimethyl-1H-pyrazol-5-one, return the number of carbon atoms.",5
Determine the total carbon count for c1cncc(N2CC2)c1.,Determine the total carbon count for 3-(aziridin-1-yl)pyridine.,7
"Given Cc1ccc(S(=O)(=O)Nc2cc(C(=O)N(C)Cc3cccc(F)c3)ccc2C)cc1, return the number of carbon atoms.","Given N-[(3-fluorophenyl)methyl]-N,4-dimethyl-3-[(4-methylphenyl)sulfonylamino]benzamide, return the number of carbon atoms.",23
What is the total count of carbon atoms in O=S(=O)(c1ccsc1)N1CCC(OCC2CCOC2)CC1?,What is the total count of carbon atoms in 4-(oxolan-3-ylmethoxy)-1-thiophen-3-ylsulfonylpiperidine?,14
"Given CCc1noc(C)c1C(=O)OCC(=O)c1ccc(NC(=O)CC(C)C)cc1, return the number of carbon atoms.","Given [2-[4-(3-methylbutanoylamino)phenyl]-2-oxoethyl] 3-ethyl-5-methyl-1,2-oxazole-4-carboxylate, return the number of carbon atoms.",20
Compute the total number of carbons in O=C(NC[C@H](c1ccco1)c1cccs1)c1ccsc1.,Compute the total number of carbons in N-[(2R)-2-(furan-2-yl)-2-thiophen-2-ylethyl]thiophene-3-carboxamide.,15
Report the number of carbon atoms in Cc1ccc(Oc2ccc(C(=O)NCc3cccnc3)cc2)nn1.,Report the number of carbon atoms in 4-(6-methylpyridazin-3-yl)oxy-N-(pyridin-3-ylmethyl)benzamide.,18
How many carbons are present in the molecule O=C(O)[C@H]1C[C@@H](O)CCN1C(=O)CCN1CCCCO1?,"How many carbons are present in the molecule (2R,4S)-4-hydroxy-1-[3-(oxazinan-2-yl)propanoyl]piperidine-2-carboxylic acid?",13
"For the molecule CC1(C)CC1CC1CC1, how many carbon atoms does it contain?","For the molecule 2-(cyclopropylmethyl)-1,1-dimethylcyclopropane, how many carbon atoms does it contain?",9
What is the total count of carbon atoms in CC(C)Nc1nc(-c2ccc(NCCCN3CCN(C)CC3)c(S(C)(=O)=O)c2)cc2ncn(C)c(=O)c12?,"What is the total count of carbon atoms in 3-methyl-7-[4-[3-(4-methylpiperazin-1-yl)propylamino]-3-methylsulfonylphenyl]-5-(propan-2-ylamino)pyrido[4,3-d]pyrimidin-4-one?",26
How many carbon atoms make up the structure COc1ccc(OCCNC(=O)c2ccc(CN(c3cccc(C)c3)S(C)(=O)=O)cc2)cc1?,How many carbon atoms make up the structure N-[2-(4-methoxyphenoxy)ethyl]-4-[(3-methyl-N-methylsulfonylanilino)methyl]benzamide?,25
How many carbons are present in the molecule CNCCCCC(=O)Cc1cc(C(F)(F)F)cc(CC(=O)c2cc(C(=O)Cc3cc(C(F)(F)F)cc(CC(=O)CCCCNC(=O)OCc4ccccc4)c3O[C@@H]3CCN(C(=O)OC(C)(C)C)C3)ncn2)c1O[C@@H]1CCN(C(=O)OC(C)(C)C)C1?,How many carbons are present in the molecule tert-butyl (3R)-3-[2-[6-(methylamino)-2-oxohexyl]-6-[2-[6-[2-[2-[(3R)-1-[(2-methylpropan-2-yl)oxycarbonyl]pyrrolidin-3-yl]oxy-3-[2-oxo-6-(phenylmethoxycarbonylamino)hexyl]-5-(trifluoromethyl)phenyl]acetyl]pyrimidin-4-yl]-2-oxoethyl]-4-(trifluoromethyl)phenoxy]pyrrolidine-1-carboxylate?,61
Count the number of carbon atoms in Cc1cccc(N2C[C@@]34C=C[C@@H](O3)[C@@H](C(=O)OCC(C)C)[C@@H]4C2=O)c1.,"Count the number of carbon atoms in 2-methylpropyl (1S,5S,6S,7R)-3-(3-methylphenyl)-4-oxo-10-oxa-3-azatricyclo[5.2.1.01,5]dec-8-ene-6-carboxylate.",20
Count the number of carbon atoms in O=C(O)C1CCNC1COc1ccc(Cl)cc1Cl.,"Count the number of carbon atoms in 2-[(2,4-dichlorophenoxy)methyl]pyrrolidine-3-carboxylic acid.",12
How many carbons are present in the molecule CS(=O)(=O)c1ccc(CN2CCC[C@]3(CCNC3)C2)cc1?,"How many carbons are present in the molecule (5R)-7-[(4-methylsulfonylphenyl)methyl]-2,7-diazaspiro[4.5]decane?",16
Determine the total carbon count for Cc1cccc(CN(C(=O)CN(c2cccc(Cl)c2Cl)S(C)(=O)=O)[C@H](Cc2ccccc2)C(=O)NC2CCCC2)c1.,"Determine the total carbon count for (2R)-N-cyclopentyl-2-[[2-(2,3-dichloro-N-methylsulfonylanilino)acetyl]-[(3-methylphenyl)methyl]amino]-3-phenylpropanamide.",31
How many carbon atoms make up the structure CCCCCC=C(c1cc(Br)c(O)c(C(=O)O)c1)c1cc(Br)c(O)c(C(=O)O)c1?,How many carbon atoms make up the structure 3-bromo-5-[1-(3-bromo-5-carboxy-4-hydroxyphenyl)hept-1-enyl]-2-hydroxybenzoic acid?,21
Determine the total carbon count for O=C(Nc1ccccc1Cl)N1CCC(c2nc(-c3ncc4ccccc4n3)no2)CC1.,"Determine the total carbon count for N-(2-chlorophenyl)-4-(3-quinazolin-2-yl-1,2,4-oxadiazol-5-yl)piperidine-1-carboxamide.",22
Report the number of carbon atoms in Cc1ccc(CN(Cc2ccco2)C(=S)Nc2ccccc2F)cc1.,Report the number of carbon atoms in 3-(2-fluorophenyl)-1-(furan-2-ylmethyl)-1-[(4-methylphenyl)methyl]thiourea.,20
How many carbons are present in the molecule C[C@H](Sc1nnc(C[C@H]2CCS(=O)(=O)C2)o1)c1ccc(F)cc1?,"How many carbons are present in the molecule (3S)-3-[[5-[(1S)-1-(4-fluorophenyl)ethyl]sulfanyl-1,3,4-oxadiazol-2-yl]methyl]thiolane 1,1-dioxide?",15
Determine the total carbon count for CC12CCC1COCO2.,"Determine the total carbon count for 1-methyl-2,4-dioxabicyclo[4.2.0]octane.",7
How many carbons are present in the molecule O=C1CC(O)(CO)CO1?,How many carbons are present in the molecule 4-hydroxy-4-(hydroxymethyl)oxolan-2-one?,5
Compute the total number of carbons in CC(CS(C)(=O)=O)Nc1cc2c(cc1Cl)NC(=O)CO2.,"Compute the total number of carbons in 6-chloro-7-(1-methylsulfonylpropan-2-ylamino)-4H-1,4-benzoxazin-3-one.",12
How many carbon atoms make up the structure COc1ccc([C@@H]2C=C(Nc3cccc(C)c3)C(=O)N2c2cccc(C)c2)cc1[N+](=O)[O-]?,How many carbon atoms make up the structure (2S)-2-(4-methoxy-3-nitrophenyl)-4-(3-methylanilino)-1-(3-methylphenyl)-2H-pyrrol-5-one?,25
Compute the total number of carbons in O=C(COC(=O)CSc1cccc2cccc(Cl)c12)Nc1c(Cl)cccc1C(F)(F)F.,Compute the total number of carbons in [2-[2-chloro-6-(trifluoromethyl)anilino]-2-oxoethyl] 2-(8-chloronaphthalen-1-yl)sulfanylacetate.,21
"For the molecule C[C@H]1C[C@@H]1c1ccc(CCC(=O)O)o1, how many carbon atoms does it contain?","For the molecule 3-[5-[(1S,2S)-2-methylcyclopropyl]furan-2-yl]propanoic acid, how many carbon atoms does it contain?",11
How many carbon atoms make up the structure O=C1CC(O)CC(O)C1?,"How many carbon atoms make up the structure 3,5-dihydroxycyclohexan-1-one?",6
How many carbons are present in the molecule COc1cccc(OC)c1-n1c(NS(=O)(=O)C(C)Cc2ncc(F)cn2)nnc1-c1cncc(C)c1?,"How many carbons are present in the molecule N-[4-(2,6-dimethoxyphenyl)-5-(5-methyl-3-pyridinyl)-1,2,4-triazol-3-yl]-1-(5-fluoropyrimidin-2-yl)propane-2-sulfonamide?",23
Determine the total carbon count for COc1cccc(-c2cccc(C3(c4ccncc4)N=C(N)CS3)c2)c1.,"Determine the total carbon count for 2-[3-(3-methoxyphenyl)phenyl]-2-pyridin-4-yl-5H-1,3-thiazol-4-amine.",21
Report the number of carbon atoms in COc1cccc(C2CN(C(=O)c3[nH]nc4c3CCC4)CC2N)c1.,"Report the number of carbon atoms in [3-amino-4-(3-methoxyphenyl)pyrrolidin-1-yl]-(1,4,5,6-tetrahydrocyclopenta[d]pyrazol-3-yl)methanone.",18
"For the molecule CCc1ccc(C=NNC(=O)c2cc(C3CC3)nc3ccc(Br)cc23)s1, how many carbon atoms does it contain?","For the molecule 6-bromo-2-cyclopropyl-N-[(5-ethylthiophen-2-yl)methylideneamino]quinoline-4-carboxamide, how many carbon atoms does it contain?",20
How many carbon atoms make up the structure CC1CN(C(=O)NC2(C(=O)O)CCCCC2)CCO1?,How many carbon atoms make up the structure 1-[(2-methylmorpholine-4-carbonyl)amino]cyclohexane-1-carboxylic acid?,13
Identify the carbon atom count in the molecule Cc1[nH]nc2c1C(c1ccccc1)C1=C(CC(C)(C)CC1=O)N2.,"Identify the carbon atom count in the molecule 3,7,7-trimethyl-4-phenyl-4,6,8,9-tetrahydro-2H-pyrazolo[3,4-b]quinolin-5-one.",19
What is the total count of carbon atoms in CCCn1nc(C(=O)O)c2c1CC[C@@H](NCc1ccc(O)cc1)C2?,"What is the total count of carbon atoms in (5R)-5-[(4-hydroxyphenyl)methylamino]-1-propyl-4,5,6,7-tetrahydroindazole-3-carboxylic acid?",18
Count the number of carbon atoms in O=C(O)C=CC(=O)NCCC1=CCCCC1.,Count the number of carbon atoms in 4-[2-(cyclohexen-1-yl)ethylamino]-4-oxobut-2-enoic acid.,12
Report the number of carbon atoms in Cc1ccc(C=O)cc1.,Report the number of carbon atoms in 4-methylbenzaldehyde.,8
What is the total count of carbon atoms in CN(CC1CCCOC1)c1cc(Cl)nc(C2CC2)n1?,What is the total count of carbon atoms in 6-chloro-2-cyclopropyl-N-methyl-N-(oxan-3-ylmethyl)pyrimidin-4-amine?,14
Determine the total carbon count for CCOC(=O)c1cc(C(=O)c2ccccc2)n2ccc(-c3ccncc3)cc12.,Determine the total carbon count for ethyl 3-benzoyl-7-pyridin-4-ylindolizine-1-carboxylate.,23
What is the total count of carbon atoms in CCCCOc1cccc(C(CN)C(=O)OC(C)(C)C)c1?,What is the total count of carbon atoms in tert-butyl 3-amino-2-(3-butoxyphenyl)propanoate?,17
"For the molecule COC(=O)C1=C(N)Oc2c(oc(CO)cc2=O)C1c1ccccc1C(F)(F)F, how many carbon atoms does it contain?","For the molecule methyl 2-amino-6-(hydroxymethyl)-8-oxo-4-[2-(trifluoromethyl)phenyl]-4H-pyrano[3,2-b]pyran-3-carboxylate, how many carbon atoms does it contain?",18
How many carbons are present in the molecule COCc1nc2c(o1)CN(Cc1cccnc1OC)C2?,"How many carbons are present in the molecule 2-(methoxymethyl)-5-[(2-methoxy-3-pyridinyl)methyl]-4,6-dihydropyrrolo[3,4-d][1,3]oxazole?",14
Identify the carbon atom count in the molecule CS(=O)(=O)N(Cc1ccc(C(=O)NCc2cccc(C(F)(F)F)c2)cc1)c1cc(Cl)cc(Cl)c1.,"Identify the carbon atom count in the molecule 4-[(3,5-dichloro-N-methylsulfonylanilino)methyl]-N-[[3-(trifluoromethyl)phenyl]methyl]benzamide.",23
"For the molecule CC(C)c1nccn1C1CN(C(=O)NCc2ccc(F)cc2)C1, how many carbon atoms does it contain?","For the molecule N-[(4-fluorophenyl)methyl]-3-(2-propan-2-ylimidazol-1-yl)azetidine-1-carboxamide, how many carbon atoms does it contain?",17
How many carbon atoms make up the structure Cc1cccc(CS(=O)(=O)N2CCC(C(=O)N[C@H]3CCCc4ccccc43)CC2)c1?,"How many carbon atoms make up the structure 1-[(3-methylphenyl)methylsulfonyl]-N-[(1S)-1,2,3,4-tetrahydronaphthalen-1-yl]piperidine-4-carboxamide?",24
How many carbon atoms make up the structure Cc1ccccc1[C@@H](C)NC(=O)c1c(C)nn(C)c1C?,"How many carbon atoms make up the structure 1,3,5-trimethyl-N-[(1R)-1-(2-methylphenyl)ethyl]pyrazole-4-carboxamide?",16
Compute the total number of carbons in CC1CN(CC(=O)NCc2ccccc2)CC(C)O1.,"Compute the total number of carbons in N-benzyl-2-(2,6-dimethylmorpholin-4-yl)acetamide.",15
How many carbon atoms make up the structure CCOC(=O)[C@H]1c2c(n(C)c3ccccc23)[C@@H]2CN1C(=O)N2OS(=O)(=O)O?,"How many carbon atoms make up the structure ethyl (1S,11R)-3-methyl-13-oxo-14-sulfooxy-3,12,14-triazatetracyclo[10.2.1.02,10.04,9]pentadeca-2(10),4,6,8-tetraene-11-carboxylate?",16
How many carbons are present in the molecule COc1ccc(-c2cn3cccc(C)c3n2)cc1NC(=O)c1c(-c2ccccc2Cl)noc1C?,"How many carbons are present in the molecule 3-(2-chlorophenyl)-N-[2-methoxy-5-(8-methylimidazo[1,2-a]pyridin-2-yl)phenyl]-5-methyl-1,2-oxazole-4-carboxamide?",26
Determine the total carbon count for Cc1cccc2c1CCC2=CC(=O)NC1CC1.,"Determine the total carbon count for N-cyclopropyl-2-(4-methyl-2,3-dihydroinden-1-ylidene)acetamide.",15
Count the number of carbon atoms in Cc1cc(C(=O)N2Cc3nccn3C[C@H](CN3CCCC3=O)C2)no1.,"Count the number of carbon atoms in 1-[[(6R)-8-(5-methyl-1,2-oxazole-3-carbonyl)-5,6,7,9-tetrahydroimidazo[1,2-a][1,4]diazepin-6-yl]methyl]pyrrolidin-2-one.",17
Determine the total carbon count for O=C(Nc1ccc(F)cc1)c1nnc(C2CCN(C(=O)Nc3ccc(F)c(Cl)c3)CC2)s1.,"Determine the total carbon count for 5-[1-[(3-chloro-4-fluorophenyl)carbamoyl]piperidin-4-yl]-N-(4-fluorophenyl)-1,3,4-thiadiazole-2-carboxamide.",21
Compute the total number of carbons in O=COCCCC1CO1.,Compute the total number of carbons in 3-(oxiran-2-yl)propyl formate.,6
What is the total count of carbon atoms in CC[C@H](C)Oc1c(I)cc(C=Nn2c(-c3ccccc3)nc3ccccc3c2=O)cc1I?,"What is the total count of carbon atoms in 3-[[4-[(2S)-butan-2-yl]oxy-3,5-diiodophenyl]methylideneamino]-2-phenylquinazolin-4-one?",25
How many carbons are present in the molecule CCC(=O)NCc1cccc(-c2ccc(F)c(CO)c2)c1?,How many carbons are present in the molecule N-[[3-[4-fluoro-3-(hydroxymethyl)phenyl]phenyl]methyl]propanamide?,17
How many carbons are present in the molecule O=C(O)C1Cc2ccccc2N1?,"How many carbons are present in the molecule 2,3-dihydro-1H-indole-2-carboxylic acid?",9
Compute the total number of carbons in CCN1C(=O)[C@@](O)(CC(=O)c2ccc(-n3cccc3)cc2)c2cc(Br)ccc21.,Compute the total number of carbons in (3R)-5-bromo-1-ethyl-3-hydroxy-3-[2-oxo-2-(4-pyrrol-1-ylphenyl)ethyl]indol-2-one.,22
Count the number of carbon atoms in CCn1c(=O)n(C)c(=O)c2c3c(cnc21)C(=O)CC(C)(C)C3.,"Count the number of carbon atoms in 4-ethyl-2,9,9-trimethyl-8,10-dihydropyrimido[4,5-c]isoquinoline-1,3,7-trione.",16
Count the number of carbon atoms in CC(C)n1nc(CN(C)C)c2c1CN(C1CCOC1)C2.,"Count the number of carbon atoms in N,N-dimethyl-1-[5-(oxolan-3-yl)-1-propan-2-yl-4,6-dihydropyrrolo[3,4-d]pyrazol-3-yl]methanamine.",15
