rep,carbon_count_q,carbon_count_a,ring_count_q,ring_count_a,functional_group_q,functional_group_a,bond_type_q,bond_type_a
smiles,Count the number of carbon atoms in C=CCOc1ccccc1/C=c1/sc2n(c1=O)[C@@H](c1ccc(OC)c(OCC)c1)C(C(=O)OCC)=C(C)N=2.,29,Count the number of rings in C=CCOc1ccccc1/C=c1/sc2n(c1=O)[C@@H](c1ccc(OC)c(OCC)c1)C(C(=O)OCC)=C(C)N=2.,4,Does the molecule C=CCOc1ccccc1/C=c1/sc2n(c1=O)[C@@H](c1ccc(OC)c(OCC)c1)C(C(=O)OCC)=C(C)N=2 contain a amide functional group?,0,Does the molecule C=CCOc1ccccc1/C=c1/sc2n(c1=O)[C@@H](c1ccc(OC)c(OCC)c1)C(C(=O)OCC)=C(C)N=2 contain any triple bonds?,0
smiles,Count the number of carbon atoms in OC12CCN=C1OC2.,5,Count the number of rings in OC12CCN=C1OC2.,2,Does the molecule OC12CCN=C1OC2 contain a alcohol functional group?,1,Does the molecule OC12CCN=C1OC2 contain any double bonds?,1
smiles,Count the number of carbon atoms in CC1OC(=N)C=C1C=O.,6,Count the number of rings in CC1OC(=N)C=C1C=O.,1,Does the molecule CC1OC(=N)C=C1C=O contain a ester functional group?,0,Does the molecule CC1OC(=N)C=C1C=O contain any triple bonds?,0
smiles,Count the number of carbon atoms in CC(CC1CCCCC1)NCc1cccc(NS(=O)O)c1.,16,Count the number of rings in CC(CC1CCCCC1)NCc1cccc(NS(=O)O)c1.,2,Does the molecule CC(CC1CCCCC1)NCc1cccc(NS(=O)O)c1 contain a alcohol functional group?,1,Does the molecule CC(CC1CCCCC1)NCc1cccc(NS(=O)O)c1 contain any double bonds?,1
smiles,Count the number of carbon atoms in COCCCN1C(=O)C(Nc2ccc(C)cc2)=C(Sc2ccc(NC(=O)c3ccco3)cc2)C1=O.,26,Count the number of rings in COCCCN1C(=O)C(Nc2ccc(C)cc2)=C(Sc2ccc(NC(=O)c3ccco3)cc2)C1=O.,4,Does the molecule COCCCN1C(=O)C(Nc2ccc(C)cc2)=C(Sc2ccc(NC(=O)c3ccco3)cc2)C1=O contain a nitro functional group?,0,Does the molecule COCCCN1C(=O)C(Nc2ccc(C)cc2)=C(Sc2ccc(NC(=O)c3ccco3)cc2)C1=O contain any triple bonds?,0
smiles,Count the number of carbon atoms in CCCN(C)C(=O)CC1COCCN1C(=O)Nc1cccc(SC)c1.,18,Count the number of rings in CCCN(C)C(=O)CC1COCCN1C(=O)Nc1cccc(SC)c1.,2,Does the molecule CCCN(C)C(=O)CC1COCCN1C(=O)Nc1cccc(SC)c1 contain a ketone functional group?,1,Does the molecule CCCN(C)C(=O)CC1COCCN1C(=O)Nc1cccc(SC)c1 contain any double bonds?,1
smiles,Count the number of carbon atoms in N#Cc1cccc(C(=O)NCC2(c3ccccc3)CCOCC2)c1.,20,Count the number of rings in N#Cc1cccc(C(=O)NCC2(c3ccccc3)CCOCC2)c1.,3,Does the molecule N#Cc1cccc(C(=O)NCC2(c3ccccc3)CCOCC2)c1 contain a alcohol functional group?,0,Does the molecule N#Cc1cccc(C(=O)NCC2(c3ccccc3)CCOCC2)c1 contain any double bonds?,1
smiles,Count the number of carbon atoms in Cc1ccc(-c2nc(C(=O)N3CCCC3)c3n2CCCCC3)cc1.,20,Count the number of rings in Cc1ccc(-c2nc(C(=O)N3CCCC3)c3n2CCCCC3)cc1.,4,Does the molecule Cc1ccc(-c2nc(C(=O)N3CCCC3)c3n2CCCCC3)cc1 contain a ketone functional group?,1,Does the molecule Cc1ccc(-c2nc(C(=O)N3CCCC3)c3n2CCCCC3)cc1 contain any triple bonds?,0
smiles,Count the number of carbon atoms in Oc1ccc2ccccc2c1/C=N\Nc1nc2ccccc2[nH]1.,18,Count the number of rings in Oc1ccc2ccccc2c1/C=N\Nc1nc2ccccc2[nH]1.,4,Does the molecule Oc1ccc2ccccc2c1/C=N\Nc1nc2ccccc2[nH]1 contain a halide functional group?,0,Does the molecule Oc1ccc2ccccc2c1/C=N\Nc1nc2ccccc2[nH]1 contain any triple bonds?,0
smiles,Count the number of carbon atoms in CSc1ccccc1C(=O)NC1CCCC1CO.,14,Count the number of rings in CSc1ccccc1C(=O)NC1CCCC1CO.,2,Does the molecule CSc1ccccc1C(=O)NC1CCCC1CO contain a ketone functional group?,1,Does the molecule CSc1ccccc1C(=O)NC1CCCC1CO contain any double bonds?,1
smiles,Count the number of carbon atoms in C#CCC(=O)C(O)CC.,7,Count the number of rings in C#CCC(=O)C(O)CC.,0,Does the molecule C#CCC(=O)C(O)CC contain a ester functional group?,0,Does the molecule C#CCC(=O)C(O)CC contain any aromatic bonds?,0
smiles,Count the number of carbon atoms in CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2NCCN(CC)C2=O)c1.,30,Count the number of rings in CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2NCCN(CC)C2=O)c1.,3,Does the molecule CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2NCCN(CC)C2=O)c1 contain a alcohol functional group?,1,Does the molecule CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2NCCN(CC)C2=O)c1 contain any double bonds?,1
smiles,Count the number of carbon atoms in CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2nnc(SCC(=O)Nc3nccs3)s2)cc1.,18,Count the number of rings in CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2nnc(SCC(=O)Nc3nccs3)s2)cc1.,3,Does the molecule CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2nnc(SCC(=O)Nc3nccs3)s2)cc1 contain a phenol functional group?,0,Does the molecule CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2nnc(SCC(=O)Nc3nccs3)s2)cc1 contain any triple bonds?,0
smiles,Count the number of carbon atoms in OCC1=NC2CC2O1.,5,Count the number of rings in OCC1=NC2CC2O1.,2,Does the molecule OCC1=NC2CC2O1 contain a alcohol functional group?,1,Does the molecule OCC1=NC2CC2O1 contain any double bonds?,1
smiles,Count the number of carbon atoms in O=C(C(c1ccccc1)n1cnnn1)N1CCOC2(CCCC2)C1.,17,Count the number of rings in O=C(C(c1ccccc1)n1cnnn1)N1CCOC2(CCCC2)C1.,4,Does the molecule O=C(C(c1ccccc1)n1cnnn1)N1CCOC2(CCCC2)C1 contain a alcohol functional group?,0,Does the molecule O=C(C(c1ccccc1)n1cnnn1)N1CCOC2(CCCC2)C1 contain any triple bonds?,0
smiles,Count the number of carbon atoms in O=C1C=CC(=NS(=O)(=O)c2ccc(C(=O)[O-])cc2)C=C1.,13,Count the number of rings in O=C1C=CC(=NS(=O)(=O)c2ccc(C(=O)[O-])cc2)C=C1.,2,Does the molecule O=C1C=CC(=NS(=O)(=O)c2ccc(C(=O)[O-])cc2)C=C1 contain a ketone functional group?,1,Does the molecule O=C1C=CC(=NS(=O)(=O)c2ccc(C(=O)[O-])cc2)C=C1 contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in Cc1cc(Br)cc2c(C(=O)O)c(O)c(-c3ccc(Cl)cc3)nc12.,17,Count the number of rings in Cc1cc(Br)cc2c(C(=O)O)c(O)c(-c3ccc(Cl)cc3)nc12.,3,Does the molecule Cc1cc(Br)cc2c(C(=O)O)c(O)c(-c3ccc(Cl)cc3)nc12 contain a amine functional group?,0,Does the molecule Cc1cc(Br)cc2c(C(=O)O)c(O)c(-c3ccc(Cl)cc3)nc12 contain any triple bonds?,0
smiles,Count the number of carbon atoms in COc1ccc([C@@H]2CC(=O)C3=C(C2)NC(C)=C(C(=O)OCc2ccccc2)[C@@H]3c2cccc(OCc3ccccc3)c2)cc1OC.,39,Count the number of rings in COc1ccc([C@@H]2CC(=O)C3=C(C2)NC(C)=C(C(=O)OCc2ccccc2)[C@@H]3c2cccc(OCc3ccccc3)c2)cc1OC.,6,Does the molecule COc1ccc([C@@H]2CC(=O)C3=C(C2)NC(C)=C(C(=O)OCc2ccccc2)[C@@H]3c2cccc(OCc3ccccc3)c2)cc1OC contain a ketone functional group?,1,Does the molecule COc1ccc([C@@H]2CC(=O)C3=C(C2)NC(C)=C(C(=O)OCc2ccccc2)[C@@H]3c2cccc(OCc3ccccc3)c2)cc1OC contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in C[C@H](CCC(=O)NNC(=S)NCc1c2ccccc2cc2ccccc12)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](NC(=S)NCc5c6ccccc6cc6ccccc56)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.,56,Count the number of rings in C[C@H](CCC(=O)NNC(=S)NCc1c2ccccc2cc2ccccc12)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](NC(=S)NCc5c6ccccc6cc6ccccc56)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.,10,Does the molecule C[C@H](CCC(=O)NNC(=S)NCc1c2ccccc2cc2ccccc12)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](NC(=S)NCc5c6ccccc6cc6ccccc56)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C contain a aldehyde functional group?,0,Does the molecule C[C@H](CCC(=O)NNC(=S)NCc1c2ccccc2cc2ccccc12)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](NC(=S)NCc5c6ccccc6cc6ccccc56)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C contain any triple bonds?,0
smiles,Count the number of carbon atoms in COc1ccc(C(=O)N2CCN(Cc3ccccc3C)CC2)cc1OC.,21,Count the number of rings in COc1ccc(C(=O)N2CCN(Cc3ccccc3C)CC2)cc1OC.,3,Does the molecule COc1ccc(C(=O)N2CCN(Cc3ccccc3C)CC2)cc1OC contain a amide functional group?,1,Does the molecule COc1ccc(C(=O)N2CCN(Cc3ccccc3C)CC2)cc1OC contain any double bonds?,1
smiles,Count the number of carbon atoms in O=C(Cn1ncc2c(=O)oc3ccccc3c21)N1CCCN(Cc2ccccc2F)C1.,23,Count the number of rings in O=C(Cn1ncc2c(=O)oc3ccccc3c21)N1CCCN(Cc2ccccc2F)C1.,5,Does the molecule O=C(Cn1ncc2c(=O)oc3ccccc3c21)N1CCCN(Cc2ccccc2F)C1 contain a phenol functional group?,0,Does the molecule O=C(Cn1ncc2c(=O)oc3ccccc3c21)N1CCCN(Cc2ccccc2F)C1 contain any triple bonds?,0
smiles,Count the number of carbon atoms in C[C@@H](CN1CCCC1=O)NC(=O)CCCC(=O)c1ccc(F)cc1.,18,Count the number of rings in C[C@@H](CN1CCCC1=O)NC(=O)CCCC(=O)c1ccc(F)cc1.,2,Does the molecule C[C@@H](CN1CCCC1=O)NC(=O)CCCC(=O)c1ccc(F)cc1 contain a halide functional group?,1,Does the molecule C[C@@H](CN1CCCC1=O)NC(=O)CCCC(=O)c1ccc(F)cc1 contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in Cc1c(Cl)cccc1NC(=O)C[C@@H]1SC(N2CCOCC2)=NC1=O.,16,Count the number of rings in Cc1c(Cl)cccc1NC(=O)C[C@@H]1SC(N2CCOCC2)=NC1=O.,3,Does the molecule Cc1c(Cl)cccc1NC(=O)C[C@@H]1SC(N2CCOCC2)=NC1=O contain a alcohol functional group?,0,Does the molecule Cc1c(Cl)cccc1NC(=O)C[C@@H]1SC(N2CCOCC2)=NC1=O contain any triple bonds?,0
smiles,Count the number of carbon atoms in CN1CCN(C(=O)CN(C)CCNC(=O)C(C)(C)NC(=O)OC(C)(C)C)CC1.,19,Count the number of rings in CN1CCN(C(=O)CN(C)CCNC(=O)C(C)(C)NC(=O)OC(C)(C)C)CC1.,1,Does the molecule CN1CCN(C(=O)CN(C)CCNC(=O)C(C)(C)NC(=O)OC(C)(C)C)CC1 contain a amine functional group?,1,Does the molecule CN1CCN(C(=O)CN(C)CCNC(=O)C(C)(C)NC(=O)OC(C)(C)C)CC1 contain any double bonds?,1
smiles,Count the number of carbon atoms in COC1CC(C)N2CC12.,7,Count the number of rings in COC1CC(C)N2CC12.,2,Does the molecule COC1CC(C)N2CC12 contain a alcohol functional group?,0,Does the molecule COC1CC(C)N2CC12 contain any triple bonds?,0
smiles,Count the number of carbon atoms in CCc1ccc2nc(C)cc(C(=O)NCCc3cscn3)c2c1.,18,Count the number of rings in CCc1ccc2nc(C)cc(C(=O)NCCc3cscn3)c2c1.,3,Does the molecule CCc1ccc2nc(C)cc(C(=O)NCCc3cscn3)c2c1 contain a amine functional group?,1,Does the molecule CCc1ccc2nc(C)cc(C(=O)NCCc3cscn3)c2c1 contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in c1cnc2occc2c1.,7,Count the number of rings in c1cnc2occc2c1.,2,Does the molecule c1cnc2occc2c1 contain a phenol functional group?,0,Does the molecule c1cnc2occc2c1 contain any triple bonds?,0
smiles,Count the number of carbon atoms in CC1(C)C2CCCC1C2.,9,Count the number of rings in CC1(C)C2CCCC1C2.,2,Does the molecule CC1(C)C2CCCC1C2 contain a nitro functional group?,0,Does the molecule CC1(C)C2CCCC1C2 contain any aromatic bonds?,0
smiles,Count the number of carbon atoms in COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(N)c1nc(C)no1.,15,Count the number of rings in COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(N)c1nc(C)no1.,2,Does the molecule COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(N)c1nc(C)no1 contain a phenol functional group?,1,Does the molecule COC(=O)c1c(Br)c(OC)cc(O)c1CSCC(N)c1nc(C)no1 contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in N=c1cc(N)oc(O)c1.,5,Count the number of rings in N=c1cc(N)oc(O)c1.,1,Does the molecule N=c1cc(N)oc(O)c1 contain a phenol functional group?,1,Does the molecule N=c1cc(N)oc(O)c1 contain any double bonds?,1
smiles,Count the number of carbon atoms in CCC(C)C#CCOC.,8,Count the number of rings in CCC(C)C#CCOC.,0,Does the molecule CCC(C)C#CCOC contain a carboxylic_acid functional group?,0,Does the molecule CCC(C)C#CCOC contain any double bonds?,0
smiles,Count the number of carbon atoms in C=C(C)/C(C#N)=N/C=C(\C)N1CCCCC1.CC.NC(=O)c1ccc(C2CC2)cc1.,25,Count the number of rings in C=C(C)/C(C#N)=N/C=C(\C)N1CCCCC1.CC.NC(=O)c1ccc(C2CC2)cc1.,3,Does the molecule C=C(C)/C(C#N)=N/C=C(\C)N1CCCCC1.CC.NC(=O)c1ccc(C2CC2)cc1 contain a amine functional group?,1,Does the molecule C=C(C)/C(C#N)=N/C=C(\C)N1CCCCC1.CC.NC(=O)c1ccc(C2CC2)cc1 contain any triple bonds?,1
smiles,Count the number of carbon atoms in O=C(NCc1ccco1)c1cn(Cc2cccc(F)c2)nc1OCc1cccc(F)c1.,23,Count the number of rings in O=C(NCc1ccco1)c1cn(Cc2cccc(F)c2)nc1OCc1cccc(F)c1.,4,Does the molecule O=C(NCc1ccco1)c1cn(Cc2cccc(F)c2)nc1OCc1cccc(F)c1 contain a carboxylic_acid functional group?,0,Does the molecule O=C(NCc1ccco1)c1cn(Cc2cccc(F)c2)nc1OCc1cccc(F)c1 contain any triple bonds?,0
smiles,Count the number of carbon atoms in Cc1cc(C)cc(-c2nc3cc(NC(=O)c4ccco4)ccc3o2)c1.,20,Count the number of rings in Cc1cc(C)cc(-c2nc3cc(NC(=O)c4ccco4)ccc3o2)c1.,4,Does the molecule Cc1cc(C)cc(-c2nc3cc(NC(=O)c4ccco4)ccc3o2)c1 contain a amide functional group?,1,Does the molecule Cc1cc(C)cc(-c2nc3cc(NC(=O)c4ccco4)ccc3o2)c1 contain any double bonds?,1
smiles,Count the number of carbon atoms in CC#CC(C)N(C)C=O.,7,Count the number of rings in CC#CC(C)N(C)C=O.,0,Does the molecule CC#CC(C)N(C)C=O contain a alcohol functional group?,0,Does the molecule CC#CC(C)N(C)C=O contain any aromatic bonds?,0
smiles,Count the number of carbon atoms in O=C(CC1CC(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=NO1)Nc1ccc(Cl)cc1.,19,Count the number of rings in O=C(CC1CC(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=NO1)Nc1ccc(Cl)cc1.,3,Does the molecule O=C(CC1CC(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=NO1)Nc1ccc(Cl)cc1 contain a ketone functional group?,1,Does the molecule O=C(CC1CC(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=NO1)Nc1ccc(Cl)cc1 contain any double bonds?,1
smiles,Count the number of carbon atoms in CC1CCC12OC2(C)C.,8,Count the number of rings in CC1CCC12OC2(C)C.,2,Does the molecule CC1CCC12OC2(C)C contain a ketone functional group?,0,Does the molecule CC1CCC12OC2(C)C contain any aromatic bonds?,0
smiles,Count the number of carbon atoms in Cc1n[nH]c(C)c1CCC(=O)NCCn1c(=O)c(=O)[nH]c2ccccc21.,18,Count the number of rings in Cc1n[nH]c(C)c1CCC(=O)NCCn1c(=O)c(=O)[nH]c2ccccc21.,3,Does the molecule Cc1n[nH]c(C)c1CCC(=O)NCCn1c(=O)c(=O)[nH]c2ccccc21 contain a amide functional group?,1,Does the molecule Cc1n[nH]c(C)c1CCC(=O)NCCn1c(=O)c(=O)[nH]c2ccccc21 contain any aromatic bonds?,1
